UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
William Fredericks,@correctofcourse,2023-11-01T23:15:47.000Z,"William Fredericks
@correctofcourse
·
Nov 2","Pass a stand-alone $16B House bill and rush aid to Israel today!
@SenSherrodBrown
 @RepMikeTurner
 @SpeakerMikeJ",,,,,[],https://twitter.com/correctofcourse/status/1719855788401860960
Pam Manges,@pamoh16,2023-11-01T23:11:39.000Z,"Pam Manges
@pamoh16
·
Nov 2","I want to thank 
@SenSherrodBrown
 for cosponsoring #PCHETA, #S2243, which will improve the quality of life for millions of people with serious illnesses and chronic conditions like cancer. #HPM #HAPC",,,2,1,[],https://twitter.com/pamoh16/status/1719854747140661632
MichiganMelody,@Conserv76161604,2023-11-01T22:58:33.000Z,"MichiganMelody
@Conserv76161604
·
Nov 2","Nolte: OH Elitist Democrat 
@SenSherrodBrown
’s Campaign Spent Thousands on Luxury Dining, Hotels https://breitbart.com/politics/2023/11/01/nolte-oh-dem-sherrod-browns-campaign-spent-thousands-luxury-dining-hotels/… via 
@BreitbartNews",,,,,[],https://twitter.com/Conserv76161604/status/1719851449323069609
Pam Manges,@pamoh16,2023-11-01T22:49:26.000Z,"Pam Manges
@pamoh16
·
Nov 2","Palliative care improves patient quality of life. 
@SenSherrodBrown
 ,thank you for supporting #PCHETA! Please ask leadership to move this bill forward to make today better for patients and their families. 
@PatientQoL",,,2,2,[],https://twitter.com/pamoh16/status/1719849157072994626
Sherrod Brown,@SenSherrodBrown,2023-11-01T22:17:48.000Z,"Sherrod Brown
@SenSherrodBrown
·
Nov 2","The only way to prevent a shutdown is for Republicans and Democrats to work together. Today we did that in the Senate.

This is a big win for Ohio, our military installations, transportation & highways, housing, farmers and rural economies, & local projects all over our state.",,22,92,440,[],https://twitter.com/SenSherrodBrown/status/1719841196460109874
Dayton 24/7 Now,@dayton247now,2023-11-01T21:30:00.000Z,"Dayton 24/7 Now
@dayton247now
·
Nov 2",".
@SenSherrodBrown
 shares priorities for Wright-Patt, military, veterans, UAW",,,,,[],https://twitter.com/dayton247now/status/1719829164214071499
JH Raichyk,@JRaichyk85493,2023-11-01T21:26:15.000Z,"JH Raichyk
@JRaichyk85493
·
Nov 2","Beautifully clear graphic.
@SenSherrodBrown
 time to go independent!!
Robert F Kennedy, Jr did.
#ImpeachBidenNOW",🚨 🚨,,,,[],https://twitter.com/JRaichyk85493/status/1719828223226232937
Debbie fALS,@DebbieIAMALS,2023-11-01T21:05:51.000Z,"Debbie fALS
@DebbieIAMALS
·
Nov 2","I urge 
@sensherrodbrown
 to support #ALSVeterans and their families by cosponsoring and passing the Justice for ALS Veterans Act (H.R.3790/S.1590) https://bit.ly/JusticeforALSVeterans… #ALSAdvocacy",,,,,[],https://twitter.com/DebbieIAMALS/status/1719823088840298965
Isaiah,@isaiahbackgaal,2023-11-02T23:13:43.000Z,"Isaiah
@isaiahbackgaal
·
Nov 3","Proud to be out here today with an incredible inter-generational group of Jews calling for an immediate ceasefire now!! 
@SenSherrodBrown
 you have the power to prevent more bloodshed and you must use it now 
@IfNotNowOrg
 @jvplive",,,1,12,[],https://twitter.com/isaiahbackgaal/status/1720217655305449919
Genny lam,@gennylam,2023-11-02T22:35:26.000Z,"Genny lam
@gennylam
·
Nov 3","11-2-23
Official HCEC 21stC Exclusive Global First Currencies Directive Declaration.

https://facebook.com/genny.lam.7/

cc 
@SenateForeign
 @HouseForeign
 @HouseForeignGOP
 @SenSchumer
 @SenSherrodBrown
 @LeaderMcConnell
 @SpeakerJohnson
 @RepJeffries
 @POTUS
 @VP
 
@SenJohnKennedy
 @SenThomTillis",,,,,[],https://twitter.com/gennylam/status/1720208020419018822
