UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"Senate Ag, Nutrition, & Forestry Committee Dems",@SenateAgDems,2023-11-01T23:01:32.000Z,"Senate Ag, Nutrition, & Forestry Committee Dems
@SenateAgDems
·
Nov 2","BREAKING: Chairwoman 
@SenStabenow
 Restores Funding for Urban Agriculture in Senate-Passed Bill",,,1,6,['https://pbs.twimg.com/card_img/1729548237940678657/c3Mig50s?format=png&name=900x900'],https://twitter.com/SenateAgDems/status/1719852200451617136
Sen. Debbie Stabenow,@SenStabenow,2023-11-01T22:56:46.000Z,"Sen. Debbie Stabenow
@SenStabenow
·
Nov 2","While the House has been in a standstill for weeks, the Senate has been doing our jobs and working for the American people.

Today, we took a huge step to fund the government in a bipartisan way by investing in our farmers, military bases, veterans, infrastructure, and housing.",,38,23,90,[],https://twitter.com/SenStabenow/status/1719850999261585465
dr meg krausch,@DrMegKrausch,2023-11-01T21:28:25.000Z,"dr meg krausch
@DrMegKrausch
·
Nov 2","CC: 
@SenStabenow
 and 
@GaryPeters
 
CEASE FIRE NOW",,,,,"['https://pbs.twimg.com/profile_images/1708912671213420544/1Tri8RKK_normal.jpg', 'https://pbs.twimg.com/media/F9z9ZzjXQAElhu9?format=jpg&name=small', 'https://pbs.twimg.com/media/F9z9ZzkXEAAVirB?format=jpg&name=900x900']",https://twitter.com/DrMegKrausch/status/1719828766979932529
Sen. Debbie Stabenow,@SenStabenow,2023-11-01T20:03:57.000Z,"Sen. Debbie Stabenow
@SenStabenow
·
Nov 2","Open enrollment is here! If you or a loved one needs health insurance, you can learn about your options at http://HealthCare.gov. The Affordable Care Act continues to deliver for Michigan families.",,6,11,9,['https://pbs.twimg.com/card_img/1729559993240768512/sX2oahBi?format=png&name=360x360'],https://twitter.com/SenStabenow/status/1719807510930972685
AKF Advocacy,@AKF_Advocacy,2023-11-01T19:43:06.000Z,"AKF Advocacy
@AKF_Advocacy
·
Nov 2","Thank you, 
@SenStabenow
 for co-sponsoring S. 1384, the Living Donor Protection Act. This important legislation protects living #organdonors from insurance discrimination, job loss and more.",,,2,2,['https://pbs.twimg.com/media/F933BodWQAALKkD?format=jpg&name=900x900'],https://twitter.com/AKF_Advocacy/status/1719802261130338792
Sen. Debbie Stabenow,@SenStabenow,2023-11-01T17:56:50.000Z,"Sen. Debbie Stabenow
@SenStabenow
·
Nov 2",Speaker Mike Johnson wants a national abortion ban. Democrats have a better idea: We think you should make your own decisions about your health care and your future.,,27,18,99,['https://pbs.twimg.com/media/F93ePVFWMAAH3Vw?format=jpg&name=900x900'],https://twitter.com/SenStabenow/status/1719775521670578425
jmsbkb,@jmsbadkittybeer,2023-11-01T17:25:54.000Z,"jmsbkb
@jmsbadkittybeer
·
Nov 2","@HillaryScholten
 @RepRashida
 @RepCori
 @RepPressley
 @RepBarbaraLee
 @BobbyScott
 @DerrickNAACP
 @minaacp
 @SenStabenow
 @SenGaryPeters
 @GovWhitmer
 @LtGovGilchrist
 @WinnieBrinks
 @RepKristianG
 @SpeakerJoeTate
 @SenWarren
 @SenMarkey
 @PattyMurray
 @MISenDems
 @MIHouseDems
 @UniteThePoor",😭 🤬,,1,,"['https://pbs.twimg.com/profile_images/1589325138960318464/2OwvQAWC_normal.jpg', 'https://pbs.twimg.com/media/F929i_JbAAAd5IM?format=jpg&name=900x900']",https://twitter.com/jmsbadkittybeer/status/1719767735758930360
Future of Pharmacy Care Coalition,@FPCCoalition,2023-11-01T13:00:00.000Z,"Future of Pharmacy Care Coalition
@FPCCoalition
·
Nov 1","We urge 
@SenStabenow
 to cosponsor #S2477! This bipartisan legislation would ensure Medicare beneficiaries in Michigan and across the country can continue to receive timely and consistent services from pharmacists to stay healthy. https://bit.ly/Enact-S2477",,,,,['https://pbs.twimg.com/media/F9sOEtPWkAA7vhQ?format=jpg&name=900x900'],https://twitter.com/FPCCoalition/status/1719700821430899105
Noah James,@MIphotoWIZARD,2023-11-01T12:26:13.000Z,"Noah James
@MIphotoWIZARD
·
Nov 1","Did your homework well there didn't you 
@GovWhitmer
 @SenStabenow
 @RepHaleyStevens
 @SenGaryPeters",,,,,"['https://pbs.twimg.com/profile_images/1401759172224589824/Z2HqxOmU_normal.jpg', 'https://pbs.twimg.com/media/F9vBW6taYAAjifV?format=jpg&name=small']",https://twitter.com/MIphotoWIZARD/status/1719692316129075478
Adrenne Meyer,@adrennejmeyer,2023-11-01T09:52:17.000Z,"Adrenne Meyer
@adrennejmeyer
·
Nov 1",".
@SenStabenow
 please cosponsor #PCHETA! By advancing #palliative care education, awareness & research, PCHETA will improve quality of care & life for millions of patients & families facing serious illnesses. This bipartisan bill is endorsed by 90+ orgs. #HPM #HAPC 
@PatientQoL",,,2,3,[],https://twitter.com/adrennejmeyer/status/1719653577063346676
