UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Glenda Murphy,@TrutherUSA1_,2023-11-01T23:59:35.000Z,"Glenda Murphy
@TrutherUSA1_
·
Nov 2","Anthony Aguero is live in CA  
@TuckerCarlson
  @realDonaldJNews
  @Breaking911
  @mattgaetz
 @mtgreenee
  @SenTedCruz
  @MarshaBlackburn
  @RealAmVoice
  @realTT1776",,,,,[],https://twitter.com/TrutherUSA1_/status/1719866810328326176
Cotton Pants,@v_granner,2023-11-01T23:52:43.000Z,"Cotton Pants
@v_granner
·
Nov 2","If these r not American citizens, DEPORT DEPORT DEPORT 
@marcorubio
 @SpeakerJohnson
 @SenTedCruz
 @SenRonJohnson
 @HouseGOP
 @SenateGOP",,,,,[],https://twitter.com/v_granner/status/1719865081469763787
Steven Stiles,@StevenS23337721,2023-11-01T23:41:29.000Z,"Steven Stiles
@StevenS23337721
·
Nov 2",".
@JohnCornyn
 @SenTedCruz
 @RepRWilliams
 
Pass a stand-alone $16B #House bill and rush aid to #Israel today!",,,,,[],https://twitter.com/StevenS23337721/status/1719862252038238277
Lowell Mennenga,@LowellSavoy,2023-11-01T23:37:56.000Z,"Lowell Mennenga
@LowellSavoy
·
Nov 2","Yep… but remember 000s went to war on bad info and hundreds of 000s suffered. 

Loans R but one small step… LIFE … never get it back. 
@MariaBartiromo
 @GovAbbott
 @SenTedCruz
 @MarshaBlackburn",🔊,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719523498400292864/pu/img/orpsNGHuSJV7bHFo.jpg'],https://twitter.com/LowellSavoy/status/1719861362153619715
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:35:52.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@SenKevinCramer
@MikeCrapo
@SenTedCruz
@SteveDaines
@SenatorDurbin
@SenJoniErnst
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719860838809387387
Lori Jean,@prayingmom2022,2023-11-01T23:35:02.000Z,"Lori Jean
@prayingmom2022
·
Nov 2",".
@SpeakerJohnson
 @HouseGOP
 @SenateGOP
 @RepublicanAGs
 @freedomcaucus
 @SenTedCruz
 @KenPaxtonTX
 WHAT CAN BE DONE?! This is crazy!  #TyrannicalGovernment #Trump2024TheONLYRightChoice 
@realDonaldTrump
 @DonaldJTrumpJr
 ",👇 🙏 🙏,,,,[],https://twitter.com/prayingmom2022/status/1719860629866004548
Jim Polk,@JimPolk,2023-11-02T23:53:49.000Z,"Jim Polk
@JimPolk
·
Nov 3","Single subject bills from Congress
@HouseGOP
 @SenateGOP
 @SpeakerJohnson
 @LeaderMcConnell
 @SenSchumer
 @SenTedCruz
 @SpeakerMcCarthy
 @RepStefanik
 @SenJohnBarrasso",,,,,[],https://twitter.com/JimPolk/status/1720227744884150748
CBS News Texas,@CBSNewsTexas,2023-11-02T23:46:02.000Z,"CBS News Texas
@CBSNewsTexas
·
Nov 3","""It's premature to talk about any kind of ceasefire right now.""

In an one-on-one with 
@cbs11jack
, 
@ColinAllredTX
 discusses the Israel-Hamas War, border issues and why he's running for Senate against 
@SenTedCruz
.

Watch the full interview here: https://bit.ly/4609uAa",,3,3,4,['https://pbs.twimg.com/amplify_video_thumb/1720225548532592640/img/HwDQjmPRY4SxERr5.jpg'],https://twitter.com/CBSNewsTexas/status/1720225786186064374
Chris Smith,@jchrissmith0007,2023-11-02T23:44:26.000Z,"Chris Smith
@jchrissmith0007
·
Nov 3","THIS is on 
@SenTedCruz
 and 
@Foxnews
.

Fox has LIED about gun safety and gun legislation for 27+ years...

CC:  
@GretchenCarlson",,,,,[],https://twitter.com/jchrissmith0007/status/1720225385424486602
MAGAGODZILLA,@MAGAGODZILLA1,2023-11-02T23:41:49.000Z,"MAGAGODZILLA
@MAGAGODZILLA1
·
Nov 3","MAGA MIKE, MY ASS!

SAME OLD BULL SHIT.

NO MORE FOR UKRAINE.
@mattgaetz
 @SenTedCruz
 @DilleyMemeTeam",,,,,[],https://twitter.com/MAGAGODZILLA1/status/1720224725119430870
Senator Ted Cruz,@SenTedCruz,2023-11-02T23:22:52.000Z,"Senator Ted Cruz
@SenTedCruz
·
Nov 3",".
@BreitbartNews
: Ted Cruz Slams Biden’s ‘Obscene’ Call for a Humanitarian ‘Pause' in Gaza",,160,167,841,[],https://twitter.com/SenTedCruz/status/1720219958255223078
William Leber,@WilliamLeber2,2023-11-03T23:49:59.000Z,"William Leber
@WilliamLeber2
·
Nov 4","Too close for comfort.  We need drastic measures!  Protect Texans Now! 
@GregAbbott_TX
 @KenPaxtonTX
 
@SenTedCruz",,,,,[],https://twitter.com/WilliamLeber2/status/1720589170249199876
Texas Trucker at large,@Andersonj2273,2023-11-03T23:47:35.000Z,"Texas Trucker at large
@Andersonj2273
·
Nov 4","We are picking up momentum. Brokers are getting nervous. Rates are coming up. This is more than just about rates. It's about enforcement of 49cfr371.3.  
@SecretaryPete
 @SenTedCruz
 @TransportGOP
 
Do your job. This is going to get ugly. 
@MattMiller2000
 @averageJohn911
 @carmenL_v2
…
Show more",,,12,14,[],https://twitter.com/Andersonj2273/status/1720588564113637557
Florida Renegade,@MsRobotoFL,2023-11-03T23:36:15.000Z,"Florida Renegade
@MsRobotoFL
·
Nov 4","“We are vulnerable to global terrorism because 
@JoeBiden
 administration has thrown open the border and will not protect us,” 
@SenTedCruz
 says.",🗣 🙀 🙏 ⚓,,1,,[],https://twitter.com/MsRobotoFL/status/1720585713425477739
"Bob Cundiff, PhD",@drbcundiff,2023-11-03T23:29:31.000Z,"Bob Cundiff, PhD
@drbcundiff
·
Nov 4","“We are vulnerable to global terrorism because this administration has thrown open the border and will not protect us,” 
@SenTedCruz
 says.",,,,,[],https://twitter.com/drbcundiff/status/1720584018909855758
George Adams,@RetiredMilGuy,2023-11-03T23:18:28.000Z,"George Adams
@RetiredMilGuy
·
Nov 4","Eat s*it 
@GOP
 @mtgreenee
 @laurenboebert
 @tedcruz
 @SenTedCruz
 @RepAndyBiggsAZ
 @MarshaBlackburn
 @RonnyJacksonTX
 @RandPaul
 @JohnCornyn
 @SenJohnKennedy",,,,1,[],https://twitter.com/RetiredMilGuy/status/1720581237029687478
Bill chappuie,@BillChappuie,2023-11-04T23:41:12.000Z,"Bill chappuie
@BillChappuie
·
Nov 5","Ok my local gas station here in Kansas today has regular unleaded gas $3.09 gallon. I don’t want to hear shit from any of you on gasoline prices, or oil Independence. #Republicans 
@GOP
 #GOP 
@RogerMarshallMD
 @JakeLaTurner
 @SenTedCruz
 this industry runs itself, benign to government",,,,,[],https://twitter.com/BillChappuie/status/1720949346592596036
David,@Rischio_Walker,2023-11-04T23:06:38.000Z,"David
@Rischio_Walker
·
Nov 5","Why are we allowing this?
@POTUS
 @KamalaHarris
  @GovAbbott
 @SenTedCruz
 @JohnCornyn
 @ewarren
 @SpeakerJohnson
 anyone responding would be appreciated?  WHY?  This will not end well for Americans. WHY?  This is not the will of the people….",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720804479287599104/pu/img/3hF_NtxN7PyJZwRL.jpg'],https://twitter.com/Rischio_Walker/status/1720940648495210699
Gator IT Services,@GatorITServices,2023-11-04T23:02:03.000Z,"Gator IT Services
@GatorITServices
·
Nov 5","Like I've said before, when American citizens become victims of an attack by any of these ILLEGAL INVADER TERRORISTS, brought in by 
@POTUS
 @VP
 @SecMayorkas
 all 3 along with the democrats should be sued for their part in allowing it! 
@GOP
 @TheDemocrats
 @SenTedCruz",,,,,[],https://twitter.com/GatorITServices/status/1720939495086780516
The Spotlight Operator,@CannonballSamG,2023-11-04T22:57:55.000Z,"The Spotlight Operator
@CannonballSamG
·
Nov 5","Hey 
@tedcruz
 @SenTedCruz
 - this  u bro ",👇 👇 ✅ ☮ 🌊 👆 💯,,,,[],https://twitter.com/CannonballSamG/status/1720938453372699048
Tony LaCiura,@Cenzo1776,2023-11-04T22:38:11.000Z,"Tony LaCiura
@Cenzo1776
·
Nov 5","Deal with underneath. Obama, Soros, Muslim Brotherhood , BLM i.e.Hamas are behind this  . Mark all as enemies of the State. Start deportation.  Call the PROFESSIONALS. ICE. SEAL TEAMS RANGERS DELTA FORCE.  
@SenJohnKennedy
 @MarshaBlackburn
 @SenJoniErnst
 @SenTedCruz",,,,,[],https://twitter.com/Cenzo1776/status/1720933488625651832
lkgibson39,@lkgibson34,2023-11-05T23:51:56.000Z,"lkgibson39
@lkgibson34
·
Nov 6","https://boardingschoolhealing.org/education/healing-voices-movement-stories/…
It's time the US government takes responsibility! 
@HawleyMO
 @tedcruz
 @TuckerCarlson
 @SenTedCruz
 @USGovernmentNew",,,,,[],https://twitter.com/lkgibson34/status/1721314435032093082
OpenClusterTX,@OpenClusterTx,2023-11-05T23:44:56.000Z,"OpenClusterTX
@OpenClusterTx
·
Nov 6","It's time for the people in the US to wake up to the fact there is a Socialist revolution that is occurring in this country.
Socialists have infiltrated every level of government.
They are in every city & state.
@GovAbbott
 @SenTedCruz
@JohnCornyn",,,,1,[],https://twitter.com/OpenClusterTx/status/1721312672866533748
OutlawedMB,@CervaJehanne,2023-11-05T23:35:44.000Z,"OutlawedMB
@CervaJehanne
·
Nov 6","Tyler has history. Secretly recording/threatening 20+ yrs ago/gang. I told him to turn himself in 2019! ?Alias: Tyler True. Changes vehicle. Found it! 
@HawleyMO
 @Jim_Jordan
 @RepMTG
 @newscentermaine
 @LegalServicesUS
 @DHSgov
 @SenateGOP
 @SenatorCollins
 @SenTedCruz
 @RepMTG
 @FBI",,,,,[],https://twitter.com/CervaJehanne/status/1721310358181167140
"Bo Dirnbach w PDA fighting for #HR1976, #M4A.",@BorisDirnbach,2023-11-05T23:30:55.000Z,"Bo Dirnbach w PDA fighting for #HR1976, #M4A.
@BorisDirnbach
·
Nov 6","He's Confused 
@speakerjohnson
 @stevescalise
 @EliseStefanik
 @GOPMajorityWhip
 @housegop
 @senategop
 @SenJohnThune
 @tomfitton
 @RNCResearch
 @NRSC
 @GOPChairwoman
 @gop
 @repmtg
 @repboebert
 @kilmeade
 @brithume
 @JudgeJeanine
 @seanhannity
 @nra
 @mtgreenee
 @laurenboebert
 @sentedcruz
 @foxnews
!",,,,,[],https://twitter.com/BorisDirnbach/status/1721309146601910529
Jim,@JimDD942,2023-11-05T23:21:08.000Z,"Jim
@JimDD942
·
Nov 6"," @tedcruz
 @SenTedCruz
 #Verdict",🤣,,,1,[],https://twitter.com/JimDD942/status/1721306683870195835
BDA,@bondee2020,2023-11-06T23:54:03.000Z,"BDA
@bondee2020
·
Nov 7","It’s time these judges and ags are held accountable. They are clearly corrupt as hell. 
@TheKuhnerReport
 @JesseBWatters
 @laurenboebert
 @mtgreenee
 @SenTedCruz
 @Jim_Jordan
 @RepMattGaetz",,,,,['https://pbs.twimg.com/amplify_video_thumb/1721584230726262784/img/O0xP0UUb4WDc7C06.jpg'],https://twitter.com/bondee2020/status/1721677356048228593
