UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Team Pfizer vax trial participant,@SuziQ4U,2023-11-01T23:04:13.000Z,"Team Pfizer vax trial participant
@SuziQ4U
·
Nov 2","Thank you for your work on mental health issues, 
@SenThomTillis
. It sounds like you had some bad experiences and glad you are able to turn it into a positive to help people.",☮,,,1,[],https://twitter.com/SuziQ4U/status/1719852877500338550
The Wake Weekly,@WakeWeekly,2023-11-01T20:38:56.000Z,"The Wake Weekly
@WakeWeekly
·
Nov 2","The 
@WF_Chamber
's Government Affairs Committee met with 
@RepDeborahRoss
, 
@SenThomTillis
, 
@RepDonDavis
, 
@SenTedBuddNC
 & 
@JeffJacksonNC
 during last week’s D.C. Fly-In advocacy trip",,,2,1,['https://pbs.twimg.com/card_img/1730045355041935360/juj9v0xk?format=jpg&name=360x360'],https://twitter.com/WakeWeekly/status/1719816312753475850
Senator Thom Tillis,@SenThomTillis,2023-11-01T19:55:29.000Z,"Senator Thom Tillis
@SenThomTillis
·
Nov 2","Keith and Aviva Siegel and Abigail Mor Edan have been held hostage by Hamas since October 7th. One hostage is a North Carolina native. The NC congressional delegation has been united in doing whatever we can to help, and we have met with their loving families who desperately want…
Show more",,21,12,46,['https://pbs.twimg.com/media/F934vWRXQAAiRDL?format=jpg&name=900x900'],https://twitter.com/SenThomTillis/status/1719805381025644787
Cooljules,@JMGarrison,2023-11-01T17:52:09.000Z,"Cooljules
@JMGarrison
·
Nov 2","Hope you agree with this 
@SenThomTillis",,,,2,"['https://pbs.twimg.com/profile_images/1724869849602535424/4djzEA1s_normal.jpg', 'https://pbs.twimg.com/media/F9zCiBHXYAAlwgX?format=jpg&name=900x900']",https://twitter.com/JMGarrison/status/1719774342081327562
Senator Thom Tillis,@SenThomTillis,2023-11-01T16:50:13.000Z,"Senator Thom Tillis
@SenThomTillis
·
Nov 2",The stark rise in antisemitic incidents we’re seeing across our country is alarming. Hate and antisemitic vitriol do not reflect our nation’s values. We must do everything possible to speak against hate and support our Jewish friends and allies.,,41,39,154,['https://pbs.twimg.com/card_img/1729913063128887296/Uavm1_3K?format=jpg&name=900x900'],https://twitter.com/SenThomTillis/status/1719758755670208964
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:15:34.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@SenThomTillis
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,1,,1,[],https://twitter.com/teekay5150/status/1719750036416758115
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:08:15.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@SenThomTillis
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1719748192701386859
Jorge Contreras,@contreraslegals,2023-11-01T13:54:42.000Z,"Jorge Contreras
@contreraslegals
·
Nov 1","Now out in 
@NYUJILP
 my paper on #patents on #pathogen #genomes. Bottom line: don't allow them; there's plenty of room for innovation downstream & open viral sequences promote global research
@sjquinney
 @PetrieFlom
 @SenThomTillis
 @ChrisCoons
 
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4273323…",,,5,12,[],https://twitter.com/contreraslegals/status/1719714586763653218
Mike Kennedy,@msk1957,2023-11-01T13:07:34.000Z,"Mike Kennedy
@msk1957
·
Nov 1","All financial entities should be audited. No excuse unless there is something to hide. NC citizens ask 
@SenTedBuddNC
 @SenThomTillis
 to vote for #AudittheFed It’s our money and we have the right to know how it is spent. Every dime!",‼ 🚨 🚨 ‼,,,,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg'],https://twitter.com/msk1957/status/1719702724772589712
TrUcK LaBoR AdVoCaTe,@Channel19S,2023-11-01T12:48:53.000Z,"TrUcK LaBoR AdVoCaTe
@Channel19S
·
Nov 1","BINGO! Same thing with many freight brokers! Whose going to stand up for TRUCKERS? WELL!! 
@USDOJ
 @FTC
 @commercedems
 @RepKManning
 @SenTedBuddNC
 @SenThomTillis
 @SecretaryPete
 @POTUS",,,1,2,"['https://pbs.twimg.com/profile_images/1623044163917778964/0RQ9J-D8_normal.jpg', 'https://pbs.twimg.com/tweet_video_thumb/F9zNz4YWoAAI_i8.jpg']",https://twitter.com/Channel19S/status/1719698023641473324
Laura Ortiz,@lauraortizrod,2023-11-01T12:36:19.000Z,"Laura Ortiz
@lauraortizrod
·
Nov 1",".
@SenThomTillis
’s annual Bipawtisan Howl-o-ween Dog Parade was, as always, a big success!!!!",,1,,3,"['https://pbs.twimg.com/media/F92VWVIWAAAqgHB?format=jpg&name=small', 'https://pbs.twimg.com/media/F92VWVEWQAA4E0t?format=jpg&name=small', 'https://pbs.twimg.com/media/F92VWU9WwAATBXY?format=jpg&name=small']",https://twitter.com/lauraortizrod/status/1719694858602868826
