UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Senator Tim Kaine,@SenTimKaine,2023-11-07T21:46:42.000Z,"Senator Tim Kaine
@SenTimKaine
·
Nov 8","Students’ acceptance into college shouldn’t hinge on whether their parents attended that school or donated a large sum of money. Today, I introduced a bipartisan bill with 
@SenToddYoung
 to end legacy admissions and bring more fairness to higher education admissions processes.",,2,2,15,[],https://twitter.com/SenTimKaine/status/1722007693076934905
Emily,@emilyshar1,2023-11-07T20:46:23.000Z,"Emily
@emilyshar1
·
Nov 8","Today I called 
@SenTimKaine
’s office to firstly thank him for cosponsoring the #MAHSAAct S.2626 and requested that he urges Senate Foreign Relations Committee Chairman, 
@SenatorCardin
 to mark up the Mahsa Act in order to hold the Islamic Republic leaders in Iran accountable.",,30,104,580,[],https://twitter.com/emilyshar1/status/1721992514582794750
Jill Lawrence,@JillDLawrence,2023-11-07T19:09:25.000Z,"Jill Lawrence
@JillDLawrence
·
Nov 8","Thank you senators, way overdue: A bill introduced Tuesday by 
@SenToddYoung
 and 
@SenTimKaine
—called the MERIT Act—would try to end legacy admissions at colleges and universities. 1/3 https://wsj.com/us-news/education/capitol-hill-targets-legacy-preferences-for-college-admissions-f827125f… via 
@WSJ",,2,6,27,[],https://twitter.com/JillDLawrence/status/1721968113632027042
Viking_6_EIB_VFRL_PhD,@TexViking4All,2023-11-07T19:06:58.000Z,"Viking_6_EIB_VFRL_PhD
@TexViking4All
·
Nov 8","Well...

You know what to do 
@SenTimKaine
 @MarkWarner
 

Do it.

Thank you",🟧,,1,1,[],https://twitter.com/TexViking4All/status/1721967498185122016
Rep. Jennifer Wexton,@RepWexton,2023-11-07T18:38:07.000Z,"Rep. Jennifer Wexton
@RepWexton
·
Nov 8","Loudoun is the proud home of President James Monroe's Oak Hill estate.

I'm leading an effort with 
@MarkWarner
 and 
@SenTimKaine
 to make the property an official 
@NatlParkService
 site to share the history of Oak Hill with the American public.",,3,2,16,[],https://twitter.com/RepWexton/status/1721960237228343795
Mark Warner,@MarkWarner,2023-11-08T23:44:08.000Z,"Mark Warner
@MarkWarner
·
Nov 9","My joint statement with 
@SenTimKaine
 on the FBI HQ:",,61,49,165,[],https://twitter.com/MarkWarner/status/1722399634616684574
southerngalpal,@belleofva,2023-11-08T21:40:50.000Z,"southerngalpal
@belleofva
·
Nov 9","You must be ever so proud of the legacy you are leaving for your children 
@RepWexton
, 
@SenTimKaine
 and 
@SenatorWarner
.",🍊 🧡 🧡 🍊,,,1,[],https://twitter.com/belleofva/status/1722368608368468332
Louie,@inducekarmaaa,2023-11-08T20:06:33.000Z,"Louie
@inducekarmaaa
·
Nov 9","Hey 
@SenTimKaine
 @timkaine
 the current proposed legislation for LONG COVID is inadequate and doesn’t address folks needs. I think the community should read and review the details. Feel free to comment folks. https://congress.gov/118/bills/hr1114/BILLS-118hr1114ih.pdf…",🦁,4,14,28,[],https://twitter.com/inducekarmaaa/status/1722344878607069613
johnseebach,@johnseebach,2023-11-08T18:44:12.000Z,"johnseebach
@johnseebach
·
Nov 9","Super proud to call Tim Kaine my Senator. His Shenandoah Mountain Act protects some of the most ecologically important parts of Virginia's 
@GWJNF
 so they'll still be wild long after I'm gone. Such an amazing place. Thanks 
@SenTimKaine
!",,,,1,[],https://twitter.com/johnseebach/status/1722324153225621734
SELC,@selc_org,2023-11-08T15:01:29.000Z,"SELC
@selc_org
·
Nov 8","Thank you 
@SenTimKaine
 for continuing to fight for the Shenandoah Mountain Act! The bill would permanently protect more than 92,000 acres of the George Washington National Forest, preserving its spectacular vistas and majestic forests for generations to come.",,1,9,20,[],https://twitter.com/selc_org/status/1722268108298334480
