UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Laura Dorle,@LauraDorle,2023-11-01T23:41:02.000Z,"Laura Dorle
@LauraDorle
·
Nov 2",".
@POTUS
 @amyklobuchar
 @SenTinaSmith
 @GovTimWalz
 @MayorFrey
 I know you hear these Minnesotans. When will we get a response??? #mnpolitics #FreePalestine #CeaseFireNow",,,,,[],https://twitter.com/LauraDorle/status/1719862142801772927
Christina Reynolds,@creynoldsnc,2023-11-01T23:18:47.000Z,"Christina Reynolds
@creynoldsnc
·
Nov 2","Reminder that 
@SenTinaSmith
 worked for Planned Parenthood. She knows about abortion rights and is a fearless advocate for reproductive freedom. Listen to her:",,1,4,11,"['https://pbs.twimg.com/profile_images/1595181816524279808/nMSlcmjH_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719849041859575809/pu/img/lbbA8825yEl9j81D.jpg']",https://twitter.com/creynoldsnc/status/1719856539958128971
Laura Dorle,@LauraDorle,2023-11-01T23:16:28.000Z,"Laura Dorle
@LauraDorle
·
Nov 2","Today I’m marching with hundreds towards 
@JoeBiden
’s fundraiser to demand a #ceasefire & meeting with 
@SenTinaSmith
’s staff at 10:30 am this Friday at her St. Paul district office. Anyone who can please join me! The more ppl the stronger the voice!",,1,,2,['https://pbs.twimg.com/profile_images/1263149669816958979/5IwcqrZd_normal.jpg'],https://twitter.com/LauraDorle/status/1719855956895453423
Books are my FFs,@are_bffs,2023-11-01T23:01:02.000Z,"Books are my FFs
@are_bffs
·
Nov 2","I’m at so proud of our Minnesota Senator! Thank you, 
@SenTinaSmith
 ! We appreciate everything you are doing!",🐝 😎 🚙 ☮,,,1,"['https://pbs.twimg.com/profile_images/1595181816524279808/nMSlcmjH_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719849041859575809/pu/img/lbbA8825yEl9j81D.jpg']",https://twitter.com/are_bffs/status/1719852074588835959
Senator Tina Smith,@SenTinaSmith,2023-11-01T22:49:35.000Z,"Senator Tina Smith
@SenTinaSmith
·
Nov 2","I have a prediction…

Speaker Johnson and House Republicans will start trying to walk back their unhinged, out-of-touch positions on reproductive freedom.

When he says he wants to ban abortion and birth control… we should take him at his word.",,146,415,987,['https://pbs.twimg.com/ext_tw_video_thumb/1719849041859575809/pu/img/lbbA8825yEl9j81D.jpg'],https://twitter.com/SenTinaSmith/status/1719849192820978160
Diane Lange,@DclareDiane,2023-11-02T22:51:42.000Z,"Diane Lange
@DclareDiane
·
Nov 3","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
- activists and students along with support from at least a few in Congress have decided Hamas vs. Israel is just a war of religions.
Makes supporting either side is a sticky wicket.
As bad as supporting fascism over communism",,,,,[],https://twitter.com/DclareDiane/status/1720212115191898173
Diane Lange,@DclareDiane,2023-11-02T22:44:23.000Z,"Diane Lange
@DclareDiane
·
Nov 3","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
Trumps' NYC fraud trial - signing off on expert work a crime?
Congress could be in big trouble, do they even take the time to sign-off on new regulatory from how many agencies they allow to do Congress' authority?",,,,,[],https://twitter.com/DclareDiane/status/1720210271589793854
Senator Tina Smith,@SenTinaSmith,2023-11-02T22:32:08.000Z,"Senator Tina Smith
@SenTinaSmith
·
Nov 3","We just confirmed the first woman to ever lead a branch of the United States military — and be a member of the Joint Chiefs of Staff.
 
Women and girls who aspire to join our armed forces will look up to her for decades.

Congratulations to Admiral Franchetti!",,112,211,754,[],https://twitter.com/SenTinaSmith/status/1720207187912356317
Diane Lange,@DclareDiane,2023-11-02T22:06:04.000Z,"Diane Lange
@DclareDiane
·
Nov 3","MN
@SenAmyKlobuchar
 @SenTinaSmith
 @RepFinstad
 
'Hamas' the new 'Nazi'
At least for those that choose to throw nasty names at their political opponents.
Do your best to refrain.",,,,,[],https://twitter.com/DclareDiane/status/1720200627391709561
Dodge Diaries,@DodgeDiaries,2023-11-02T22:03:30.000Z,"Dodge Diaries
@DodgeDiaries
·
Nov 3","Since my calls and emails have been ignored, we'll see if this works. 
@SenAmyKlobuchar
 @SenTinaSmith
 Call for a ceasefire. We don't want our tax dollars funding a genocide.",,,,,[],https://twitter.com/DodgeDiaries/status/1720199984035799068
