UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
JeniMac,@JennyMcMas8060,2023-11-01T23:50:21.000Z,"JeniMac
@JennyMcMas8060
·
Nov 2","Don't Do It!!!!!! 
@LindseyGrahamSC
 @senjoniernst
 @SenToddYoung
 @SenDanSullivan
 @LeaderMcConnell
 @SenTuberville",,,,1,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_mini.png'],https://twitter.com/JennyMcMas8060/status/1719864484582322500
BertaNiculae,@tietsman,2023-11-01T23:47:42.000Z,"BertaNiculae
@tietsman
·
Nov 2","Primary 
@SenToddYoung
#RINO",,,,,['https://pbs.twimg.com/profile_images/1571215482098798609/CPpdiaaR_mini.jpg'],https://twitter.com/tietsman/status/1719863819860672854
Bonnie Castillo,@NNUBonnie,2023-11-01T23:22:24.000Z,"Bonnie Castillo
@NNUBonnie
·
Nov 2","Today, I was invited to participate in a conversation about the impact of A.I. on the workforce hosted by Majority Leader 
@SenSchumer
, 
@SenatorHeinrich
, 
@SenatorRounds
, and 
@SenToddYoung
. Here's the perspective union nurses bring to the conversation.  (1/10)",🧵,1,16,28,['https://pbs.twimg.com/media/F94pKpBakAA25ke?format=jpg&name=small'],https://twitter.com/NNUBonnie/status/1719857452014084563
Senator Todd Young,@SenToddYoung,2023-11-01T23:14:11.000Z,"Senator Todd Young
@SenToddYoung
·
Nov 2","Some of my best memories growing up in an IU family were watching games with my Dad, from IU-Purdue nail biters to Big Ten/NCAA title runs. I join with all IU fans in mourning the passing of legendary Coach Bob Knight.",,83,4,82,[],https://twitter.com/SenToddYoung/status/1719855383987060825
Deplorable Taz,@moose_taz,2023-11-01T23:02:45.000Z,"Deplorable Taz
@moose_taz
·
Nov 2","WATCHING  CORRUPT SELF SERVING COWARDS 
@LeaderMcConnell
 CREW 
@joniernst
 @LindseyGrahamSC
 @SenToddYoung
 @DanSullivan_AK
 ATTACKING PATRIOT 
@SenTuberville
 U ARE A THREAT TO AMERICANS FREEDOMS AND SAFETY",,,1,,[],https://twitter.com/moose_taz/status/1719852505071296640
"ͲᎡᎪᏟᎬᎽBS,RN☤MSNis mad DemsR repeating 2016⬳꧂",@TeeBern,2023-11-01T22:58:40.000Z,"ͲᎡᎪᏟᎬᎽBS,RN☤MSNis mad DemsR repeating 2016⬳꧂
@TeeBern
·
Nov 2","I happened to turn on 
@cspan
 2 because I am so SICK of cable TV covering that LUNATIC & his crime family, & 
@SenToddYoung
 @MittRomney
 @SenDanSullivan
 are trying to get FREAK 
@SenTuberville
 to STOP HARMING MILITARY w/his HOLDS
@votevets
 @ChrisCuomo
 @chrislhayes
 @PaulRieckhoff",👠 📚 ✨,1,,1,[],https://twitter.com/TeeBern/status/1719851477831762126
BertaNiculae,@tietsman,2023-11-01T22:48:06.000Z,"BertaNiculae
@tietsman
·
Nov 2","Primary 
@SenJoniErnst
Primary 
@SenDanSullivan
Primary 
@SenToddYoung
 

#RINO",,,,,[],https://twitter.com/tietsman/status/1719848818621956595
HampNC,@nataliesch93717,2023-11-01T22:38:28.000Z,"HampNC
@nataliesch93717
·
Nov 2","what a WEIRD coincidence....all four voted to certify the FRAUDULENT 2020 election. 
@SenJoniErnst
 @LindseyGrahamSC
 @SenDanSullivan
 @SenToddYoung
 . Im seeing a pattern here....",🤔 🤔 🤔 🤔 🤔 🚨,,,,['https://pbs.twimg.com/profile_images/1605984002522890244/FcXf_Nvp_mini.jpg'],https://twitter.com/nataliesch93717/status/1719846395979473232
Angel Mueller,@BigMamaAngel,2023-11-01T22:25:06.000Z,"Angel Mueller
@BigMamaAngel
·
Nov 2","These people need to voted out! 
@LindseyGrahamSC
 @SenJoniErnst
 @SenToddYoung
 Shame on them for backstabbing someone who is doing what is right!  Just Shameful",🚨,,,,['https://pbs.twimg.com/profile_images/1605984002522890244/FcXf_Nvp_mini.jpg'],https://twitter.com/BigMamaAngel/status/1719843031065518258
Sen. Dan Sullivan,@SenDanSullivan,2023-11-01T22:02:49.000Z,"Sen. Dan Sullivan
@SenDanSullivan
·
Nov 2","I’ll be on the Senate floor shortly with 
@SenJoniErnst
, 
@SenToddYoung
, 
@LindseyGrahamSC
 to individually bring up for a vote the military nominees currently being held.

 Watch live: https://senate.gov/legislative/floor_activity_pail.htm…",📺,13,9,11,[],https://twitter.com/SenDanSullivan/status/1719837422479970621
