UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:31:25.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@JacksonLeeTX18
@RepTonyGonzales
@michaelcburgess
@RepCloudTX
@RepDuarteCA13
@RepSwalwell
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719859719228031300
@realtexan2you,@realtexan2you,2023-11-01T21:33:45.000Z,"@realtexan2you
@realtexan2you
·
Nov 2","Senate needs to pass HR 2 that is sitting in the Senate waiting to be passed there. It is a fix to border security. Repost. 
@SenTedCruz
 @SenRandPaul
 @SenRonJohnson
 @SenJohnKennedy
 @MarshaBlackburn
 @SenateGOP
 @SenTomCotton
 @SenMarcoRubio
 @committeeonccp
 @realColtonMoore",,,,,[],https://twitter.com/realtexan2you/status/1719830109786460549
Tom Cotton,@SenTomCotton,2023-11-01T20:34:45.000Z,"Tom Cotton
@SenTomCotton
·
Nov 2"," Biden is now secretly pressuring Israel to allow fuel into Gaza. Hamas has huge reserves of fuel that it could use for civilians, but instead stockpiles for its rockets and terror tunnels.",🚨 🚨,260,773,2.4K,[],https://twitter.com/SenTomCotton/status/1719815260851376426
Vicky Beal,@BealVicky85736,2023-11-01T19:52:26.000Z,"Vicky Beal
@BealVicky85736
·
Nov 2","Can we find this man and make sure he is getting the care he needs? 
@tedcruz
 @Jim_Jordan
 @DeptVetAffairs
 @VAVetBenefits
 @VeteransHealth
 @JDVance1
 @mattgaetz
 @mtgreenee
 @HawleyMO
 @SenTomCotton",,,,,['https://pbs.twimg.com/amplify_video_thumb/1668764890914324488/img/XCsROAE_i8M97LBQ.jpg'],https://twitter.com/BealVicky85736/status/1719804610209092064
B. Buck,@BBuck63269384,2023-11-01T19:17:44.000Z,"B. Buck
@BBuck63269384
·
Nov 2","I truly thank God for 
@SenJDVance
  @HawleyMO
 @SenTomCotton
 @MarshaBlackburn
 @SenRonJohnson
 @RepClayHiggins
 @SenJohnKennedy
 @SenRandPaul
 @SenJoniErnst
  NEVER give a group approval on candidates! Always vet them one by one! Thank you for your caution. #CloseOurBorderS",🙏 🙏,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719792050307010560/pu/img/aAab2E2wWW23Bv7n.jpg'],https://twitter.com/BBuck63269384/status/1719795878524010800
PatientQoL Coalition,@PatientQoL,2023-11-01T19:11:48.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2",".
@SenTomCotton
 Please cosponsor #PCHETA! It will advance palliative care education, awareness & research and improve quality of care & quality of life for millions of patients & families facing serious illness. This bipartisan bill is endorsed by 90+ orgs. 
@PatientQoL
 #HPM #HAPC",,,,,[],https://twitter.com/PatientQoL/status/1719794384877830147
Breaking Norfolk,@breakingnorfolk,2023-11-02T23:20:33.000Z,"Breaking Norfolk
@breakingnorfolk
·
Nov 3","Is working against an ally during war an impeachable offense? 
@HouseGOP
 @SenTomCotton
 @tedcruz
 @marcorubio
 @chiproytx
 @GovRonDeSantis",,,,,[],https://twitter.com/breakingnorfolk/status/1720219374819160414
PNW Shan,@PNWShan,2023-11-02T23:08:58.000Z,"PNW Shan
@PNWShan
·
Nov 3","Can we impeach 
@SecMayorkas
 yet? CBP is HELPING people invade our border.
@SenTedCruz
 @SenRonJohnson
 @SenJohnKennedy
 @HawleyMO
 @SenTomCotton
 @ChuckGrassley",⚔,,,,['https://pbs.twimg.com/amplify_video_thumb/1719504814017507328/img/8YJaLzTfo3SC3h6W.jpg'],https://twitter.com/PNWShan/status/1720216460700877297
Netbum,@NetBum1,2023-11-02T22:17:33.000Z,"Netbum
@NetBum1
·
Nov 3","They(biden and the dems)really are THE JEW HATING NAZIS #hamasDEMS  
@realDonaldTrump
@Timcast
 
@StefanMolyneux
@thevivafrei
 @pnjaban
 @adamcarolla
 @MrAndyNgo
 @ScottAdamsSays
 @elonmusk
 @megynkelly
 @SenTomCotton
 @HawleyMO
 
@Sargon_of_Akkad
@GOP
 @VivekGRamaswamy
@Tree_of_Logic
 #2A",,,,,[],https://twitter.com/NetBum1/status/1720203518123114780
Netbum,@NetBum1,2023-11-02T22:14:36.000Z,"Netbum
@NetBum1
·
Nov 3","#TRUMP2024 
@realDonaldTrump
@Timcast
 
@StefanMolyneux
@thevivafrei
 @pnjaban
 @adamcarolla
 @MrAndyNgo
 @ScottAdamsSays
 @elonmusk
 @megynkelly
 @SenTomCotton
 @HawleyMO
 
@Sargon_of_Akkad
@GOP
 @VivekGRamaswamy
@Tree_of_Logic
 #2A",,,,,[],https://twitter.com/NetBum1/status/1720202777899766068
