UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Eoin Thréinfhir,@carpediem365,2023-11-01T23:59:42.000Z,"Eoin Thréinfhir
@carpediem365
·
Nov 2","I support 
@SenTuberville
 1000%.  Thank you for standing like an oak against these compromising RINOs.  Life > GOs promotions.  Constitution > DoD.",,,,,"['https://pbs.twimg.com/profile_images/1599596465130700800/njeeSJmC_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719856423134253056/pu/img/CPWJin9xDphps4QJ.jpg']",https://twitter.com/carpediem365/status/1719866837272515002
Billy Long,@TheBillyLong,2023-11-01T23:58:26.000Z,"Billy Long
@TheBillyLong
·
Nov 2","Sometimes ya gotta cut the chains to those anchors in order to move on to bluer waters. And yes.. 
@SenTuberville
  is... in this analogy, the rust and barnacle-caked anchor buried in sea sludge and whale shit.",,,,,['https://pbs.twimg.com/profile_images/902529867110952961/TWQ0wJZ9_normal.jpg'],https://twitter.com/TheBillyLong/status/1719866520312885689
Taylor Popielarz,@TaylorPopielarz,2023-11-01T23:57:34.000Z,"Taylor Popielarz
@TaylorPopielarz
·
Nov 2","As Alabama GOP 
@SenTuberville
 continues his months-long blockade of 300+ key military promotions, a group of fellow Republicans led by 
@SenDanSullivan
 and 
@SenJoniErnst
 are on the Senate floor tonight calling him out for it and attempting to force votes.

He continues to object.",,3,6,13,['https://pbs.twimg.com/ext_tw_video_thumb/1719863764554588160/pu/img/PORnBKWwuXY_Qwcd.jpg'],https://twitter.com/TaylorPopielarz/status/1719866301785743362
William Thibeau,@WilliamThibeau,2023-11-01T23:56:47.000Z,"William Thibeau
@WilliamThibeau
·
Nov 2","Tonight, 
@DanSullivan_AK
 is proud to provide hyperbolic Twitter fodder for the Biden campaign as he seeks to undermine one of the most courageous efforts of civilian oversight of the military from 
@SenTuberville
 

He should check the list of holds. 40% support DEI. Almost 4 dozen…
Show more",,55,168,370,"['https://pbs.twimg.com/profile_images/1706852205892960256/tk1C73_B_normal.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1719854877977739264/pu/img/FcOs3QrHFY6XdSwz.jpg']",https://twitter.com/WilliamThibeau/status/1719866105496318339
Eric Grover,@Eric_Grover,2023-11-01T23:56:10.000Z,"Eric Grover
@Eric_Grover
·
Nov 2","Praying for 
@SenTuberville
 as the uni-party attacks him from both sides tonight. #fighttommyfight",,,,,[],https://twitter.com/Eric_Grover/status/1719865947635229121
Spoutible.com @HRHBethany - The Nazi Free Space,Spoutible.com @HRHBethany - The Nazi Free Space,2023-11-01T23:56:06.000Z,"Spoutible.com @HRHBethany - The Nazi Free Space
@HRHBethany
·
Nov 2","100% I have said from the beginning, 
@SenTuberville
 hates our military. He hates America and is trying to destroy it.",,,,1,['https://pbs.twimg.com/profile_images/1095849133481566209/JEjKL-2D_normal.jpg'],https://twitter.com/HRHBethany/status/1719865930501828906
Jim DeMint,@JimDeMint,2023-11-01T23:51:11.000Z,"Jim DeMint
@JimDeMint
·
Nov 2","Every Republican should support 
@SenTuberville
's courageous pro-life fight to stop Biden's taxpayer funding of abortions. Do any of these senators actually believes title promotions for Biden's woke nominees are more important than stopping the killing of unborn babies?",,515,762,2.4K,['https://pbs.twimg.com/profile_images/1571215482098798609/CPpdiaaR_normal.jpg'],https://twitter.com/JimDeMint/status/1719864693051777051
Santos Only Fans Alias,@BeefsnBeans,2023-11-01T23:42:43.000Z,"Santos Only Fans Alias
@BeefsnBeans
·
Nov 2","When Lindsey Graham is basically calling you a dumb ass on the Senate floor it’s time to go home .
@SenTuberville",,,,1,"['https://pbs.twimg.com/profile_images/1706852205892960256/tk1C73_B_normal.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1719851489529622528/pu/img/Zfwo_vFHQs9_wHOp.jpg']",https://twitter.com/BeefsnBeans/status/1719862563473850567
Laura F T,@LauraTripp57,2023-11-01T23:42:05.000Z,"Laura F T
@LauraTripp57
·
Nov 2","What’s happening tonight on the floor of the US Senate is a travesty. Kudos to  
@SenDanSullivan
 @SenJoniErnst
 for perseverance in reading individual names & Mil position descriptions AS THAT COWARD  
@SenTuberville
 WHO NEVER SERVED is objecting to every one. He’s vile.",,,,,[],https://twitter.com/LauraTripp57/status/1719862404673138920
Scott T. Parkinson,@ScottTParkinson,2023-11-01T23:40:59.000Z,"Scott T. Parkinson
@ScottTParkinson
·
Nov 2","Coach 
@SenTuberville
 loves the military. He’s not opposed to promoting deserving men & women serving America. 

The EXTREME BIDEN Dept of Defense thumbs its nose at the rule of law & is purposefully advancing its radical, illegal abortion agenda OVER the military promotions. 1/4",,8,50,131,[],https://twitter.com/ScottTParkinson/status/1719862127555747899
CindyLooWho,@SuzyLooWho,2023-11-01T23:40:53.000Z,"CindyLooWho
@SuzyLooWho
·
Nov 2","Tommy Tuberville is jeopardizing our National Security, and the lives of our Military Service Members.
Alabama voters who support Tuberville are anti-USA, and anti-military.
@SenSchumer
  @SenateDems
 @SenateGOP
 @LeaderMcConnell
 @SenTuberville",,,1,1,['https://pbs.twimg.com/card_img/1730285129149407232/ta4Z5klX?format=jpg&name=360x360'],https://twitter.com/SuzyLooWho/status/1719862102586761326
American Accountability Foundation,@ExposingBiden,2023-11-01T23:40:39.000Z,"American Accountability Foundation
@ExposingBiden
·
Nov 2","Here's one such Biden nominee 
@SenTuberville
 is blocking: Lt. Gen. Scott L. Pleus.  He's super woke, and held a discussion about race that included him asking this extremely cringy question ",👇,,8,10,[],https://twitter.com/ExposingBiden/status/1719862044399215036
Brian Boru,@Brian_Boroimhe,2023-11-01T23:39:50.000Z,"Brian Boru
@Brian_Boroimhe
·
Nov 2","I'll stick with 
@TTuberville
 @SenTuberville
 over the useless spineless GOP senators",🍀,,1,2,['https://pbs.twimg.com/profile_images/1571215482098798609/CPpdiaaR_normal.jpg'],https://twitter.com/Brian_Boroimhe/status/1719861836953071711
