UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
GetAReceipt4YourVote,@SuperBowlWs3547,2023-11-01T23:20:52.000Z,"GetAReceipt4YourVote
@SuperBowlWs3547
·
Nov 2",".
@senatordurbin
-wasted senate seat-
@SenVancePress
 is calling out your partisan HACK ""executive branch""-(#81millionvotesmyass)-& 
@lisamonaco
 & #merrickhusseingarland for their lawfare #electioninterference tactics.
can't beat #Trump?
tie him up in courts.
#democRATSarepathetic",🤬 ⤵,,1,1,['https://pbs.twimg.com/profile_images/2264686404/uq1gubtgx0i78lis0msg_normal.jpeg'],https://twitter.com/SuperBowlWs3547/status/1719857065512800635
GetAReceipt4YourVote,@SuperBowlWs3547,2023-11-01T23:12:48.000Z,"GetAReceipt4YourVote
@SuperBowlWs3547
·
Nov 2","Thank you 
@SenVancePress",⤵,,1,1,['https://pbs.twimg.com/profile_images/2264686404/uq1gubtgx0i78lis0msg_normal.jpeg'],https://twitter.com/SuperBowlWs3547/status/1719855037097103691
Senator Vance Press Office,@SenVancePress,2023-11-01T16:38:55.000Z,"Senator Vance Press Office
@SenVancePress
·
Nov 2","NEW: Senator 
@JDVance1
, Senate GOP warn Biden admin directive on giving loans to illegal immigrants could be ‘detrimental’

“Financial institutions are right to be concerned that they may never see a return on loans issued to illegal immigrants.”",🚨,23,11,47,['https://pbs.twimg.com/card_img/1729698196899692544/U0790759?format=jpg&name=900x900'],https://twitter.com/SenVancePress/status/1719755913404322071
Senate Republicans,@SenateGOP,2023-11-01T20:08:57.000Z,"Senate Republicans
@SenateGOP
·
Nov 2","Joe Biden reversed every policy that secured our border.

Now, Americans are dying every day from fentanyl flowing through the southern border.

WATCH 
@SenVancePress
:",,127,190,420,['https://pbs.twimg.com/amplify_video_thumb/1719808707813347328/img/kaeMnpPglqa_kW-L.jpg'],https://twitter.com/SenateGOP/status/1719808767980621928
Senator Vance Press Office,@SenVancePress,2023-11-01T14:02:12.000Z,"Senator Vance Press Office
@SenVancePress
·
Nov 1","INBOX: Senator 
@JDVance1
 leads all GOP members of the Senate Banking Committee against Biden admin directive to give loans to illegal immigrants.",📩,19,50,98,['https://pbs.twimg.com/media/F92pBFQXkAAjfw2?format=jpg&name=900x900'],https://twitter.com/SenVancePress/status/1719716472598208972
Senator Cynthia Lummis,@SenLummis,2023-11-02T20:40:52.000Z,"Senator Cynthia Lummis
@SenLummis
·
Nov 3","Wyoming banks need to know if the person they are considering for a loan could be deported and therefore unable or unwilling to repay the bank. 

I joined 
@SenVancePress
 in sending a letter to AG Garland to ensure our financial system stays strong.",,11,6,29,"['https://pbs.twimg.com/media/F99Ny6oWUAAlRdB?format=png&name=small', 'https://pbs.twimg.com/media/F99Ny6lXUAA9PC9?format=png&name=small', 'https://pbs.twimg.com/media/F99Ny6rWMAADIbt?format=png&name=small', 'https://pbs.twimg.com/media/F99N0XkWYAApC7g?format=png&name=small']",https://twitter.com/SenLummis/status/1720179188269793441
Artists Against Fascism Organization,@charlesrkiss,2023-11-02T20:33:39.000Z,"Artists Against Fascism Organization
@charlesrkiss
·
Nov 3","Hey, 
@JDVance1
 @SenVancePress
 JD bro, this rot you?",,,,,['https://pbs.twimg.com/profile_images/1532824903149314051/ezA3Jj6c_normal.jpg'],https://twitter.com/charlesrkiss/status/1720177371888648262
Senator Mike Braun,@SenatorBraun,2023-11-02T20:13:21.000Z,"Senator Mike Braun
@SenatorBraun
·
Nov 3
·","There’s been a lot of positive momentum for the Promising Pathway Act following our hearing last week. Thank you to our new cosponsors 
@SenatorShaheen
 @SenAlexPadilla
 @SenVancePress
 @SenEricSchmitt
 @LindseyGrahamSC
 for your support! It’s time we pass PPA for the patient…
Show more",,71,35,78,[],https://twitter.com/SenatorBraun/status/1720172261766766835
BlueTexan,@BlueTexan12,2023-11-02T15:02:29.000Z,"BlueTexan
@BlueTexan12
·
Nov 2","Republican Senator Blocks Judicial Nominations Because … Trump? https://newrepublic.com/post/176564/jd-vance-blocks-judicial-nominations-because-trump… We can thank 
@SenVancePress
 for ensuring the #GOPClownShowContinues 
@JDVance1
 Proof the GOP can do nothing but stall, obstruct, exact retribution, and throw tantrums. Where are the adults?",,,1,1,['https://pbs.twimg.com/card_img/1730029462404902913/Loznq4wC?format=jpg&name=900x900'],https://twitter.com/BlueTexan12/status/1720094031865315403
LisaStahl,@Lisa32686,2023-11-02T13:16:54.000Z,"LisaStahl
@Lisa32686
·
Nov 2","Thank you 
@SenVancePress
 @JDVance1
 Well done holding DOJ accountable for lawfare.  Now, 
@SpeakerJohnson
 @RepMattGaetz
 Withhold the funding.",🐴 🐴 🥕 🥕,,1,,['https://pbs.twimg.com/card_img/1730033224678612992/XdFyFHdl?format=jpg&name=900x900'],https://twitter.com/Lisa32686/status/1720067461125476761
Maureen,@BronxGirl1357,2023-11-02T13:00:55.000Z,"Maureen
@BronxGirl1357
·
Nov 2","There is something wrong with 
@SenVancePress",,,,,['https://pbs.twimg.com/profile_images/431276795216678912/K9GgLuad_normal.png'],https://twitter.com/BronxGirl1357/status/1720063436086706461
Artists Against Fascism Organization,@charlesrkiss,2023-11-02T11:58:05.000Z,"Artists Against Fascism Organization
@charlesrkiss
·
Nov 2","Hey 
@JDVance1
 @SenVancePress
 , this you?",,,,,['https://pbs.twimg.com/profile_images/521747547648311296/Z-2ftHoZ_normal.png'],https://twitter.com/charlesrkiss/status/1720047626526089428
Pam Emerson,@pemersonvb111,2023-11-02T02:54:15.000Z,"Pam Emerson
@pemersonvb111
·
Nov 2",".
@JDVance1
 @SpeakerJohnson
 @Jim_Jordan
 @SenTedCruz
 @SenRonJohnson
 @SenJohnKennedy
 @SenVancePress
 @MarshaBlackburn
 @SenateGOP
 @HouseGOP",,,,,['https://pbs.twimg.com/profile_images/836614721726001152/tc1LJ2XF_normal.jpg'],https://twitter.com/pemersonvb111/status/1719910763777630713
Pam Emerson,@pemersonvb111,2023-11-02T02:41:18.000Z,"Pam Emerson
@pemersonvb111
·
Nov 2",".
@JDVance1
 @SpeakerJohnson
 @Jim_Jordan
 @SenTedCruz
 @SenRonJohnson
 @SenJohnKennedy
 @SenVancePress
 @MarshaBlackburn
 @SenateGOP
 @HouseGOP",,,,,['https://pbs.twimg.com/profile_images/1604127647390392323/1CdvBvRK_normal.jpg'],https://twitter.com/pemersonvb111/status/1719907505768427829
Pam Emerson,@pemersonvb111,2023-11-02T02:37:57.000Z,"Pam Emerson
@pemersonvb111
·
Nov 2",".
@JDVance1
 @SpeakerJohnson
 @Jim_Jordan
 @SenTedCruz
 @SenRonJohnson
 @SenJohnKennedy
 @SenVancePress
 @MarshaBlackburn
 @SenateGOP
 @HouseGOP",👁 👁 👁 👁,,,,['https://pbs.twimg.com/profile_images/1562966696872185856/pLr55i5W_normal.jpg'],https://twitter.com/pemersonvb111/status/1719906663518621725
Liberty&Freedom,@RoutTheHand,2023-11-02T02:26:42.000Z,"Liberty&Freedom
@RoutTheHand
·
Nov 2","Looks like 
@SenTuberville
 and 
@SenVancePress
 are the only 2 in there that are NOT cowards. 
@SenateGOP",🛫 🦅,,1,,['https://pbs.twimg.com/profile_images/1713184751815655424/-mRk_oM9_normal.jpg'],https://twitter.com/RoutTheHand/status/1719903832644452783
Freedom Fighter,@TheDCFreedom,2023-11-02T01:21:16.000Z,"Freedom Fighter
@TheDCFreedom
·
Nov 2","I agree! Any member of the 
@GOP
 
@SenMullin
 @SenatorLankford
 @RepBice
 Should agree with 
@JDVance1
 @SenVancePress",,,,,['https://pbs.twimg.com/profile_images/1719328435137323008/UVkkt2xy_normal.jpg'],https://twitter.com/TheDCFreedom/status/1719887364112232471
Senator Marco Rubio,@SenMarcoRubio,2023-11-03T20:15:00.000Z,"Senator Marco Rubio
@SenMarcoRubio
·
Nov 4","The 
@uscensusbureau
's scheme to add questions on gender identity undermines the science of biological sex. 

Partnered with Senator Vance (
@SenVancePress
) in sending a letter to the bureau condemning this effort. 

https://rubio.senate.gov/rubio-vance-criticize-u-s-census-bureau-for-pushing-gender-identity-question/…",,7,10,45,['https://pbs.twimg.com/media/F-CNa44XQAAGNVS?format=jpg&name=900x900'],https://twitter.com/SenMarcoRubio/status/1720535065250209914
Jim Willeke,@jwilleke,2023-11-03T08:07:37.000Z,"Jim Willeke
@jwilleke
·
Nov 3","The recent rules imposed by the IRS set a dangerous precedent for the average consumer's involvement in DeFi transactions. This  reporting requirements extend far beyond the original intent of Congress, encroaching on individuals' privacy rights.
@SenVancePress
@SenSherrodBrown",,,,,[],https://twitter.com/jwilleke/status/1720352012515037374
Number Six,@ThePrisoner1962,2023-11-03T05:48:36.000Z,"Number Six
@ThePrisoner1962
·
Nov 3","Thank God! Or should I say thank 
@JDVance1
 @SenVancePress
 !!!!!

https://dailycallernewsfoundation.org/2023/11/01/i-will-object-jd-vance-says-he-will-continue-to-hold-up-key-biden-doj-nominees-over-trump-indictments/…",,,,,[],https://twitter.com/ThePrisoner1962/status/1720317028798435419
Eric Byrd,@ericbyr00758391,2023-11-03T02:10:57.000Z,"Eric Byrd
@ericbyr00758391
·
Nov 3","What Say You! 
@OhioGunOwners
 @SenVancePress
  @ohiogop
 @OhioAG
 @GOP
 @SenateGOP
  @HouseGOP
 @GunOwners
 
Another way to devastate the #2A community...
https://youtube.com/watch?v=ZsNhejpHQuM&t=182s…",,,,,['https://pbs.twimg.com/media/F9-X_BvXEAAk-VP?format=png&name=900x900'],https://twitter.com/ericbyr00758391/status/1720262258339577866
Robert Smith,@DWG_CHECK,2023-11-03T00:10:00.000Z,"Robert Smith
@DWG_CHECK
·
Nov 3","This is just what our representatives need to see. Feel free to tag them. China is and will continue to claim and take whatever they feel they have a right to. We better claim our share first. 
@SenVancePress
 
@SenTedCruz
 @RepMaxMiller
  @Jim_Jordan
 @SenSherrodBrown",,,,,"['https://pbs.twimg.com/profile_images/1611771989680693249/wFyMt3WX_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1720073548054581248/pu/img/j2CX7abWtx5j9uxJ.jpg']",https://twitter.com/DWG_CHECK/status/1720231817712648496
Pam Emerson,@pemersonvb111,2023-11-04T12:40:22.000Z,"Pam Emerson
@pemersonvb111
·
Nov 4",".
@SenJohnKennedy
 @SenTedCruz
 @SenVancePress
 @SenMikeLee",,,,1,['https://pbs.twimg.com/profile_images/857847692793266176/vWQxR8xl_normal.jpg'],https://twitter.com/pemersonvb111/status/1720783043806298516
Majed,@majed8584,2023-11-05T14:28:56.000Z,"Majed
@majed8584
·
Nov 5","Israel will use one of there 200 nuclear bomb or US will send them one?! 
@ChrisVanHollen
 @RashidaTlaib
 @aoc
  @SenatorCardin
 @ChrisVanHollen
 @SenVancePress
 @SenWarren
 @SenSchumer
 @POTUS
 @VP
 @RepGregLandsman
 @RepThomasMassie
 @RepRashida
 @SecBlinken",,,,,['https://pbs.twimg.com/card_img/1730056721811337217/kNIEtPe-?format=jpg&name=900x900'],https://twitter.com/majed8584/status/1721172749647831294
Pam Emerson,@pemersonvb111,2023-11-05T04:46:14.000Z,"Pam Emerson
@pemersonvb111
·
Nov 5",".
@RepMikeTurner
 @RepChipRoy
 @RepMaxMiller
 @SpeakerJohnson
 @Jim_Jordan
 @JDVance1
 @SenJohnKennedy
 @SenVancePress",,,,,['https://pbs.twimg.com/profile_images/1604127647390392323/1CdvBvRK_normal.jpg'],https://twitter.com/pemersonvb111/status/1721026111960736024
#FreeIsrael,@dabooh69,2023-11-05T03:59:16.000Z,"#FreeIsrael
@dabooh69
·
Nov 5","When are you 
@gop
 @SpeakerJohnson
 @SenVancePress
 @SenJohnKennedy
 @SenJudiciaryGOP
 @SenateGOP
 @SenRonJohnson
 @SenTomCotton
 @SenTedCruz
  when are the Republicans going to stand up and fight for this country and shut the border.",,,,,"['https://pbs.twimg.com/profile_images/1407845803197149187/bntUvmvj_normal.jpg', 'https://pbs.twimg.com/media/F-Ik7RfbYAAe2zV?format=jpg&name=900x900']",https://twitter.com/dabooh69/status/1721014291782828511
