UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ali Avanti,@AliAvanti,2023-11-01T23:56:38.000Z,"Ali Avanti
@AliAvanti
·
Nov 2","Another todo for 
@SenWarren",,,,,"['https://pbs.twimg.com/profile_images/1079780911418408961/YXYAye0S_normal.jpg', 'https://pbs.twimg.com/media/F937FAjWcAApCET?format=jpg&name=900x900']",https://twitter.com/AliAvanti/status/1719866068410204343
fall3n,@fall3nPhD,2023-11-01T23:47:13.000Z,"fall3n
@fall3nPhD
·
Nov 2",".
@SenWarren
 @SenSanders
 I admire both of you on much of what you stand for, and I am BEGGING for you to call for a ceasefire on Israel/Gaza.

We've seen 9/11 and the catastrophic moves made by the US in the following decades. PLEASE make clear Israel cannot go down this path.",,,,,[],https://twitter.com/fall3nPhD/status/1719863696711700741
Randy Abbonizio,@anauburntiger,2023-11-01T23:24:12.000Z,"Randy Abbonizio
@anauburntiger
·
Nov 2","#Harvard, leading the new #Nazi movement... simply amazing... this is the Editor of the Harvard Law Review at an anti- #Israel protest...  
@SenWarren
 @ewarren",,,,,"['https://pbs.twimg.com/profile_images/876730611683086336/6GNIJunB_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719781740946853888/pu/img/X0kKx9J6ADvoWals.jpg']",https://twitter.com/anauburntiger/status/1719857902649753892
Kat Denise,@katpic57,2023-11-01T22:53:16.000Z,"Kat Denise
@katpic57
·
Nov 2","This seems important. Think I’ve heard it before. Any investigations? 
@FBI
 @TheJusticeDept
 @HouseDemocrats
 @SenateDems
 @RepJeffries
 @WhipKClark
 @PeteAguilar
 @RepAdamSchiff
 @SpeakerPelosi
 @SenWarren
 @amyklobuchar",☮,,,2,['https://pbs.twimg.com/profile_images/1045176566693736450/xwTYsK5J_normal.jpg'],https://twitter.com/katpic57/status/1719850118839754978
Irka,@IrkaLive,2023-11-01T22:49:35.000Z,"Irka
@IrkaLive
·
Nov 2",".
@SenWarren
 .
@CNN
 He is calling for you.",,1,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719842411973615616/pu/img/tV2LjZ7tarGlbrJS.jpg'],https://twitter.com/IrkaLive/status/1719849194985288121
Brock N. Cordeiro,@BNCordeiro,2023-11-01T22:43:01.000Z,"Brock N. Cordeiro
@BNCordeiro
·
Nov 2",".
@POTUS
 @FLOTUS
 @WHCOS
 @PressSec
 @WHCommsDir
 @WhiteHouse
 @DCarnival46
 @SenWarren
 @SenMarkey
 @USRepKeating
 #mapoli 
@PanCAN
 @ACSCAN
 @PanCANBoston
 @ACSCANMA
 @AmericanCancer
 @letswinpc
 @SU2C
 @worldpcc
 @NatPancFdn
 @lustgartenfdn
 @CDC_Cancer
 @SurvivorsDay
 @MassGovernor
 @JoeBiden",,,1,2,['https://pbs.twimg.com/media/F94gOHlX0AAVPYs?format=jpg&name=900x900'],https://twitter.com/BNCordeiro/status/1719847538344304886
Jeff Zients,@WHCOS,2023-11-02T23:55:50.000Z,"Jeff Zients
@WHCOS
·
Nov 3",".
@SenWarren
 is exactly right. We are getting hundreds of dollars a month back in the American people’s pockets. That matters. More work to do.",,30,74,303,['https://pbs.twimg.com/media/F99VH_iXMAAax-_.jpg'],https://twitter.com/WHCOS/status/1720228253581914133
d ‘if a man talk shit than i owe em nothing’,@daralexandria,2023-11-02T23:41:46.000Z,"d ‘if a man talk shit than i owe em nothing’
@daralexandria
·
Nov 3","I’m truly happy for this American family. Truly. 

Now. 
@SenMarkey
 and 
@SenWarren
 call for a ceasefire. It’ll take you all of one hour max. Do it. Right fucking now.",,,,1,[],https://twitter.com/daralexandria/status/1720224712830201986
Dave Bisson,@dbisson7,2023-11-02T23:35:18.000Z,"Dave Bisson
@dbisson7
·
Nov 3","That's great news. I was outside your office and 
@SenWarren
 's today with a few hundred of your constituents of faith demanding a #CeasefireForGazaNOW Please don't consider your work done because you helped evacuate a few Americans from hell. STOP THE KILLING OF HUMANS IN GAZA",,,,,[],https://twitter.com/dbisson7/status/1720223084936896821
Annab,@azannaphx,2023-11-02T23:06:28.000Z,"Annab
@azannaphx
·
Nov 3","Cutting IRS support must be excluded from the bill.  You just know the Republicans will make sure the cuts come from work on the rich tax dodges. 
@SenWarren",,,1,1,[],https://twitter.com/azannaphx/status/1720215830359888001
JO (DisplacedDaisy),@DaisyOfDistance,2023-11-02T23:02:13.000Z,"JO (DisplacedDaisy)
@DaisyOfDistance
·
Nov 3","This is as glib an endorsement of #genocide as I've ever heard. 
@SenWarren
 @SenSanders
 @JeffMerkley
 @RonWyden
 @SenateDems
 @HouseDemocrats
 Are you all OKAY WITH THIS? If so, YOU are NOT representing the American people.",,1,2,1,[],https://twitter.com/DaisyOfDistance/status/1720214759503720774
Blockchain Rick James,@Trappin_NFTs,2023-11-03T23:50:47.000Z,"Blockchain Rick James
@Trappin_NFTs
·
Nov 4","105 criminals posing as Senators and  Congressmen. Call yours and tell them to return their stolen money and vote them out. Start w/ 
@SenWarren",👑 🦍 💎,,,2,[],https://twitter.com/Trappin_NFTs/status/1720589368640012327
TheCount,@CountFuqua,2023-11-03T23:45:01.000Z,"TheCount
@CountFuqua
·
Nov 4","#CNN #MSNBC #DemocratsLoveTerrorists 
@SenatorDurbin
 @SenSchumer
 @SenWarren
 @ezraklein",,,,1,[],https://twitter.com/CountFuqua/status/1720587917771288999
Eden.F,@EdenFound,2023-11-03T23:34:41.000Z,"Eden.F
@EdenFound
·
Nov 4","capitol police arrested activists in
@SenWarren
 @SenMarkey
 @SenSanders
 @SenJeffMerkley
 @SenBrianSchatz
 offices

180 human rights activists held sit-ins at 8 senators' offices at risk of arrest. They took a stand to stop Israel's genocide of palestinians in #Gaza    
@USCPR_",,,,2,[],https://twitter.com/EdenFound/status/1720585317340574097
Marius Kjærstad (marius.eth),@MKjrstad,2023-11-03T23:32:57.000Z,"Marius Kjærstad (marius.eth)
@MKjrstad
·
Nov 4","We can be glad that SBF is no longer buying corrupt politicians in Washington D.C. and pushing for retarded regulations to support his ponzi scheme
@SBF_FTX
 @RepMaxineWaters
 @SenWarren
 @GaryGensler",🐬 🦇 🔊 😏,1,4,13,['https://pbs.twimg.com/ext_tw_video_thumb/1720584779773444096/pu/img/m8ERE164XBKTapVe.jpg'],https://twitter.com/MKjrstad/status/1720584884047995138
d ‘if a man talk shit than i owe em nothing’,@daralexandria,2023-11-03T23:28:59.000Z,"d ‘if a man talk shit than i owe em nothing’
@daralexandria
·
Nov 4","There was absolutely zero reason to end a letter asking to get vital aid to innocent Palestinians with the amount of Israelis who have died. How many Palestinians have died at the hands of the Israeli government Elizabeth? 
@SenWarren
 #CeasefireForGazaNOW",,,,3,[],https://twitter.com/daralexandria/status/1720583881907118494
Vanessa Jones,@nessiejones22,2023-11-04T23:59:32.000Z,"Vanessa Jones
@nessiejones22
·
Nov 5","# 
@AlboMP
 @DavidPocock
 @SenKatyG
 @SenatorWong
  @SenWarren
 @JustinTrudeau
 @SenSanders",,,,,[],https://twitter.com/nessiejones22/status/1720953961371549882
HüskerBlü...knows being moderate in fascism =,@InimitableVi,2023-11-04T23:57:32.000Z,"HüskerBlü...knows being moderate in fascism =
@InimitableVi
·
Nov 5","#CeasefireNOW, is what she would probably say if there wasn't some absolutely bizarre limitation on Dems' ability to speak freely.

I expected more of you 
@SenWarren
.
We can all see what needed to happen days ago.
All while thousands of civilians die.",💀,,,1,[],https://twitter.com/InimitableVi/status/1720953454699651239
K Lowgren,@KLowgren,2023-11-04T23:51:35.000Z,"K Lowgren
@KLowgren
·
Nov 5","Strong correlation that Cory Mills is arms dlr to Flynn,Prince,Wagner Grp, MbS,Hamas,Putin et al — Jack Smith,Hulser,Harbach 
@IRS_CI
 @USTreasury
 @DOJNatSec
 @DOJCrimDiv
 @SenWarren
 @tedlieu
 @SenBlumenthal
 @SenSchumer
 @FBI
 @POTUS
 @VP
 5eyes 
@ICCT_TheHague
 @NSACyber
 @INTERPOL_Cyber",🔥,,,1,[],https://twitter.com/KLowgren/status/1720951959773933596
Andrew Koss,@n_koss,2023-11-04T23:51:03.000Z,"Andrew Koss
@n_koss
·
Nov 5","Well 
@SenWarren
 is right! It’s not possible to end Hamas’s terrorism just by dropping bombs. That’s why Israel is also sending in ground troops and enforcing a blockade.",,,,1,[],https://twitter.com/n_koss/status/1720951826550235385
"Satyanveshi, A Truth Seeker for #Dharma #NOTA #AUM",@TruthSeekerForD,2023-11-04T23:05:22.000Z,"Satyanveshi, A Truth Seeker for #Dharma #NOTA #AUM
@TruthSeekerForD
·
Nov 5","Respected 
@SenWarren
 , Only Israel has to follow the rules? Not the HAMAS Islamic Terrorists who have beheaded, baked innocent Jewish babies, broke the limbs of innocent Israeli children, cut the private parts of helpless women and elderly?  #October7massacre    #Antisemitism",,,2,,[],https://twitter.com/TruthSeekerForD/status/1720940329568797165
K Lowgren,@KLowgren,2023-11-05T23:44:44.000Z,"K Lowgren
@KLowgren
·
Nov 6","Taliban Johnson is having a difficult time deleting all his porn,pedophilia,sex crimes w/ minors—Jack Smith,Hulser,Harbach 
@IRS_CI
 @USTreasury
 @DOJNatSec
 @DOJCrimDiv
 @SenWarren
 @tedlieu
 @SenBlumenthal
 @SenSchumer
 @FBI
 @POTUS
 @VP
 5eyes 
@ICCT_TheHague
 @NSACyber
 @INTERPOL_Cyber",🔥 🌻,,,,[],https://twitter.com/KLowgren/status/1721312624569135582
Elizabeth Warren,@SenWarren,2023-11-05T23:25:26.000Z,"Elizabeth Warren
@SenWarren
·
Nov 6","Expediting work permits for new arrivals will allow individuals who desperately want to work to provide for their families. It's the right thing to do and will make life better for everyone in Massachusetts. I’m pushing hard with 
@SenMarkey
 to get it done.",,818,293,1K,[],https://twitter.com/SenWarren/status/1721307767690887226
K Lowgren,@KLowgren,2023-11-05T23:21:47.000Z,"K Lowgren
@KLowgren
·
Nov 6","Johnsons CULTS(Covenant Eyes is a program that detects sinful material) Y he’s scrubbing s)—Jack Smith,Hulser,Harbach 
@IRS_CI
 @USTreasury
 @DOJNatSec
 @DOJCrimDiv
 @SenWarren
 @tedlieu
 @SenBlumenthal
 @SenSchumer
 @FBI
 @POTUS
 @VP
 5eyes 
@ICCT_TheHague
 @NSACyber
 @INTERPOL_Cyber",🔥 ❤ 💻,,,,[],https://twitter.com/KLowgren/status/1721306849276747924
Daniel Shays,@danlshays,2023-11-05T22:32:31.000Z,"Daniel Shays
@danlshays
·
Nov 6","End the U.S.-backed Israeli occupation and ethnic cleansing of Palestine! Demand that 
@SenWarren
 @SenMarkey
 @RepRichardNeal
 endorse #CeasefireForGazaNOW and
#StopArmingIsrael",,1,,,[],https://twitter.com/danlshays/status/1721294447520981433
