UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pezz,@Pezznola,2023-11-01T22:56:50.000Z,"Pezz
@Pezznola
·
Nov 2","Waiting for Goldman and 
@SenWhitehouse
 to run as pres and VP.",,,,,[],https://twitter.com/Pezznola/status/1719851019281084576
Terace Hope Greene,@TeraceGreene,2023-11-01T22:37:20.000Z,"Terace Hope Greene
@TeraceGreene
·
Nov 2","McConnells hiding what he’s manifested for 40+ years. Obstructing. Corrupting. Conspiring. Overturn Citizens United  #FollowtheMoney #followtheDarkmoney 
@JudiciaryDems
 @SenWhitehouse
 @JusticeOIG",⚖,,1,2,['https://pbs.twimg.com/profile_images/1076319760768552960/bNO04YM2_normal.jpg'],https://twitter.com/TeraceGreene/status/1719846109533671590
Sheldon Whitehouse,@SenWhitehouse,2023-11-01T22:28:20.000Z,"Sheldon Whitehouse
@SenWhitehouse
·
Nov 2","Democratic Senate just passed the only bipartisan spending bills considered by Congress this year.
 
MAGA Republican-controlled House continues to propose extreme messaging bills that are dead on arrival.
 
It's time to follow the Senate’s lead & get serious about governing.",,150,804,3K,[],https://twitter.com/SenWhitehouse/status/1719843846278852814
No Endless War or Excessive Militarism,@CurbMilitarism,2023-11-01T22:19:22.000Z,"No Endless War or Excessive Militarism
@CurbMilitarism
·
Nov 2","Say the words, #CeasefireNOW.
@SenWhitehouse
, back Bernie's call for humanitarian pause!!",,,,,['https://pbs.twimg.com/profile_images/794619281271033856/Fs0QQaH7_normal.jpg'],https://twitter.com/CurbMilitarism/status/1719841590074593487
larry duncan,@JazzLPcollector,2023-11-01T22:18:00.000Z,"larry duncan
@JazzLPcollector
·
Nov 2",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco
 @NewYorkStateAG
 @FultonCountyDA
 @ManhattanDA
 @DCAttorneyGen",,,,,"['https://pbs.twimg.com/media/F94aci0akAARsNc?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1773870183/image1327265832_normal.png']",https://twitter.com/JazzLPcollector/status/1719841243000373484
larry duncan,@JazzLPcollector,2023-11-01T22:17:06.000Z,"larry duncan
@JazzLPcollector
·
Nov 2",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco
 @NewYorkStateAG
 @FultonCountyDA
 @ManhattanDA
 @DCAttorneyGen",,,,,"['https://pbs.twimg.com/media/F94aODGaMAA1f2Q?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1773870183/image1327265832_normal.png']",https://twitter.com/JazzLPcollector/status/1719841019553042891
larry duncan,@JazzLPcollector,2023-11-01T22:11:43.000Z,"larry duncan
@JazzLPcollector
·
Nov 2",". 
@POTUS
 @VP
 @WHCOS
 @SecBlinken
 @JakeSullivan46
 @SecDef
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco",,,,1,"['https://pbs.twimg.com/media/F94Y4qJawAA9nXA?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1410577486623162374/Cf2sua2z_normal.jpg']",https://twitter.com/JazzLPcollector/status/1719839662959898692
Sheldon Whitehouse,@SenWhitehouse,2023-11-01T20:25:44.000Z,"Sheldon Whitehouse
@SenWhitehouse
·
Nov 2","Hypocrisy results over the “disconnect House Republicans are feeling between their voters and their fossil fuel donors.”

https://theguardian.com/us-news/2023/nov/01/republicans-climate-change-ira-nancy-mace-marjorie-taylor-greene…",,11,188,381,['https://pbs.twimg.com/media/F94AyB8WAAEBY33?format=jpg&name=900x900'],https://twitter.com/SenWhitehouse/status/1719812993184047271
larry duncan,@JazzLPcollector,2023-11-01T20:11:16.000Z,"larry duncan
@JazzLPcollector
·
Nov 2",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco
 @NewYorkStateAG
 @FultonCountyDA
 @ManhattanDA
 @DCAttorneyGen
  https://twitter.com/SIfill_/status/1719783364473840119…",,,,,['https://pbs.twimg.com/media/F939dhnbAAAaMxY?format=jpg&name=900x900'],https://twitter.com/JazzLPcollector/status/1719809349571457393
larry duncan,@JazzLPcollector,2023-11-01T20:10:11.000Z,"larry duncan
@JazzLPcollector
·
Nov 2",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco",,,,,"['https://pbs.twimg.com/media/F939MEfbQAAJzZq?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1686749505977245696/qfv8OBam_normal.jpg']",https://twitter.com/JazzLPcollector/status/1719809076862050796
