UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sen. Tammy Baldwin,@SenatorBaldwin,2023-11-01T22:05:31.000Z,"Sen. Tammy Baldwin
@SenatorBaldwin
·
Nov 2","Wisconsin is one of the nation’s top organic dairy producing states, driving our local economies and feeding families across America. That’s why I’m working to ensure our dairies have the support they need to overcome headwinds and keep their businesses thriving.",,15,28,106,['https://pbs.twimg.com/ext_tw_video_thumb/1719837382977949696/pu/img/y4qQm9miruvIb6GK.jpg'],https://twitter.com/SenatorBaldwin/status/1719838103781708176
Urban Milwaukee PRs,@UMPressReleases,2023-11-01T19:24:41.000Z,"Urban Milwaukee PRs
@UMPressReleases
·
Nov 2","Baldwin, Kennedy Push for Strong Buy America Policies in NDAA https://urbanmilwaukee.com/pressrelease/baldwin-kennedy-push-for-strong-buy-america-policies-in-ndaa/… 
@SenatorBaldwin",,,,1,[],https://twitter.com/UMPressReleases/status/1719797626818703607
PatientQoL Coalition,@PatientQoL,2023-11-01T20:17:44.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you 
@SenatorBaldwin
 for championing bipartisan #PCHETA! It will improve quality of care & quality of life for millions of patients & families facing #seriousillness. Let's bring this critical legislation over the finish line this year! 
@PatientQoL
 #HPM #HAPC",,,1,2,[],https://twitter.com/PatientQoL/status/1719810979767439569
Sen. Tammy Baldwin,@SenatorBaldwin,2023-11-01T19:32:22.000Z,"Sen. Tammy Baldwin
@SenatorBaldwin
·
Nov 2","We cannot stand silently by when hate like this rears its ugly head. It’s wrong and has no place in our country.

To the Jewish community, Muslim Americans, and anyone subject to this misplaced hate, know this: I see you, I hear you, and you belong.",,23,12,62,[],https://twitter.com/SenatorBaldwin/status/1719799560900379070
Vic,@MidwestNoBS,2023-11-01T21:19:13.000Z,"Vic
@MidwestNoBS
·
Nov 2",".
@SenatorBaldwin
 @UpNorthNewsWI
 @WSAW
 @WEAU13News",🙏 💯 ⭐ 🗽 🤬 🤬 🤬 🤬 🤬,,,,['https://pbs.twimg.com/amplify_video_thumb/1719755253606957056/img/_AP5o0Z4lRr2s20n.jpg'],https://twitter.com/MidwestNoBS/status/1719826451090784593
Sen. Tammy Baldwin,@SenatorBaldwin,2023-11-02T23:02:55.000Z,"Sen. Tammy Baldwin
@SenatorBaldwin
·
Nov 3","Wisconsin women don’t want politicians making decisions about their reproductive health care, & they don’t need political interference making it harder to get birth control. I’m fighting to ensure women face one less barrier when controlling their bodies, health care, & futures.",,41,99,308,[],https://twitter.com/SenatorBaldwin/status/1720214937090310233
The Coalition for a Prosperous America,@cpa_tradereform,2023-11-02T21:34:51.000Z,"The Coalition for a Prosperous America
@cpa_tradereform
·
Nov 3","BREAKING: CPA Applauds 
@SenatorBaldwin
, Colleagues for Urging Biden Administration to Correct Inflation Reduction Act Guidelines that Undercut U.S. Manufacturers  

https://tinyurl.com/2rfdjbj8",⬇,2,6,14,[],https://twitter.com/cpa_tradereform/status/1720192773867843772
Sen. Tammy Baldwin,@SenatorBaldwin,2023-11-02T21:16:32.000Z,"Sen. Tammy Baldwin
@SenatorBaldwin
·
Nov 3","Our freshwater resources are critical to our Wisconsin way of life and I’m thrilled to have helped deliver this federal funding to help Milwaukee reverse decades of legacy pollution, keep our families healthy, and grow our Made in Wisconsin economy.",,18,40,140,['https://pbs.twimg.com/profile_images/632228259879628800/-gvVhzPn_bigger.png'],https://twitter.com/SenatorBaldwin/status/1720188164659183663
Vivian Creekmore,@VivianCreekmore,2023-11-02T20:43:53.000Z,"Vivian Creekmore
@VivianCreekmore
·
Nov 3","#RockCounty #Wisconsin is so proud of this young man! He is a quiet dynamo! 

Listen 
Vote 

#BidenHarris 
@POTUS
 @VP
 
#TeamTammy 
@SenatorBaldwin
 

Join #WisDems
Show more",👂 👂 👂 🗳 🗳 🗳,,1,2,[],https://twitter.com/VivianCreekmore/status/1720179945383645567
Urban Milwaukee PRs,@UMPressReleases,2023-11-03T21:50:35.000Z,"Urban Milwaukee PRs
@UMPressReleases
·
Nov 4","Baldwin, Ernst Lead Bipartisan Bill to Expand Access to Internet in Rural America https://urbanmilwaukee.com/pressrelease/baldwin-ernst-lead-bipartisan-bill-to-expand-access-to-internet-in-rural-america/… 
@SenatorBaldwin",,,,,[],https://twitter.com/UMPressReleases/status/1720559119805874515
