UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Senator Mike Braun,@SenatorBraun,2023-11-01T23:34:14.000Z,"Senator Mike Braun
@SenatorBraun
·
Nov 2","My deepest condolences for the passing of a legendary Hoosiers Coach, Robert Montgomery Knight. 

“The General” will be remembered for generations for leading the Hoosiers to the last undefeated season in NCAA history in 1976 and three national titles, and his iconic and lasting…
Show more",,60,25,185,[],https://twitter.com/SenatorBraun/status/1719860428132549063
ALZINAdvocacy,@AdvocacyAlzin,2023-11-01T22:27:52.000Z,"ALZINAdvocacy
@AdvocacyAlzin
·
Nov 2","Thank you Abby from 
@SenatorBraun
 's office for meeting today to discuss the importance of re-authorizing the #NAPAAct and the #AlzInvestmentAct, which will build upon the progress we've made to #ENDALZ over the last decade!",,,,,[],https://twitter.com/AdvocacyAlzin/status/1719843728863428962
Radio Free America,@RogerGreeson,2023-11-01T21:14:59.000Z,"Radio Free America
@RogerGreeson
·
Nov 2","Republican Senators need to bypass this feckless president and fan out across the capitols of Europe and tell their leaders the US will not fund Ukraine. If Europe wants to stop Putin, it damned time they do it. 
@SenatorBraun
 
@SenTedCruz
 
@MarshaBlackburn
 
@RandPaul",©,,,,[],https://twitter.com/RogerGreeson/status/1719825387843166254
Richard Wronski,@RichWronski,2023-11-01T19:20:44.000Z,"Richard Wronski
@RichWronski
·
Nov 2","""We want billionaire tax cheats to get away with stealing more money from the American people!"" Yes, that's exactly what Indiana GOP 
@SenatorBraun
's position is too.",,,,1,"['https://pbs.twimg.com/profile_images/1552023520347099136/tIGoFfQt_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719440195672481792/pu/img/xRzlMZjAovr4lqQi.jpg']",https://twitter.com/RichWronski/status/1719796635197190186
Richard Wronski,@RichWronski,2023-11-01T18:36:41.000Z,"Richard Wronski
@RichWronski
·
Nov 2","GOP Indiana senators diverge sharply on US aid to Ukraine, Israel. 
@SenToddYoung
 supports aid to Ukraine and defends US security; 
@SenatorBraun
 wants Russia and Putin to prevail. Simple as that.  https://nwitimes.com/news/nation-world/government-politics/foreign-aid-senate-young-braun/article_2f44e1ae-7802-11ee-b494-d70f995a39f6.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share… via 
@nwi",,,2,2,['https://pbs.twimg.com/card_img/1729859058805751808/jU-j2LtJ?format=jpg&name=small'],https://twitter.com/RichWronski/status/1719785548724764827
Shawn Falls,@ShawnFalls74,2023-11-01T17:53:07.000Z,"Shawn Falls
@ShawnFalls74
·
Nov 2","America stands with Israel and their right to defend their country, their people, and their right to exist. Period. 
@RepJimBaird
 @SenatorBraun
 @SenToddYoung
 @POTUS
 @kamalaharris",,,1,1,['https://pbs.twimg.com/card_img/1731813616368877569/BI8M5gHl?format=png&name=small'],https://twitter.com/ShawnFalls74/status/1719774585707516072
A A ron Black,@RandolphEastern,2023-11-01T17:33:40.000Z,"A A ron Black
@RandolphEastern
·
Nov 2","Received a nice letter of support from 
@SenatorBraun
 today!  

News of our venture with the 
@YassPrize
 reached his desk, and he took the time to honor our amazing educators!

Thank you! 

#YassPrize
#UCpride
Show more",🔴 ⚪ 🔵,,5,15,['https://pbs.twimg.com/media/F93ZauHW8AA-JbJ?format=jpg&name=small'],https://twitter.com/RandolphEastern/status/1719769688391950693
Senator Reverend Raphael Warnock,@SenatorWarnock,2023-11-01T17:23:05.000Z,"Senator Reverend Raphael Warnock
@SenatorWarnock
·
Nov 2","Last week, I cosponsored 
@SenatorBraun
’s Promising Pathway Act. People with life-threatening, rare diseases need urgent access to innovative and life-saving treatments.

This legislation will give hope to those who can’t wait.",,31,27,105,[],https://twitter.com/SenatorWarnock/status/1719767026221146568
Trinity Health Advocacy,@THAdvocacy,2023-11-01T17:15:37.000Z,"Trinity Health Advocacy
@THAdvocacy
·
Nov 2","As a member of the Senate HELP Committee, we're urging 
@SenatorBraun
 to please cosponsor #PCHETA! By advancing #palliative care education, awareness & research, PCHETA will improve quality of care & life for millions of patients & families facing serious illnesses. 
@PatientQoL",,,2,1,[],https://twitter.com/THAdvocacy/status/1719765145587523644
Senator Mike Braun,@SenatorBraun,2023-11-01T17:06:00.000Z,"Senator Mike Braun
@SenatorBraun
·
Nov 2","It’s no secret: America under Joe Biden has SIGNIFICANTLY declined on the world stage.
 
We need to secure our open border, stop adding trillions to our national debt, & lead from strength instead of weakness – so we can right the ship before its too late",,100,17,84,['https://pbs.twimg.com/amplify_video_thumb/1719728477098618880/img/buEETA0-Iuw5yOz-.jpg'],https://twitter.com/SenatorBraun/status/1719762726233489455
