UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jennie Dulas,@jennie_dulas,2023-11-01T23:54:13.000Z,"Jennie Dulas
@jennie_dulas
·
Nov 2","Palliative care improves patient quality of life. 
@SenatorCantwell
, thank you for supporting #PCHETA! Please ask leadership to move this bill forward to make today better for patients and their families. 
@PatientQoL
 #HPM #HAPC",,,4,4,[],https://twitter.com/jennie_dulas/status/1719865457254293920
LWCF Coalition,@LWCFCoalition,2023-11-01T21:32:21.000Z,"LWCF Coalition
@LWCFCoalition
·
Nov 2","Thank you 
@SenatorCantwell
 @SenatorHick
 @SenatorShaheen
 @SenateSmallBiz
 for highlighting #LWCF funded conservation as key to supporting the outdoor rec economy & small businesses across the nation!",,,,,[],https://twitter.com/LWCFCoalition/status/1719829756143648855
Kateri Caron,@jancangirl,2023-11-01T21:04:06.000Z,"Kateri Caron
@jancangirl
·
Nov 2","This is NOT Israel defending itself! This is revengeful heartless bloody #Genocide_in_Gaza A REFUGEE CAMP BOMBED TWICE in 24 hours! No sane person can claim that this is war! It is #Genocide_in_Gaza #WarCrimes 
@PattyMurray
 @SenatorCantwell
 @cathymcmorris
 https://twitter.com/wasimakram7005/status/1719810214227259731…",,,,,[],https://twitter.com/jancangirl/status/1719822648060870776
Kateri Caron,@jancangirl,2023-11-01T20:53:43.000Z,"Kateri Caron
@jancangirl
·
Nov 2","#CeasefireForGaza But our U.S. President and Congress have funded and approved so much slaughter of civilians over the 73 years of my lifetime that they now have black hearts only capable of seeing EMPIRE! Not HUMANITY! 
@POTUS
 @PattyMurray
 @SenatorCantwell
 @cathymcmorris",,,,,[],https://twitter.com/jancangirl/status/1719820034334196026
Sen. Maria Cantwell,@SenatorCantwell,2023-11-01T18:19:50.000Z,"Sen. Maria Cantwell
@SenatorCantwell
·
Nov 2","I was proud to join a Senate resolution naming this National Veterans Small Business Week in the U.S. If you are a #VetBiz or #MilSpouse business owner, check out these programs to help you grow your business.",,5,1,5,[],https://twitter.com/SenatorCantwell/status/1719781306949878019
Sen. Maria Cantwell,@SenatorCantwell,2023-11-01T17:07:14.000Z,"Sen. Maria Cantwell
@SenatorCantwell
·
Nov 2","Nearly 1 million pieces of space junk pass over our heads every day. This act will jumpstart the technology development needed to remove the most dangerous space junk before it knocks out a scientific satellite, threatens a NASA mission, or falls to the ground & hurts someone.",✅ 🛰,16,17,48,[],https://twitter.com/SenatorCantwell/status/1719763036297179205
Sara,@sbhbc,2023-11-01T16:31:57.000Z,"Sara
@sbhbc
·
Nov 2","Masks should be standard in healthcare! 
@GovInslee
 @BobFergusonAG
 @WaHealthSec
 @WADeptHealth
 @TPCHD
 @KitsapHealth
 @KCPubHealth
 @PattyMurray
 @SenEmilyRandall
 @SenatorCantwell
 @RepDerekKilmer
 @RepJayapal",,,,3,[],https://twitter.com/sbhbc/status/1719754158264524983
Kateri Caron,@jancangirl,2023-11-01T16:26:28.000Z,"Kateri Caron
@jancangirl
·
Nov 2","Indeed! 
@SenSanders
 @PattyMurray
 @SenatorCantwell
 
10,000 #Palestinians dead! 
No water, not food, no medical care! 
You think there may be a small problem? 
Maybe Congress will find the courage to act when there are 20,000 dead? #CeaseFireInGazaNOW #HumanitarianAidForGaza",,,,,[],https://twitter.com/jancangirl/status/1719752777084043282
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:08:37.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@SenatorCantwell
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1719748285659848741
Garrett Plescow Moore (he/him),@GPMsays,2023-11-01T14:57:24.000Z,"Garrett Plescow Moore (he/him)
@GPMsays
·
Nov 1","Reaching out to my legislators on all platforms — We need to use our incredible diplomatic and economic influence to push for peace, humanitarian aid, and hostage recovery, not vengeance.
@RepAdamSmith
 @SenatorCantwell
 @PattyMurray",,,,1,[],https://twitter.com/GPMsays/status/1719730364183118084
JohnDoeUltraMAGA,@JDoeUltraMAGA,2023-11-01T14:38:26.000Z,"JohnDoeUltraMAGA
@JDoeUltraMAGA
·
Nov 1","No problem here? How about defense of the US? 
@kcdems
 @TheDemocrats
 @RepNewhouse
 @CongMikeSimpson
 @ProjectLincoln
 @LindseyGrahamSC
 @CongMikeSimpson
 @GovInslee
 @PattyMurray
 @SenatorCantwell
 @DrKimSchrier
  Let's Protect #AmericaFirst 
@CauseAmerica",🚨 🚨,,,,['https://pbs.twimg.com/amplify_video_thumb/1719320672155955200/img/uIZzQh9jw3ioUgY_.jpg'],https://twitter.com/JDoeUltraMAGA/status/1719725590205636700
