UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Senator Ben Cardin,@SenatorCardin,2023-11-01T23:04:00.000Z,"Senator Ben Cardin
@SenatorCardin
·
Nov 2","As a society, we've strayed disturbingly far from the free speech protected by the First Amendment.

These are more than just words -- it's a continuation of threats and violence that Jewish people have experienced for centuries.
https://cnn.com/2023/10/31/politics/fbi-director-antisemitism-wray/index.html…",,6,5,12,[],https://twitter.com/SenatorCardin/status/1719852820214485286
SC Equal Means ERA,@SCEqualMeansERA,2023-11-01T22:12:42.000Z,"SC Equal Means ERA
@SCEqualMeansERA
·
Nov 2","Thank you 
@SennSandy
 ! South Carolina Sen. Sandy Senn - 2023 Profile in Courage Award https://youtu.be/mObG1a9I3ec?si=f06drm-oCtLvXio_… via 
@YouTube
@ERACoalition
 @FeministFDN
 @Bfolly
 @SenatorCardin
 @CarolynBMaloney",,,1,3,['https://pbs.twimg.com/card_img/1730268028862889984/zc-bqjnL?format=jpg&name=360x360'],https://twitter.com/SCEqualMeansERA/status/1719839912139129087
Jeff Schroeffel,@capdc,2023-11-01T21:04:33.000Z,"Jeff Schroeffel
@capdc
·
Nov 2","If 
@SenateDems
 and 
@SenatorCardin
 think inflation is down 60%, they haven’t been to a grocery store or restaurant lately. This is nonsense",✅ ✅ ✅ ✅,,,,['https://pbs.twimg.com/profile_images/1621244234723385344/Qf1gL99T_normal.jpg'],https://twitter.com/capdc/status/1719822762062049702
Senate Foreign Relations Committee,@SFRCdems,2023-11-01T20:49:59.000Z,"Senate Foreign Relations Committee
@SFRCdems
·
Nov 2","""Absolutely outrageous. Antisemitism, pure and simple,"" said Chair 
@SenatorCardin
. ""I recently spoke with Jewish 
@Harvard
 law students who raised these fears about antisemitism on campus with me. Our universities must make good on their obligation to protect all their students.""",,13,46,160,['https://pbs.twimg.com/profile_images/1390022480572698632/ZRJKgcCE_normal.jpg'],https://twitter.com/SFRCdems/status/1719819095216898419
Senator Ben Cardin,@SenatorCardin,2023-11-01T20:03:00.000Z,"Senator Ben Cardin
@SenatorCardin
·
Nov 2","On this day in 1864, Maryland abolished slavery.

The cruelty of slavery in our state ended because of the heroism of Marylanders like Frederick Douglass and Harriet Tubman who laid the foundation for civil rights in America.

We are forever grateful. #MDEmancipationDay",,5,11,25,['https://pbs.twimg.com/media/F936ADXXEAAG9Sy?format=jpg&name=900x900'],https://twitter.com/SenatorCardin/status/1719807271679447468
Embassy of Colombia in the United States,@ColombiaEmbUSA,2023-11-02T23:15:26.000Z,"Embassy of Colombia in the United States
@ColombiaEmbUSA
·
Nov 3","Today, Ambassador 
@LuisGMurillo
 and Minister 
@GermanUmanaM
 joined lawmakers and members of 
@SFRCdems
 in preparation for the upcoming #APEP Leaders' Summit. We extend our gratitude to Chair 
@SenatorCardin
 for reaffirming our mutual commitment to enhancing economic prosperity and…
Show more",,1,14,28,[],https://twitter.com/ColombiaEmbUSA/status/1720218085741695319
Senate Foreign Relations Committee,@SFRCdems,2023-11-02T22:35:27.000Z,"Senate Foreign Relations Committee
@SFRCdems
·
Nov 3","Chair 
@SenatorCardin
 hosted Western Hemisphere and Congressional leaders at today's #APEP reception.

He reaffirmed our collective commitment to work together towards increased economic prosperity and defend our shared values of democracy and human rights.",,3,5,8,[],https://twitter.com/SFRCdems/status/1720208023530905811
Jeana,@jinaroosta,2023-11-02T21:58:10.000Z,"Jeana
@jinaroosta
·
Nov 3","Requested meeting with your staff many times!
Called your office this week 2 times 
@SenatorCardin
 
Your constituents like to see your support!
Please Co sponsor #MAHSAAct ,make the leaders of regime that are funding Hamas, responsible for their actions!
Please mark up HR589 !",,,4,8,[],https://twitter.com/jinaroosta/status/1720198642655473789
Progressive Democrats of Howard County,@ProgressHoCo,2023-11-02T21:44:27.000Z,"Progressive Democrats of Howard County
@ProgressHoCo
·
Nov 3","PDHC Calls for Immediate #Ceasefire in Gaza, Urges Maryland's Elected Leaders to Take a Stand.
@iamwesmoore
 
@JohnSarbanes
 
@RepKweisiMfume
 
@SenatorCardin
 
@ChrisVanHollen
 
@RepRaskin
 
@davidjtrone
 
@glenniveymd
 
Show more",,1,3,4,[],https://twitter.com/ProgressHoCo/status/1720195188574781530
Senator Ben Cardin,@SenatorCardin,2023-11-02T20:39:01.000Z,"Senator Ben Cardin
@SenatorCardin
·
Nov 3","As Senator 
@RonWyden
 said during today’s hearing, ""When you are with 
@SenatorBarb
, you are running with the right crowd.""

Team Maryland was out in full force during the 
@SenateFinance
 confirmation hearing for 
@MartinOMalley
 to be Commissioner of 
@SocialSecurity
.",,12,6,31,['https://pbs.twimg.com/ext_tw_video_thumb/1720177685924548612/pu/img/XmxmJeeKG7XDp9ZO.jpg'],https://twitter.com/SenatorCardin/status/1720178720508412355
Senate Foreign Relations Committee,@SFRCdems,2023-11-03T22:37:46.000Z,"Senate Foreign Relations Committee
@SFRCdems
·
Nov 4","Chair 
@SenatorCardin
 joined 
@Ryanobles
 on 
@MSNBC
 to reaffirm that we must support Israel’s security while also increasing humanitarian aid to innocent Palestinians in #Gaza — a sentiment he shared with 
@SecBlinken
 — and to discuss urgent funding for #Israel, #Ukraine and #Taiwan.",,15,7,15,['https://pbs.twimg.com/amplify_video_thumb/1720570186187640832/img/caebzbGCrBbODLQF.jpg'],https://twitter.com/SFRCdems/status/1720570996778791404
