UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Senate EPW Democrats,@EPWCmte,2023-11-01T20:52:03.000Z,"Senate EPW Democrats
@EPWCmte
·
Nov 2"," On Wednesday, November 8, 2023, at 10 AM ET, Chairman 
@SenatorCarper
 will lead a full committee hearing on improving clean water infrastructure assistance for small, rural, disadvantaged, and underserved communities.",📅,,,5,[],https://twitter.com/EPWCmte/status/1719819612710125883
PatientQoL Coalition,@PatientQoL,2023-11-01T19:17:39.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","It’s simple: Palliative care improves patient quality of life. 
@SenatorCarper
, we need you to cosponsor #PCHETA to help support patients with serious illnesses and their families. 
@PatientQoL
 #HPM #HAPC",,,,,[],https://twitter.com/PatientQoL/status/1719795858831753574
Susan Brass,@SueBrassDel,2023-11-01T17:43:06.000Z,"Susan Brass
@SueBrassDel
·
Nov 2",". 
@CommerceGov
 is here in Wilm touting CHIPS Act to grow semiconductor supply chain. Yet, 
@EPA
 over regulates components (I know I worked for one of the manufacturers). 
@ChrisCoons
 @SenatorCarper
 @RepLBR
 please provide oversight and stop the EPA from over regulating!",,,,,[],https://twitter.com/SueBrassDel/status/1719772062426742836
Senator Tom Carper,@SenatorCarper,2023-11-01T16:40:44.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 2","Big news, Delaware: TODAY is the first day you can enroll, re-enroll, or change your health plan for 2024 through the Health Insurance Marketplace.

Check out my latest newsletter for steps you can take to make sure you’re covered for the upcoming year.",,2,1,3,[],https://twitter.com/SenatorCarper/status/1719756368985366847
Senator Tom Carper,@SenatorCarper,2023-11-02T22:24:35.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 3","As the last Vietnam War veteran in the United States Senate, it’s always a privilege to serve our brave men and women in uniform and work to better understand the challenges they face. That’s why tomorrow, I will be heading to Dover for my annual Delaware Veterans Summit.",,6,,19,[],https://twitter.com/SenatorCarper/status/1720205288437875118
Senator Tom Carper,@SenatorCarper,2023-11-02T21:30:00.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 3","At today’s 
@HSGAC
 hearing, I was proud to introduce 
@DHSgov
 Chief Financial Officer nominee Jeff Rezmovic. It was also good to hear from Harry Coker, Jr., & Suzanne E. Summerlin, who are well-qualified to fill key positions in our government.",,3,,3,[],https://twitter.com/SenatorCarper/status/1720191552775938202
Claire Snyder-Hall (she/her),@CSnyderHall,2023-11-02T21:07:26.000Z,"Claire Snyder-Hall (she/her)
@CSnyderHall
·
Nov 3","Please vote NO on even more money and weapons for Israel 
@RepLBR
 @ChrisCoons
 @SenatorCarper
 .",🐺,1,,,[],https://twitter.com/CSnyderHall/status/1720185875772969129
Senator Tom Carper,@SenatorCarper,2023-11-02T20:44:17.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 3","We have over 300 senior military officers waiting to be confirmed. It’s simply unacceptable. We cannot put our national security in jeopardy with so many vacant, critical positions. These distinguished individuals deserve to take their post, and it’s time we confirm them.",,7,15,26,['https://pbs.twimg.com/ext_tw_video_thumb/1720180020507738112/pu/img/v0sacaeYI1UY0hr3.jpg'],https://twitter.com/SenatorCarper/status/1720180046940320066
Got halted 4 the Criminals,@teekay5150,2023-11-02T20:20:04.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenatorCarper
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,1,1,[],https://twitter.com/teekay5150/status/1720173951832207517
Senator Tom Carper,@SenatorCarper,2023-11-03T20:23:00.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 4","Great news, Delaware! Thanks to the Bipartisan Infrastructure Law, 
@USDOT
 is awarding $50 million for the Port of Wilmington’s Edgemoor terminal expansion.

This expansion project will improve safety, reduce emissions, and create some 19,000 more jobs — a win-win-win!",,16,1,13,[],https://twitter.com/SenatorCarper/status/1720537079761809477
Senator Tom Carper,@SenatorCarper,2023-11-03T19:29:25.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 4","Great news! 
@EPA
 is awarding 
@UDelaware
 ~$1 million to research landfill emissions — a major source of methane pollution.

This grant will help make the university a critical partner in the effort to reduce methane emissions and support our nation’s climate goals.",,6,3,10,[],https://twitter.com/SenatorCarper/status/1720523593317077140
Libertarian Party of Delaware,@LPofDelaware,2023-11-03T18:45:12.000Z,"Libertarian Party of Delaware
@LPofDelaware
·
Nov 4","Well 
@SenatorCarper
 is retiring, so he must just be getting what he can while he's still in. Rest assured none of it will end up in any other Democrat's campaign coffers, though... ",👀,1,1,2,[],https://twitter.com/LPofDelaware/status/1720512466797404179
Olivia Davis,@oliviaacdaviss,2023-11-03T18:33:12.000Z,"Olivia Davis
@oliviaacdaviss
·
Nov 4","Check out this thread to take an inside look at 
@SenatorCarper
 annual Veterans Summit!",,,3,4,[],https://twitter.com/oliviaacdaviss/status/1720509447473107064
Jay Innes,@jayinnes,2023-11-03T14:52:42.000Z,"Jay Innes
@jayinnes
·
Nov 3","Well… 
@AOC
 @RepAOC
 @Ilhan
 @IlhanMN
 your alleged advocacy for humanity meets the truth. 
@SenatorCarper
 @SenSchumer",🎧,,,,[],https://twitter.com/jayinnes/status/1720453955598057740
Falcon Cleevland,@TerranceandPhi1,2023-11-04T23:26:34.000Z,"Falcon Cleevland
@TerranceandPhi1
·
Nov 5","Ooh 
@SenatorCarper
 warns of ""climate change"". That scam?",,,,,['https://pbs.twimg.com/tweet_video_thumb/F-IG9N2XQAAed_v.jpg'],https://twitter.com/TerranceandPhi1/status/1720945663507354060
ccl_delaware,@ccl_delaware,2023-11-06T23:13:04.000Z,"ccl_delaware
@ccl_delaware
·
Nov 7","Great Lobby meeting with Maureen French from 
@SenatorCarper
's office.  Discussing the BIG WIRES act and other clean energy permitting reform. Talking about effective climate solutions that benefit Delaware is very rewarding .
@citizensclimate
  #grassrootsclimate",,,4,29,['https://pbs.twimg.com/media/F-SWQJFWsAASpZe?format=jpg&name=900x900'],https://twitter.com/ccl_delaware/status/1721667039943589915
Senator Tom Carper,@SenatorCarper,2023-11-06T23:09:30.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 7","It was truly a joy to join 
@POTUS
 in Bear, Delaware to announce a major investment in the future of Amtrak!
 
This is going to make a real difference for the more than 750,000 Americans who ride along the Northeast Corridor each day.",,10,20,89,"['https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg', 'https://pbs.twimg.com/card_img/1732598305954119680/5pZeNuwp?format=jpg&name=orig']",https://twitter.com/SenatorCarper/status/1721666142907822287
Senate Democrats,@SenateDems,2023-11-06T21:36:20.000Z,"Senate Democrats
@SenateDems
·
Nov 7","The largest investment in passenger rail since Amtrak was created.

Made possible because we passed the Infrastructure Investment and Jobs Act.

Via 
@POTUS
, 
@SenatorCarper
 and 
@ChrisCoons",,65,95,241,['https://pbs.twimg.com/ext_tw_video_thumb/1721642029870907393/pu/img/aIpAmSP-RIP_bxcy.jpg'],https://twitter.com/SenateDems/status/1721642699084710138
Mariia Zimmerman,@MZStrat,2023-11-06T21:09:15.000Z,"Mariia Zimmerman
@MZStrat
·
Nov 7","Incredible day for (& me personally as I got to join #POTUS,  
@SecretaryPete
, 
@MitchLandrieu46
 @SenatorCarper
 and 
@USDOTFRA
 in celebrating this announcement with Amtrak workers.",,4,5,91,"['https://pbs.twimg.com/media/F-R6tFRXMAAfW9l?format=jpg&name=900x900', 'https://pbs.twimg.com/media/F-R6tZ_XgAAhrs_?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/826446719525097473/lvKahtNP_normal.jpg']",https://twitter.com/MZStrat/status/1721635882929721801
Dr. Danielle Altares Sarik PhD APRN CPNP-PC,@DanielleSarik,2023-11-06T20:40:22.000Z,"Dr. Danielle Altares Sarik PhD APRN CPNP-PC
@DanielleSarik
·
Nov 7","Thank you Imani for meeting with us today to discuss how to provide the best possible care to kids, and thank you 
@SenatorCarper
 for your outstanding support and advocacy!
@NAPNAP",,,2,17,['https://pbs.twimg.com/media/F-R0GKSXAAAxlS9?format=jpg&name=900x900'],https://twitter.com/DanielleSarik/status/1721628614184079503
Senator Tom Carper,@SenatorCarper,2023-11-07T22:23:43.000Z,"Senator Tom Carper
@SenatorCarper
·
Nov 8","Time & time again, 
@POTUS
 nominates well-qualified judges to serve in our nation’s courts, like DE’s Gregory Williams, Jennifer Hall & Tamika Montgomery-Reeves.

Today, I voted to confirm the 150th judge under Pres. Biden. I look forward to seeing them serve our country well.",,3,25,89,[],https://twitter.com/SenatorCarper/status/1722017011297824845
Barbara,@VickersB,2023-11-07T20:51:39.000Z,"Barbara
@VickersB
·
Nov 8","Senator Thomas Carper should be in prison. 
@SenatorCarper",,,,1,[],https://twitter.com/VickersB/status/1721993842902106533
