UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Anne C Love is Love Keep on keepin' on!,@annedeuceofcups,2023-11-01T23:31:22.000Z,"Anne C Love is Love Keep on keepin' on!
@annedeuceofcups
·
Nov 2","Hello 
@SenatorCollins
, why aren't you joining your fellow GOP in pressuring Tuberville to stop his dangerous antics?",💕 💕,,,2,['https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg'],https://twitter.com/annedeuceofcups/status/1719859709161996334
OutlawedMB,@CervaJehanne,2023-11-01T21:31:24.000Z,"OutlawedMB
@CervaJehanne
·
Nov 2","Clinton PD involved with the gang. 
@FBI
 @HawleyMO
 @Jim_Jordan
 @RepMTG
 @newscentermaine
 @LegalServicesUS
 @DHSgov
@SenateGOP
 @mainestatepolice #MaineCrime #Maine 
@SenatorCollins
 @SenTedCruz
 @realDonaldTrump
 @MAINESHERIFF",,,,,"['https://pbs.twimg.com/profile_images/1689014742118014976/CCTuouzl_normal.jpg', 'https://pbs.twimg.com/media/F94OdKaWwAEuItt?format=jpg&name=small', 'https://pbs.twimg.com/media/F94PAC4XUAAZHAH?format=jpg&name=small']",https://twitter.com/CervaJehanne/status/1719829519069061458
OutlawedMB,@CervaJehanne,2023-11-01T21:21:41.000Z,"OutlawedMB
@CervaJehanne
·
Nov 2","This gang has Ayla Reynolds. 
@FBI
 @HawleyMO
 @Jim_Jordan
 @RepMTG
 @newscentermaine
 @LegalServicesUS
 @DHSgov
@SenateGOP
 @mainestatepolice #MaineCrime #Maine 
@SenatorCollins
 @SenTedCruz
 @realDonaldTrump
 @MAINESHERIFF",,,,,"['https://pbs.twimg.com/profile_images/1689014742118014976/CCTuouzl_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719825512581734401/pu/img/AiWFU5zVeZhvQVBM.jpg']",https://twitter.com/CervaJehanne/status/1719827071365443700
Sen. Susan Collins,@SenatorCollins,2023-11-01T21:02:36.000Z,"Sen. Susan Collins
@SenatorCollins
·
Nov 2","House Appropriations Chair  
@RepKayGranger
 is an experienced and dedicated public servant whose career has included many monumental firsts.",,50,4,23,[],https://twitter.com/SenatorCollins/status/1719822269277524223
OutlawedMB,@CervaJehanne,2023-11-01T20:52:10.000Z,"OutlawedMB
@CervaJehanne
·
Nov 2","Tyler Stevens says he works DoD w/security clearance Stalker 
@FBI
 @HawleyMO
 @Jim_Jordan
 @RepMTG
 @newscentermaine
 @LegalServicesUS
 @DHSgov
 @SenateGOP
 @mainestatepolice #MaineCrime #Maine 
@SenatorCollins
 @SenTedCruz
 @realDonaldTrump
  @MAINESHERIFF",,,,,"['https://pbs.twimg.com/profile_images/1689014742118014976/CCTuouzl_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719817684529909760/pu/img/JIrjTmBjGvnvM6mO.jpg']",https://twitter.com/CervaJehanne/status/1719819643781541934
Sen. Jeanne Shaheen,@SenatorShaheen,2023-11-01T20:42:53.000Z,"Sen. Jeanne Shaheen
@SenatorShaheen
·
Nov 2","Today’s report emphasizes our need to immediately lower skyrocketing costs to ensure insulin is never out of reach for those who need it. With spending on insulin tripling in the past 10 years, it’s time Congress passes my bipartisan INSULIN Act with 
@SenatorCollins
.",📊,6,6,12,"['https://pbs.twimg.com/profile_images/1365358667500056579/sCVFN7TI_normal.png', 'https://pbs.twimg.com/media/F93zEcBWMAAe9_e?format=png&name=small']",https://twitter.com/SenatorShaheen/status/1719817308296638637
The Maine Wire,@TheMaineWire,2023-11-01T12:15:00.000Z,"The Maine Wire
@TheMaineWire
·
Nov 1","Full Video:
@SenAngusKing
 and 
@SenatorCollins
 read the names and bios of all 18 Lewiston shooting victims on the Senate floor.",,6,3,16,['https://pbs.twimg.com/amplify_video_thumb/1719678146478313472/img/tYVzLV9UYoN7MZs9.jpg'],https://twitter.com/TheMaineWire/status/1719689493719003171
BD peoples Voice,@BDPeoplesVoice,2023-11-01T07:29:40.000Z,"BD peoples Voice
@BDPeoplesVoice
·
Nov 1","Miscreants escaped by setting fair to the bus in the capital.
@BillCassidy
 @SenatorCollins
 @JohnCornyn
 @SenTomCotton
 @SenKevinCramer",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1719616344788959232/pu/img/j3sYQGIMkIpmsccV.jpg'],https://twitter.com/BDPeoplesVoice/status/1719617686475542934
Wegner’s Groceries,@grocerieswegner,2023-11-01T02:48:16.000Z,"Wegner’s Groceries
@grocerieswegner
·
Nov 1","I’m sure 
@SenatorCollins
 is very concerned…",🙄,,7,57,['https://pbs.twimg.com/profile_images/521747547648311296/Z-2ftHoZ_normal.png'],https://twitter.com/grocerieswegner/status/1719546870026907893
LobbyHobbyNDC,@LobbyHobby2,2023-11-01T02:21:31.000Z,"LobbyHobbyNDC
@LobbyHobby2
·
Nov 1","Chairman 
@PattyMurray
 should have ""Cleared the Room"" after the 4th protester disrupted today's important Hamas attack hearing with 
@SecBlinken
 and #LloydAustin. Vice Chairman 
@SenatorCollins
 would not have objected. https://jta.org/2023/10/31/politics/protesters-disrupt-blinken-as-he-asks-senate-for-emergency-wartime-funding-for-israel…",,,,,['https://pbs.twimg.com/media/F90IeDGWIAAAHxL?format=jpg&name=900x900'],https://twitter.com/LobbyHobby2/status/1719540139418960356
