UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Milo鈩?@chasbottom,2023-11-05T23:43:10.000Z,"Milo鈩?@chasbottom
路
Nov 6","#AntonyBlinken wants to sit down and ""break bread"" with these folks so #JoeBiden can keep his Intifada voting bloc placated, right 
@SenSanders
, 
@SenatorDurbin
?",,,,,['https://pbs.twimg.com/profile_images/1469311196616704005/8ebbwzTe_normal.jpg'],https://twitter.com/chasbottom/status/1721312229654466817,
Micheline S,@allarebananas,2023-11-05T23:31:32.000Z,"Micheline S
@allarebananas
路
Nov 6","If we are not careful these mudderfckers WLLL legalize pedophilia!!!   We've entered the danger zone!!!
@POTUS
 @SenatorDurbin
 @SenSchumer
 @RepJeffries
 @danielsgoldman
 @GerryConnolly
 @SpeakerPelosi
 
@TheJusticeDept
 @RebekahWriter
 @MeidasTouch",馃寛 馃尫 馃尡 馃寧,1,4,6,['https://pbs.twimg.com/media/F-NROEqXAAA5RKJ?format=png&name=900x900'],https://twitter.com/allarebananas/status/1721309299589202046
Russell Whitaker,@RGWhitJr,2023-11-05T22:25:37.000Z,"Russell Whitaker
@RGWhitJr
路
Nov 6","I鈥檓 curious, if someone paraglided into Senator Durbin鈥檚 hometown and beheaded children, raped and killed women, paraded their bodies through the streets, and burned people alive. Would  
@SenatorDurbin
 be calling for a ceasefire? Or is he afraid of the pro-Hamas wing?",,,,,[],https://twitter.com/RGWhitJr/status/1721292711540531241
From the River to the Sea,@Yasmina_Reality,2023-11-05T21:42:15.000Z,"From the River to the Sea
@Yasmina_Reality
路
Nov 6","They are being gassed, chemically burned, starved, no water, fuel, medical supplies, being bombed. They need saving NOW. Where is our humanity? #FreePalestine #CeasefireNOW #WhiteHouse #potus 
@POTUS
 @WhiteHouse
 @VP
 @SenatorDurbin
 @CongressmanRaja
 @AOC
 @RepRashida
 @BernieSanders",,,,,['https://pbs.twimg.com/media/F-M4p27WUAEkBTC?format=jpg&name=medium'],https://twitter.com/Yasmina_Reality/status/1721281801371394201
From the River to the Sea,@Yasmina_Reality,2023-11-05T21:41:48.000Z,"From the River to the Sea
@Yasmina_Reality
路
Nov 6","They are being gassed, chemically burned, starved, no water, fuel, medical supplies, being bombed. They need saving NOW. Where is our humanity? #FreePalestine #CeasefireNOW #WhiteHouse #potus 
@POTUS
 @WhiteHouse
 @VP
 @SenatorDurbin
 @CongressmanRaja
 @AOC
 @RepRashida
 @BernieSanders",,,1,2,[],https://twitter.com/Yasmina_Reality/status/1721281687282221220
Vote Blue NO Matter Who 2024,@Dobber_DeadPool,2023-11-05T21:31:12.000Z,"Vote Blue NO Matter Who 2024
@Dobber_DeadPool
路
Nov 6","The Dems need to hold 
@GOP
 accountable for their actions and crimes on J6 co-conspirators 
@JoeBiden
  need to get 
@GavinNewsom
 for 
@VP
 I don't know what Kamala is doing seriously 
@SenatorDurbin
 @SenWhitehouse
 @ewarren
 @SenSchumer
 @SenSanders
 @SenStabenow
 @gillibrandny
 arrest 
@GOP",馃寠 馃寠 馃寠,,,,['https://pbs.twimg.com/profile_images/1726433334501195776/uNzrnyCY_normal.jpg'],https://twitter.com/Dobber_DeadPool/status/1721279019356737840
Fenno! Harvard Journalist (Retired),@FennoHarvardLaw,2023-11-05T21:24:42.000Z,"Fenno! Harvard Journalist (Retired)
@FennoHarvardLaw
路
Nov 6","From one Loeb Professor Emeritus to another - via the same conduit. 
@tribelaw
 Exquisite!

No one is above, nor is anyone to be beneath, the law: Courts have annulled fundamental mandates and made a mockery of it all.

I will assist with federal judicial ethics. 
@SenatorDurbin",鈿?1,,,"['https://pbs.twimg.com/media/F-M0pvoXoAAiQdM?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/661228828941946880/5kuuC-pL_normal.jpg']",https://twitter.com/FennoHarvardLaw/status/1721277383762649458,
Nicole C,@c5_nicole,2023-11-05T21:13:04.000Z,"Nicole C
@c5_nicole
路
Nov 6","You鈥檝e been warned, black people are fed up with democrats. You all better get it together quick. No talk, only action. AA鈥檚 get you voted in. 
@POTUS
 @VP
 @ChicagosMayor
 @GovPritzker
 @SenatorDurbin
 @DNC
 @maddow
 @ABC
 @CNN
 @TheView
 @PressSec",,,,2,['https://pbs.twimg.com/card_img/1730058380583096320/YOG5RbdB?format=jpg&name=360x360'],https://twitter.com/c5_nicole/status/1721274455605813570
Not that Kevin O鈥橪eary,@ThatLeary1,2023-11-05T21:02:46.000Z,"Not that Kevin O鈥橪eary
@ThatLeary1
路
Nov 6","Federal Judges Rule AR-15s Are Not Protected By The Second Amendment https://youtu.be/AC436a29-2I?si=WXwA1Kj2FdY81Wd8鈥?via 
@YouTube
 hey 
@GovPritzker
 @SenatorDurbin
 @SenDuckworth",馃摬,,,,['https://pbs.twimg.com/card_img/1731422431191977984/3SPR7ueZ?format=jpg&name=360x360'],https://twitter.com/ThatLeary1/status/1721271864801058954
Jon Osman,@TheActor_movie,2023-11-05T20:28:17.000Z,"Jon Osman
@TheActor_movie
路
Nov 6","Who will protect the Palestinian people ? 

JESUS MOHAMMAD MOSES DOES NOT APPROVE 

SATAN APPROVES 
@POTUS
 
@SecBlinken
 
@vonderleyen
 
Show more",馃挃 鈥?馃檹,,1,,[],https://twitter.com/TheActor_movie/status/1721263183644496073
