UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:35:52.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@SenKevinCramer
@MikeCrapo
@SenTedCruz
@SteveDaines
@SenatorDurbin
@SenJoniErnst
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,[],https://twitter.com/RepealWEP_NOW/status/1719860838809387387
Senator Deb Fischer,@SenatorFischer,2023-11-01T20:45:58.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 2","President Biden's 
@FCC
 wants to leapfrog Congress and reinstate heavy-handed Obama-era regulations on the internet.

I'm opposed to these costly, top-down mandates that drastically expand government control over the internet.

More in this week's column:
https://fischer.senate.gov/public/index.cfm/2023/10/the-internet-is-open…",,9,3,9,[],https://twitter.com/SenatorFischer/status/1719818085501202825
Committee for Safe and Secure Elections,@csselex,2023-11-01T19:17:38.000Z,"Committee for Safe and Secure Elections
@csselex
·
Nov 2","CSSE and friends of CSSE are testifying in front US 
@SenateRules
 about #election worker harassment & intimidation, and broader election administration issues. Thank you 
@SenAmyKlobuchar
 & 
@SenatorFischer
  for holding this important hearing almost 1 year out from #Election2024.",,,6,15,[],https://twitter.com/csselex/status/1719795853378957685
Senator Deb Fischer,@SenatorFischer,2023-11-01T16:56:29.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 2","This week, I spoke at a Senate Appropriations hearing about the need to expand America's domestic munitions production capacity and replenish our weapons stockpiles.
 
Our nation needs to be prepared for the rapidly changing global threat environment.",,6,,11,['https://pbs.twimg.com/amplify_video_thumb/1719759899570147328/img/ZxW13cPBTLXOwRw9.jpg'],https://twitter.com/SenatorFischer/status/1719760334397878446
Senator Deb Fischer,@SenatorFischer,2023-11-02T21:46:06.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 3","It’s critical that Israel receives the defensive and offensive capabilities it has requested from the U.S.
 
We also need to invest in our defense production capacity here at home — which is key to addressing the changing global threat environment.",,19,4,15,['https://pbs.twimg.com/amplify_video_thumb/1720195326538088448/img/nDPD2A5aUw0bY3AS.jpg'],https://twitter.com/SenatorFischer/status/1720195605341815065
Ripon Advance,@RiponAdvance,2023-11-02T19:00:02.000Z,"Ripon Advance
@RiponAdvance
·
Nov 3","U.S. Sens. 
@SenJohnThune
 and 
@SenatorFischer
 recently joined a #bipartisan contingent of lawmakers to introduce legislation that would require the 
@EPA
 to update its greenhouse gas modeling for all renewable fuels under the Renewable Fuel Standard (RFS) https://bit.ly/3siLKK4",,,,,[],https://twitter.com/RiponAdvance/status/1720153810805404144
Senator Deb Fischer,@SenatorFischer,2023-11-02T18:44:19.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 3","Under President Biden, the situation at our southern border has turned into a catastrophe.

There have been 8 million illegal border crossings since President Biden took office.

That's unacceptable.",,17,2,13,[],https://twitter.com/SenatorFischer/status/1720149855635472736
Jeremy White,@RJJ175,2023-11-02T18:24:37.000Z,"Jeremy White
@RJJ175
·
Nov 3","Senators 
@SenatorRicketts
 and 
@SenatorFischer
 

What say you?",,,,,[],https://twitter.com/RJJ175/status/1720144898999886124
Joe Turco,@JoeTurco,2023-11-02T14:48:38.000Z,"Joe Turco
@JoeTurco
·
Nov 2","Not exactly sure about these numbers, but the sentiment here is approximately correct.

The U.S. government is the #1 state sponsor of terrorism on earth - more than Iran.  

I'm ashamed of my government.
@SenatorFischer
 @PeteRicketts
 @RepAdrianSmith",,,,,[],https://twitter.com/JoeTurco/status/1720090546893689195
Nebraska Democratic Party,@NebraskaDems,2023-11-03T23:40:48.000Z,"Nebraska Democratic Party
@NebraskaDems
·
Nov 4","The current state of the GOP. Only this time, they are putting our county at risk. Time for the chaos to end! Where are 
@SenatorRicketts
 and 
@SenatorFischer
? #VoteBlueIn2024",,6,12,33,['https://pbs.twimg.com/media/F-Brs-UXAAAKPRe.jpg'],https://twitter.com/NebraskaDems/status/1720586856738263155
Senator Deb Fischer,@SenatorFischer,2023-11-03T19:55:02.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 4",I enjoyed meeting with members of the American Car Rental Association to talk about challenges facing the industry.,,12,5,6,[],https://twitter.com/SenatorFischer/status/1720530040511689104
DK,@toottootchoo,2023-11-03T19:21:37.000Z,"DK
@toottootchoo
·
Nov 4","Do it please 
@SenatorRicketts
 @SenatorFischer
 @ChuckGrassley
 @SenJoniErnst",🌽 🐂,,,,[],https://twitter.com/toottootchoo/status/1720521634212204607
NEFarmBureau GRD-DC,@NEAgLobbyDC,2023-11-03T16:25:27.000Z,"NEFarmBureau GRD-DC
@NEAgLobbyDC
·
Nov 4","Thank you again for meeting with us 
@SenatorFischer
. We always appreciate your insight and leadership. Thank you for standing up for Nebraska's farm and ranch families!",,,1,2,[],https://twitter.com/NEAgLobbyDC/status/1720477297508028850
Senator Deb Fischer,@SenatorFischer,2023-11-03T16:23:31.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 4","Had a great meeting with 
@NEFarmBureau
's Young Farmers and Ranchers recently. 

We talked about the Farm Bill and ways to support our state's #1 industry, agriculture.",,11,4,17,[],https://twitter.com/SenatorFischer/status/1720476810964598823
Dobbie,@Dobbie52,2023-11-04T21:58:38.000Z,"Dobbie
@Dobbie52
·
Nov 5","I am so sick of this shit.  Americans  get NOTHING  for their taxes while foreign countries, ILLEGAL ALIEN INVADERS AND REFUGEES  get everything. 
@GOPHouse
 @SenatorRicketts
 @SenatorFischer
 @RepDonBacon
 @DonJBacon",🤔 ⚔ 🤬,,,,[],https://twitter.com/Dobbie52/status/1720923533289603220
Legiswipe,@legiswipe,2023-11-04T21:00:05.000Z,"Legiswipe
@legiswipe
·
Nov 5","""Veteran Improvement Commercial Driver License Act of 2023""

Status: Passed Senate without amendment by Unanimous ...

https://congress.gov/bill/118th-congress/senate-bill/656/text…

Sponsor: 
@SenatorFischer",,,,,[],https://twitter.com/legiswipe/status/1720908798594834871
Andy,@IowaHawkeye68,2023-11-04T18:24:41.000Z,"Andy
@IowaHawkeye68
·
Nov 5","This all happened and the 
@GOP
 sat on their KEESTERS and did nothing. They are totally worthless 
@RepDonBacon
 @SenatorFischer
 @SenJoniErnst",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1720755739206066176/pu/img/xrQ7mqmUqy-sZqPK.jpg'],https://twitter.com/IowaHawkeye68/status/1720869692296872200
Andy,@IowaHawkeye68,2023-11-04T12:32:12.000Z,"Andy
@IowaHawkeye68
·
Nov 4","This is exactly what a week looks like for our “representatives” here in Nebraska 
@RepDonBacon
 and 
@SenatorFischer
 as well as our neighbor in Iowa 
@SenJoniErnst",,,,,[],https://twitter.com/IowaHawkeye68/status/1720780988412801164
Laura Locke Field,@llockefield,2023-11-05T01:00:23.000Z,"Laura Locke Field
@llockefield
·
Nov 5","Thank you 
@SenatorFischer
 for joining us to share your perspective on Nebraska's economic driver-- Agriculture! 
@NECattlemen
 
#Agriculture #BeefState #advocacy",,,1,8,[],https://twitter.com/llockefield/status/1720969274305413553
Senator Deb Fischer,@SenatorFischer,2023-11-06T20:33:43.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 7","Always great to meet with 
@AEDSocial
 and learn more about its work to support producers across Nebraska and around the globe!",,4,,4,[],https://twitter.com/SenatorFischer/status/1721626938425344376
Senator Deb Fischer,@SenatorFischer,2023-11-06T18:13:05.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 7","Recently, the Senate unanimously passed my bill w/
@SenAlexPadilla
 to expand vets' access to commercial driving program schools.

This important bill will help address America's truck driver shortage, and I'll keep working to get it to 
@POTUS
's desk.",,3,1,10,[],https://twitter.com/SenatorFischer/status/1721591547961974860
Senator Deb Fischer,@SenatorFischer,2023-11-06T16:04:33.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 7","Producers looking to adopt precision ag technologies for better yields need the resources to extend connectivity to the field. 

It’s time to connect the last mile to the last acre, and that’s why I wrote the LAST ACRE Act.",,9,3,5,[],https://twitter.com/SenatorFischer/status/1721559202756198477
Senator Deb Fischer,@SenatorFischer,2023-11-07T21:29:53.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 8","In the 1970s, 
@USACEHQ
 wrongfully seized land from the Winnebago Tribe of NE for a proposed recreation project that went nowhere.

This week, I introduced the Winnebago Land Transfer Act to give this land back to the Tribe.",,6,3,13,[],https://twitter.com/SenatorFischer/status/1722003460894466130
Legiswipe,@legiswipe,2023-11-07T20:30:11.000Z,"Legiswipe
@legiswipe
·
Nov 8","""Veteran Improvement Commercial Driver License Act of 2023""

Status: Held at the desk.

https://congress.gov/bill/118th-congress/senate-bill/656/text…

Sponsor: 
@SenatorFischer",,,,,[],https://twitter.com/legiswipe/status/1721988438671380606
Senator Deb Fischer,@SenatorFischer,2023-11-07T18:58:30.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 8","Had the opportunity to visit with members of the Gering Fort-Laramie and Goshen Irrigation Districts about the critical importance of irrigation infrastructure and other projects that can assist Nebraskans, like the Gering-Fort Laramie tunnel.",,2,1,6,[],https://twitter.com/SenatorFischer/status/1721965367554146603
Meredith Dodson,@dodsonadvocate,2023-11-07T18:43:17.000Z,"Meredith Dodson
@dodsonadvocate
·
Nov 8","Grateful to learn from Omaha 
@NationWic
 in conversations with staff from 
@SenatorFischer
 (pictured) and 
@SenatorRicketts
 today.  #WICstrong 
@NatWICAssoc
 @Voice4HumanNeed",,,2,6,[],https://twitter.com/dodsonadvocate/status/1721961535105360215
Senator Deb Fischer,@SenatorFischer,2023-11-07T15:46:03.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 7","This Veterans Day, we honor those who have served to protect our safety and our freedom.

As your U.S. Senator, I will continue advocating for our veterans and leading efforts to support these American heroes.

More in this week's column: https://fischer.senate.gov/public/index.cfm/weekly-column?ID=B9011AAD-5DCE-4FCC-AFBC-3D86F2939CDA…",,7,1,15,[],https://twitter.com/SenatorFischer/status/1721916934390730979
Andy,@IowaHawkeye68,2023-11-08T21:41:44.000Z,"Andy
@IowaHawkeye68
·
Nov 9","Laura thanks for exposing all of this to us. I wonder if the 
@GOP
 will finally get behind President Trump and this witch hunt against him? We have two  RINOS here in Nebraska; 
@RepDonBacon
 & 
@SenatorFischer
 who will do nothing and in Iowa 
@SenJoniErnst
 is just as bad.",,,,,[],https://twitter.com/IowaHawkeye68/status/1722368834126922222
Senator Deb Fischer,@SenatorFischer,2023-11-08T21:26:31.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 9","Iran is the world’s leading state sponsor of terrorism.

I joined my colleagues in a letter urging 
@SECBlinken
 to press for a broader, more permanent framework of sanctions against Iran from the UN Security Council.",,10,1,13,[],https://twitter.com/SenatorFischer/status/1722365003158675779
Senator Deb Fischer,@SenatorFischer,2023-11-08T19:17:07.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 9","Congratulations to all 
@NebraskaFFA
 members on their accomplishments during the 96th 
@NationalFFA
 Convention!

The agriculture industry is in good hands ",👏 👏 👏,4,4,16,[],https://twitter.com/SenatorFischer/status/1722332441031962858
Max'sDad,@traitortrumpy,2023-11-08T17:26:20.000Z,"Max'sDad
@traitortrumpy
·
Nov 9","Thats because Republicans don't want abortion legal in any circumstances , right 
@TeamPillen
 @RepDonBacon
 @PeteRicketts
 @USRepMikeFlood
 @SenatorFischer",,2,8,29,['https://pbs.twimg.com/media/F-YWKaQWYAAnpTT.jpg'],https://twitter.com/traitortrumpy/status/1722304560868262359
Drew Sullivan,@DrewSul22351735,2023-11-08T15:49:49.000Z,"Drew Sullivan
@DrewSul22351735
·
Nov 8","Americans need to look to their own history and what Presidnet Lincoln did when people were massacred, before telling Israel what to do.
@SenatorRicketts
@SenatorFischer
@RepDonBacon
@DonJBacon",,,,,[],https://twitter.com/DrewSul22351735/status/1722280271293432164
James,@carphalen5150,2023-11-09T20:28:48.000Z,"James
@carphalen5150
·
Nov 10",".
@SenatorRicketts
 and 
@SenatorFischer
 sitting there silent while he smiles smugly and fucks military careers up. Disgraceful.",,10,24,81,['https://pbs.twimg.com/ext_tw_video_thumb/1722710267350458368/pu/img/UlRQGRcZVVGckSHW.jpg'],https://twitter.com/carphalen5150/status/1722712868641034355
Senator Deb Fischer,@SenatorFischer,2023-11-09T19:37:34.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 10","There is a national security crisis at our southern border.
 
This week, I pressed 
@SecMayorkas
 to finally implement meaningful policy changes to address this catastrophe — like tightening our asylum standards or limiting the use of parole.
https://fischer.senate.gov/public/index.cfm/2023/11/video-fischer-presses-homeland-security-secretary-on-national-security-crisis-at-the-southern-border…",,10,11,18,['https://pbs.twimg.com/amplify_video_thumb/1722663407701094400/img/rH7MZbJOi1768tuc.jpg'],https://twitter.com/SenatorFischer/status/1722699973588897858
Webb E. Bancroft,@bancroft_webb,2023-11-09T17:24:33.000Z,"Webb E. Bancroft
@bancroft_webb
·
Nov 10","In Nebraska what we’re not doing well with is the economic impact of the Trump tax cuts that you supported. Undoing that damage takes time-that’s why we’re gladly looking forward to another 4 years of Democratic leadership to continue expand the economic recovery 
@SenatorFischer",,,,,[],https://twitter.com/bancroft_webb/status/1722666498605404260
Senator Deb Fischer,@SenatorFischer,2023-11-09T16:17:08.000Z,"Senator Deb Fischer
@SenatorFischer
·
Nov 10","The Nebraska Veterans Cemetery in Grand Island will provide a fitting location to honor our veterans and stand as a solemn tribute to their patriotism and service.

I want to thank the many who have been fighting to make this project a reality.",,5,2,15,[],https://twitter.com/SenatorFischer/status/1722649533157359739
