UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Evangelos Savva,@ecsavva,2023-11-01T23:40:52.000Z,"Evangelos Savva
@ecsavva
·
Nov 2","Thank you 
@SenatorHagerty
 for the engaging discussion on the bilateral agenda, and other issues of common interest / concern in the Middle East and beyond, including cooperation on non-combatant evacuation operations
@CyprusMFA",,,3,40,['https://pbs.twimg.com/media/F94tdqlW4AArZSp?format=jpg&name=medium'],https://twitter.com/ecsavva/status/1719862100774748491
Jenny Fulle,@JennyFulle,2023-11-01T23:15:30.000Z,"Jenny Fulle
@JennyFulle
·
Nov 2","OMG! Turkeys are down 13% in cost since last year. 
@MarshaBlackburn
 and 
@SenatorHagerty
 what will you whine about this week?",,1,,,[],https://twitter.com/JennyFulle/status/1719855716012376560
Senator Bill Hagerty,@SenatorHagerty,2023-11-01T22:10:00.000Z,"Senator Bill Hagerty
@SenatorHagerty
·
Nov 2","The Biden Admin's supplemental funding request will only fund more border management, not border security. We need to go back to the real border security policies that worked under the Trump Admin.",,14,16,41,['https://pbs.twimg.com/ext_tw_video_thumb/1719797761950793728/pu/img/ny8NfiXYtZgCkY1L.jpg'],https://twitter.com/SenatorHagerty/status/1719839230653030877
Sen. James Lankford,@SenatorLankford,2023-11-01T21:41:36.000Z,"Sen. James Lankford
@SenatorLankford
·
Nov 2","Iran is one of the largest state sponsors of terrorism and they are supporting the Houthis who are slaughtering innocent Israelis. The Biden Admin needs to call these groups what they are—terrorist organizations 
@SenatorHagerty",,11,8,42,"['https://pbs.twimg.com/media/F94SAQBWAAAsGXt?format=jpg&name=small', 'https://pbs.twimg.com/media/F94SAP_XoAEdZAr?format=jpg&name=small', 'https://pbs.twimg.com/media/F94SAQBXcAAUGCN?format=jpg&name=small']",https://twitter.com/SenatorLankford/status/1719832084611535073
Senator Bill Hagerty,@SenatorHagerty,2023-11-01T21:37:00.000Z,"Senator Bill Hagerty
@SenatorHagerty
·
Nov 2","I support 
@SpeakerJohnson
.

The need for aid to Israel is urgent, and there is strong bipartisan support. Let’s focus on getting it done now.",,17,13,25,['https://pbs.twimg.com/ext_tw_video_thumb/1719797579615961088/pu/img/fFe77to4ubWp2EHi.jpg'],https://twitter.com/SenatorHagerty/status/1719830925520064770
Senator Bill Hagerty,@SenatorHagerty,2023-11-01T21:23:19.000Z,"Senator Bill Hagerty
@SenatorHagerty
·
Nov 2",I’m starting to see a pattern.,,61,50,142,"['https://pbs.twimg.com/profile_images/428947244323049472/qWeRiNB4_normal.png', 'https://pbs.twimg.com/profile_images/1706335295673643008/oZ6-fC_p_bigger.jpg']",https://twitter.com/SenatorHagerty/status/1719827483938128216
ElectBitcoin.org,@ElectBitcoinOrg,2023-11-01T21:16:21.000Z,"ElectBitcoin.org
@ElectBitcoinOrg
·
Nov 2",".
@SenatorHagerty
 has a new  item on his record! Current Grade: ""A+""

If Sen. Hagerty represents YOU in congress, thank him for supporting American innovators in finance and technology! #Bitcoin 

https://ElectBitcoin.org/tennessee/billssee/bill-hagerty/…",👍,,,,['https://pbs.twimg.com/profile_images/1349435761515495427/hQun4DXj_normal.jpg'],https://twitter.com/ElectBitcoinOrg/status/1719825728798068963
Senator Marco Rubio,@SenMarcoRubio,2023-11-01T20:30:00.000Z,"Senator Marco Rubio
@SenMarcoRubio
·
Nov 2","Joined 
@SenatorHagerty
 on a letter to 
@SecBlinken
 urging the reestablishment of the Houthis, an Iranian-backed group, as a Foreign Terrorist Organization (FTO) after President Biden's terrible decision to remove them in 2021.

Read more:",,6,13,37,['https://pbs.twimg.com/card_img/1729982568622157824/lGt4sY_g?format=jpg&name=900x900'],https://twitter.com/SenMarcoRubio/status/1719814065143386233
Senator Bill Hagerty,@SenatorHagerty,2023-11-01T20:12:00.000Z,"Senator Bill Hagerty
@SenatorHagerty
·
Nov 2","J.T. Harding exemplifies the heart & soul of Tennesseans through his dedication & hard work bolstering foster care & adoption, & I was honored to nominate him for the Angels in Adoption program. He has made a great impact in TN, & I congratulate him on being chosen as an honoree!",,3,3,12,['https://pbs.twimg.com/media/F93yWXiW0AAyjSn?format=jpg&name=900x900'],https://twitter.com/SenatorHagerty/status/1719809534481584254
Marc Rod,@marcrod97,2023-11-01T19:26:11.000Z,"Marc Rod
@marcrod97
·
Nov 2","New: in light of the Houthis' rocket and drone attacks on Israel, 15 Senate Republicans led by 
@SenatorHagerty
 urged Sec. State Blinken to re-designate the Iranian proxy group in Yemen as a terrorist organization. …https://jewishinsider.nyc3.digitaloceanspaces.com/wp-content/uploads/2023/11/01152049/20231101-FINAL-Hagerty-Led-Senate-Letter-to-SECSTATE-on-Designating-Houthis-an-FTO-With-Watermark.pdf…",,,,7,[],https://twitter.com/marcrod97/status/1719798006331969795
Senator Bill Hagerty,@SenatorHagerty,2023-11-01T19:06:56.000Z,"Senator Bill Hagerty
@SenatorHagerty
·
Nov 2",We should be stepping back & giving Israel the room & support to do what it knows how to do and justly defend itself against this savage attack.,,17,16,55,['https://pbs.twimg.com/ext_tw_video_thumb/1719792977881575424/pu/img/Ieg_GFqiXkd313rF.jpg'],https://twitter.com/SenatorHagerty/status/1719793161759842316
Senator Bill Hagerty,@SenatorHagerty,2023-11-01T17:45:16.000Z,"Senator Bill Hagerty
@SenatorHagerty
·
Nov 2","Only in Washington do you spend more on gov’t employees to reduce the deficit.

Last year, Dems recklessly provided $80B for an army of IRS agents to snoop on Americans’ Venmo accounts & finances. $50B is still unspent. We should use it for Israel support instead of more agents.",🚨,18,15,40,"['https://pbs.twimg.com/profile_images/1471636921176801282/4J1MH9WE_normal.jpg', 'https://pbs.twimg.com/profile_images/1344728315769151488/-0XDUIW1_bigger.jpg']",https://twitter.com/SenatorHagerty/status/1719772609548542408
Senator Bill Hagerty,@SenatorHagerty,2023-11-01T17:34:05.000Z,"Senator Bill Hagerty
@SenatorHagerty
·
Nov 2","The WH also said the President would veto my DC Crime bill, but we held the line, & did what was right.

As a result, the President backed down, my bill passed the Senate 84-15, & 
@POTUS
 signed it as his first act this Congress. 

White House veto threats are all bark, no bite.",,6,8,23,"['https://pbs.twimg.com/profile_images/1649413483685871621/V_wwjDu2_normal.png', 'https://pbs.twimg.com/media/F9zyzsJWoAAY1aw?format=jpg&name=900x900']",https://twitter.com/SenatorHagerty/status/1719769796202344575
Morgan Ortagus,@MorganOrtagus,2023-11-01T17:14:52.000Z,"Morgan Ortagus
@MorganOrtagus
·
Nov 2","This is a must-watch: Secretary Blinken couldn’t tell 
@SenatorHagerty
 that US taxpayer dollars didn’t go to Hamas to fund the 10/7 terror attacks.

Why do we keep funding both sides of these wars?",,34,127,387,['https://pbs.twimg.com/amplify_video_thumb/1719725463155703808/img/H91us9TvcIqXJbkj.jpg'],https://twitter.com/MorganOrtagus/status/1719764956663468043
