UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Darlene Gildersleeve,@DGildersleeve88,2023-11-01T21:25:29.000Z,"Darlene Gildersleeve
@DGildersleeve88
·
Nov 2","I stand with 
@PlzSolveCFS
 in supporting the #LongCovidSupportAct Act. 
@SenatorShaheen
 @Senatorhassan
 will you join me? People with infection-associated chronic illnesses are counting on you! #StopTheLongHaul #MECFS #LongCOVID",,1,,,['https://pbs.twimg.com/card_img/1730144256080203776/eZbA02ON?format=jpg&name=900x900'],https://twitter.com/DGildersleeve88/status/1719828026953773266
ElectBitcoin.org,@ElectBitcoinOrg,2023-11-01T19:15:42.000Z,"ElectBitcoin.org
@ElectBitcoinOrg
·
Nov 2",".
@SenatorHassan
 has a new  item on her record! Current Grade: ""D""

If Sen. Hassan represents YOU in congress, ask her to support an open and inclusive financial system for all! #Bitcoin 

https://ElectBitcoin.org/new-hampshire/ampshire/maggie-hassan/…",👎,,,,['https://pbs.twimg.com/profile_images/1457818269205897224/KJPS4JkN_normal.jpg'],https://twitter.com/ElectBitcoinOrg/status/1719795367376552212
Sen. Maggie Hassan,@SenatorHassan,2023-11-01T18:39:55.000Z,"Sen. Maggie Hassan
@SenatorHassan
·
Nov 2","UPDATE: The Senate passed a bipartisan bill I cosponsored to help protect foster youth. 

Foster youth are especially vulnerable to exploitation and trafficking, and it is crucial that every state is aware of – and actively working to find – any missing foster children.",,5,9,16,[],https://twitter.com/SenatorHassan/status/1719786364214862216
Got halted 4 the Criminals,@teekay5150,2023-11-01T16:08:32.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 2",".
@SenatorHassan
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1719748265749491816
Overdose Prevention Initiative,@ActionForOD,2023-11-01T16:00:02.000Z,"Overdose Prevention Initiative
@ActionForOD
·
Nov 2","Medications for opioid use disorder save lives and help people find recovery. We support policies that increase access to #MOUD.

Thank you 
@SenatorHassan
 and 
@MarshaBlackburn
 for working to #endoverdose and make Medicaid coverage for #MOUD permanent.",,,1,3,['https://pbs.twimg.com/card_img/1729184510116298752/wrS-Q37R?format=png&name=900x900'],https://twitter.com/ActionForOD/status/1719746125672943915
Sen. Maggie Hassan,@SenatorHassan,2023-11-01T15:47:01.000Z,"Sen. Maggie Hassan
@SenatorHassan
·
Nov 1","We can’t be any clearer.

Anti-choice extremists – including the recently elected Speaker of the House – want to take away a woman’s most fundamental freedom.

We won’t let them.",,65,34,96,['https://pbs.twimg.com/ext_tw_video_thumb/1719742702885986304/pu/img/AdnI5N4Bs3MWhN5X.jpg'],https://twitter.com/SenatorHassan/status/1719742851033006544
Gabe,@gabeintheusa,2023-11-01T09:48:58.000Z,"Gabe
@gabeintheusa
·
Nov 1","Why are 
@SenatorHassan
 & 
@SenatorShaheen
  against Securing our borders?  #NH  #NewHampshire",,,1,2,['https://pbs.twimg.com/profile_images/1599130632919126018/OPQL_Xgj_normal.jpg'],https://twitter.com/gabeintheusa/status/1719652743764144243
Ultra MAGA Girl,@ChristineMalo2,2023-11-02T23:52:29.000Z,"Ultra MAGA Girl
@ChristineMalo2
·
Nov 3","This is what the people want. Do the right thing. But we know you won’t. 
@SenatorShaheen
 @SenatorHassan",,,,,[],https://twitter.com/ChristineMalo2/status/1720227411789271495
Got halted 4 the Criminals,@teekay5150,2023-11-02T20:21:11.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenatorHassan
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1720174232921927995
Sen. Maggie Hassan,@SenatorHassan,2023-11-02T20:14:29.000Z,"Sen. Maggie Hassan
@SenatorHassan
·
Nov 3","Nearly 2 million dollars in federal funding is coming to NH, thanks in part to the Inflation Reduction Act.

This program will help Granite State rural farms & small businesses access clean energy, improve energy efficiency, and lower energy costs.",,48,20,47,[],https://twitter.com/SenatorHassan/status/1720172547449258047
