UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bonnie Castillo,@NNUBonnie,2023-11-01T23:22:24.000Z,"Bonnie Castillo
@NNUBonnie
·
Nov 2","Today, I was invited to participate in a conversation about the impact of A.I. on the workforce hosted by Majority Leader 
@SenSchumer
, 
@SenatorHeinrich
, 
@SenatorRounds
, and 
@SenToddYoung
. Here's the perspective union nurses bring to the conversation.  (1/10)",🧵,1,16,28,['https://pbs.twimg.com/media/F94pKpBakAA25ke?format=jpg&name=900x900'],https://twitter.com/NNUBonnie/status/1719857452014084563
Jennifer L Tucker,@ProfJTucker,2023-11-01T22:36:48.000Z,"Jennifer L Tucker
@ProfJTucker
·
Nov 2","Great coverage 
@source_nm
 and 
@austieJFish
 of our white-hot demand for a #ceasefire now to end the war crimes in #Gaza. 

Do the right thing already 
@senatorheinrich
 & 
@SenatorLujan",,,3,6,['https://pbs.twimg.com/card_img/1732079297836335104/gYujoeeI?format=jpg&name=900x900'],https://twitter.com/ProfJTucker/status/1719845973977878860
MMitchell,@mmitchell_ai,2023-11-01T22:00:24.000Z,"MMitchell
@mmitchell_ai
·
Nov 2","Today I had the honor of joining the Senate Insight Fora on High Impact AI, led by 
@SenSchumer
, 
@SenatorRounds
, 
@SenatorHeinrich
, and 
@SenToddYoung
. Was a really amazing panel--I'm so thankful I could join.
The statement I submitted to the Senate is here: https://m-mitchell.com/statements/SenateInsightForum-HighImpactAI.pdf…",,7,36,138,[],https://twitter.com/mmitchell_ai/status/1719836817451573535
HECHO,@HECHOOnline,2023-11-01T21:00:29.000Z,"HECHO
@HECHOOnline
·
Nov 2","HECHO applauds 
@RepRaulGrijalva
 & 
@SenatorHeinrich
 for introducing two pieces of legislation to advance Tribal management of public lands & to improve the protection of sacred and cultural sites and expresses its strong support for these bills.",,,,1,[],https://twitter.com/HECHOOnline/status/1719821736214962642
TechNet,@TechNetUpdate,2023-11-01T20:04:32.000Z,"TechNet
@TechNetUpdate
·
Nov 2","Today, 
@SenSchumer
, 
@SenatorRounds
, 
@SenatorHeinrich
, and 
@SenToddYoung
 hosted an AI Insight Forum highlighting AI and the American workforce. Leaders from TechNet member companies 
@Accenture
, 
@Indeed
, & 
@Mastercard
 participated. A ",🧵,1,7,1,['https://pbs.twimg.com/card_img/1732123397570822144/i51bwk2U?format=jpg&name=900x900'],https://twitter.com/TechNetUpdate/status/1719807656091676926
UNITE HERE,@unitehere,2023-11-01T19:27:26.000Z,"UNITE HERE
@unitehere
·
Nov 2","Thank you 
@SenSchumer
 @SenToddYoung
 @SenatorRounds
 @SenatorHeinrich
 for listening to hospitality workers’ concerns and ideas about AI & technology. Today’s AI Insight Forum resulted in a great discussion, & we look forward to the next steps.",,1,3,8,"['https://pbs.twimg.com/profile_images/1409227745670975489/UVBQFdbf_normal.jpg', 'https://pbs.twimg.com/media/F93vcT-WUAAie40?format=jpg&name=900x900']",https://twitter.com/unitehere/status/1719798321714270213
Chris Manning,@Manning4USCong,2023-11-02T23:44:37.000Z,"Chris Manning
@Manning4USCong
·
Nov 3","Hey Marty 
@SenatorHeinrich
 are you guys neighbors?",,,,,[],https://twitter.com/Manning4USCong/status/1720225430051918029
Amanda Hatherly,@AmandaHatherly,2023-11-02T23:13:03.000Z,"Amanda Hatherly
@AmandaHatherly
·
Nov 3","Embarrassed that my Senator can’t be like these great elected representatives, 
@SenatorHeinrich",🐝 🌻 🐞,,,,[],https://twitter.com/AmandaHatherly/status/1720217488061825356
JH Cole,@ColeHillas,2023-11-02T22:09:40.000Z,"JH Cole
@ColeHillas
·
Nov 3",".
@Gabe_NM
 .
@dccc
 .
@GovMLG
 .
@SenatorHeinrich
 .
@SenatorLujan
 
Every GOP member of congress voted against the American Rescue Plan, which helped 20 child care programs in Grant County stay open, helping working families.  
http://bluecd2nm.com has facts, graphics and more.",,,,,[],https://twitter.com/ColeHillas/status/1720201537069199791
Martin Heinrich,@SenatorHeinrich,2023-11-02T20:09:34.000Z,"Martin Heinrich
@SenatorHeinrich
·
Nov 3","Earlier this year, the Chimayó USPS was destroyed by a fire. Residents rely on the mail to receive everything from paychecks to prescriptions.

I’m grateful USPS has opened 2 mobile units & I will continue pressing for the long-term solution: a reopened, full-service Post Office.",,13,10,52,[],https://twitter.com/SenatorHeinrich/status/1720171309504565742
