UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kim Kim Kim,@tooswt34,2023-11-01T23:55:40.000Z,"Kim Kim Kim
@tooswt34
·
Nov 2","A white cop 
@SenatorLankford",,,,,[],https://twitter.com/tooswt34/status/1719865822582051017
Logan,@greeneyes3470,2023-11-01T23:16:42.000Z,"Logan
@greeneyes3470
·
Nov 2"," @RyanWaltersSupt
 @GovStitt
 @SenatorLankford
 @repkevinhern
@TomColeOK04
 @RepBice
 
#Oklahoma #Oklahomans #Tulsa
#Veterans #GenZ #AmericaFirst ",🌺 ☠ ☠ 🌊,,,1,[],https://twitter.com/greeneyes3470/status/1719856016534442146
Logan,@greeneyes3470,2023-11-01T22:04:49.000Z,"Logan
@greeneyes3470
·
Nov 2"," @RyanWaltersSupt
 @GovStitt
 @SenatorLankford
 @repkevinhern
@TomColeOK04
 @RepBice
 
#Oklahoma #Oklahomans #Tulsa
#Veterans #GenZ #AmericaFirst ",🌺 ☠ ☠ 🌊,,,,[],https://twitter.com/greeneyes3470/status/1719837925850992845
Logan,@greeneyes3470,2023-11-01T21:57:16.000Z,"Logan
@greeneyes3470
·
Nov 2"," @RyanWaltersSupt
 @GovStitt
 @SenatorLankford
 @repkevinhern
@TomColeOK04
 @RepBice
 
#Oklahoma #Oklahomans #Tulsa
#Veterans #GenZ #AmericaFirst ",🌺 ☠ ☠ 🌊,,1,2,['https://pbs.twimg.com/tweet_video_thumb/F93S5sVWsAA5-Xh.jpg'],https://twitter.com/greeneyes3470/status/1719836025562771542
Sen. James Lankford,@SenatorLankford,2023-11-01T21:41:36.000Z,"Sen. James Lankford
@SenatorLankford
·
Nov 2","Iran is one of the largest state sponsors of terrorism and they are supporting the Houthis who are slaughtering innocent Israelis. The Biden Admin needs to call these groups what they are—terrorist organizations 
@SenatorHagerty",,11,8,42,[],https://twitter.com/SenatorLankford/status/1719832084611535073
Anthony Adragna,@AnthonyAdragna,2023-11-01T19:32:57.000Z,"Anthony Adragna
@AnthonyAdragna
·
Nov 2",".
@SenatorLankford
 has just walked into Speaker Johnson’s suite",,1,,1,[],https://twitter.com/AnthonyAdragna/status/1719799708351127882
Wolf𝕩#MuzikkZøne #𝘛eam𝘋øll𝘕ATURE CoFounder,@DCordell2016,2023-11-02T22:57:01.000Z,"Wolf𝕩#MuzikkZøne #𝘛eam𝘋øll𝘕ATURE CoFounder
@DCordell2016
·
Nov 3"," #CrookedMagaMinionAlert

卐.
@RyanWaltersSupt
 refused to 
turn over financial documents, 
former Oklahoma Ed secretary 
says! 
| 
@TheOklahoman_
  @GovStitt
@SenatorLankford
 @SenMullin
 @RepBrecheen
 @GOP
 @OKGOP
Old McBigLie 
@Trump
 @RepMTG
 @Jim_Jordan",🐺 🎶 🗣 📢 😠,,2,6,[],https://twitter.com/DCordell2016/status/1720213450666750355
Chad,@scifijunk,2023-11-02T22:26:22.000Z,"Chad
@scifijunk
·
Nov 3","You have been challenged
@GovStitt
@Okla_OAG
@SenatorLankford
@SenMullin
@RepBrecheen
@OKHouseofReps
 

@kfor
Show more",,,,,[],https://twitter.com/scifijunk/status/1720205738759323927
Owen,@owen68703153,2023-11-02T21:19:22.000Z,"Owen
@owen68703153
·
Nov 3","Not quite and you know it.  Ethics matter.  
@SenTedCruz
 @SenatorLankford
 @MarshaBlackburn
 @LindseyGrahamSC
 @JusticeOIG
 @SenatorDurbin
 @Dahlialithwick
 @WSJ
 @YaleLawSch
 @StanfordLaw",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1720092260174557185/pu/img/hLpDu87B0cH2JelY.jpg'],https://twitter.com/owen68703153/status/1720188876365443381
Got halted 4 the Criminals,@teekay5150,2023-11-02T20:21:34.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenatorLankford
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1720174331076968910
