UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Zee,@ZHARVELL,2023-11-01T23:14:29.000Z,"Zee
@ZHARVELL
·
Nov 2","We can’t forget 
@SenatorMenendez",,,,,['https://pbs.twimg.com/profile_images/1010342848569532417/j7V4CEsw_normal.jpg'],https://twitter.com/ZHARVELL/status/1719855460872806888
Marcy Winograd,@marcywinograd,2023-11-01T23:06:38.000Z,"Marcy Winograd
@marcywinograd
·
Nov 2",".
@SenAlexPadilla
 @SenSchumer
 @timkaine
 @SenatorMenendez
 @SenJackReed
 Intro a Senate res for #ceasefire in #Gaza. Center for Constitutional Rights has gone to the ICC to demand an investigation into 
@POTUS
 @SecBlinken
 @SecDef
 as accomplices to #Genocide_in_Gaza.",,2,9,13,[],https://twitter.com/marcywinograd/status/1719853484714172775
Wajeeh Gay Lion وجيه المثلي الأسد,@WajeehLionn,2023-11-01T23:06:07.000Z,"Wajeeh Gay Lion وجيه المثلي الأسد
@WajeehLionn
·
Nov 2","Democratic Sen. 
@SenatorMenendez
, who has been indicted on federal corruption charges, including allegations of improperly aiding the Egyptian government, attended a classified briefing on #Ukraine on Wednesday morning, raising concerns from some of his colleagues who believe he…
Show more",,,2,2,[],https://twitter.com/WajeehLionn/status/1719853352949825605
Benjamin Knoll,@benjaminknoll28,2023-11-01T22:24:53.000Z,"Benjamin Knoll
@benjaminknoll28
·
Nov 2","IMO, 
@SenatorMenendez
 should *at least* take a voluntary suspension from the Foreign Relations committee if not resign his seat entirely at this point, given the severity of the federal charges against him.",,,,,['https://pbs.twimg.com/profile_images/1649413483685871621/V_wwjDu2_normal.png'],https://twitter.com/benjaminknoll28/status/1719842978154356909
Brian Allen,@allenanalysis,2023-11-01T22:04:23.000Z,"Brian Allen
@allenanalysis
·
Nov 2","It's concerning. 
@SenatorMenendez
's access to confidential data is questionable. If he attends further classified meetings, there might be a case for reevaluating his bail conditions.

Democratic Sen. Bob Menendez, under indictment for federal corruption charges including…
Show more",,6,50,152,['https://pbs.twimg.com/media/F94XYUGWQAAQdj5?format=jpg&name=900x900'],https://twitter.com/allenanalysis/status/1719837818866868495
Melva Mud ~ Not leaving…yet,@Melva_Mud,2023-11-01T21:57:05.000Z,"Melva Mud ~ Not leaving…yet
@Melva_Mud
·
Nov 2",".
@SenSchumer
 @SenateDems
 Why is 
@SenatorMenendez
 allowed to attend classified briefings?",,,2,2,['https://pbs.twimg.com/profile_images/1648778452127088640/cUM-ttHC_normal.jpg'],https://twitter.com/Melva_Mud/status/1719835980860104977
Richard W. Painter,@RWPUSA,2023-11-01T21:54:57.000Z,"Richard W. Painter
@RWPUSA
·
Nov 2","This is insane. 
@SenatorMenendez
 should not have access to classified information.  Prosecutors should ask for bail to be revoked if he attends any more classified briefings.
https://cnn.com/2023/11/01/politics/bob-menendez-classified-briefing…",,17,187,866,[],https://twitter.com/RWPUSA/status/1719835442705535429
Joe,@9Joe9,2023-11-01T21:46:27.000Z,"Joe
@9Joe9
·
Nov 2",".
@SenatorMenendez
 says his ""security credentials"" are intact and he is attending classified briefings. 

| ",🤯,1,,,['https://pbs.twimg.com/media/F94TGYiWUAAvaD8?format=png&name=small'],https://twitter.com/9Joe9/status/1719833304843649115
Mark R Smith,@MarkDaVinciGrp,2023-11-01T21:25:55.000Z,"Mark R Smith
@MarkDaVinciGrp
·
Nov 2","When did 
@danielsgoldman
 call for 
@SenatorMenendez
 to resign? When did he ask for 
@nycDSA
 to be shutdown? When did he condemn the #HamasCaucus in 
@TheDemocrats
 party to be shutdown? Asking for 700k friends in NY-10. 
@lawler4ny
 @RepDesposito",,1,,,['https://pbs.twimg.com/media/F94OkiTWkAA4lBl?format=jpg&name=900x900'],https://twitter.com/MarkDaVinciGrp/status/1719828136555090187
#IAN1 Author Promotion,@IAN_AuthorPromo,2023-11-02T23:57:00.000Z,"#IAN1 Author Promotion
@IAN_AuthorPromo
·
Nov 3","Why is Gen Z Not Joining the Military? This USMC Officer Has The Solutions in UNCLE SAM WE DON'T WANT YOU. 
@SenatorMenendez
 @SpeakerMcCarthy
 @MilitaryTimes
 #MarineCorps #rt 
@sethmoulton
 @repAdamSchiff
 @NMalliotakis
 @kayleighmcenany
 https://youtube.com/watch?v=3sFyHJ0PCVI…",,,,,[],https://twitter.com/IAN_AuthorPromo/status/1720228545421844639
Yolonda,@PoughYolonda,2023-11-02T23:34:40.000Z,"Yolonda
@PoughYolonda
·
Nov 3"," It seems that many politicians are or are becoming criminal political professionals. 
@ericadamsfornyc
 @SenatorMenendez
 @MrSantosNY
, and 
@SpeakerJohnson
 and his wife who seems to not have bank accounts. His first legislation is to shut down the IRS. What is he hiding?",🌷 😳 🤔,,,,[],https://twitter.com/PoughYolonda/status/1720222924689289232
Nelson Maica C,@jupiterxc,2023-11-02T21:44:41.000Z,"Nelson Maica C
@jupiterxc
·
Nov 3","#USA should request to modify the negotiating commission in accordance with results of October 22, 2023 
@MaElviraSalazar
 @SenMarcoRubio
 @SenRickScott
 @SenTedCruz
 @SenatorMenendez
 @SecBlinken
 @POTUS",,,1,,[],https://twitter.com/jupiterxc/status/1720195249782280704
Denise Lytle,@CentauressWeezy,2023-11-02T21:10:59.000Z,"Denise Lytle
@CentauressWeezy
·
Nov 3",".
@FrankPallone
 @senbooker
 @SenatorMenendez
 we can end gun violence. I urge you to support more robust background check legislation, safe storage laws, and a ban on assault and high capacity weapons. The time is now. 
@justice_ucc",,,,1,[],https://twitter.com/CentauressWeezy/status/1720186765435142637
JGoodman,@jgoodmansunset,2023-11-02T20:35:42.000Z,"JGoodman
@jgoodmansunset
·
Nov 3","How about 
@SenatorMenendez
 resign now!",,,,,[],https://twitter.com/jgoodmansunset/status/1720177888555565143
Daniel Covello,@dieseldan274,2023-11-03T20:59:59.000Z,"Daniel Covello
@dieseldan274
·
Nov 4",".
@SenBooker
 @SenatorMenendez
 I call on 
@SenateDems
 & 
@SenSchumer
 to propose a counter offer for cannabis legalization to OFFSET PAYFORS on Israel & IRS from 
@SpeakerJohnson
 & the 
@HouseGOP
 including Ukraine aid!!! 
@FrankPallone
 @POTUS
 @VP
 @TheDemocrats
 @hakeemjeffries",,,,,[],https://twitter.com/dieseldan274/status/1720546386653958582
Senator Bob Menendez,@SenatorMenendez,2023-11-03T20:50:45.000Z,"Senator Bob Menendez
@SenatorMenendez
·
Nov 4","The $3.8 billion in federal funding announced today for the Gateway is the next step in moving one of our nation’s most transformative infrastructure projects forward.

My full statement:",,46,3,26,[],https://twitter.com/SenatorMenendez/status/1720544064515301462
David Shepardson,@davidshepardson,2023-11-03T20:06:46.000Z,"David Shepardson
@davidshepardson
·
Nov 4","New: Hudson Tunnel project getting another $3.8 billion per 
@SenSchumer
 @SenatorMenendez
 bringing total federal support to $11B",,,1,,[],https://twitter.com/davidshepardson/status/1720532993071001624
Andrew Sharick,@AndrewSharick,2023-11-03T19:39:17.000Z,"Andrew Sharick
@AndrewSharick
·
Nov 4",".
@senbooker
 @SenatorMenendez
 We need the HCBS Relief Act NOW for people with disabilities, their families, and the direct care workforce! #CareCantWait",,,,,[],https://twitter.com/AndrewSharick/status/1720526077523570856
Andrew Sharick,@AndrewSharick,2023-11-03T19:38:06.000Z,"Andrew Sharick
@AndrewSharick
·
Nov 4",".
@RepJoshG
 @senbooker
 @SenatorMenendez
 please co-sponsor the SSI Savings Penalty Elimination Act (S.2767/H.R.5408). Since 1989, the #SSI asset limit has not been raised, forcing people w/ disabilities into poverty. #UpdateSSI",,,,,[],https://twitter.com/AndrewSharick/status/1720525779350466980
Daniel Covello,@dieseldan274,2023-11-04T22:41:11.000Z,"Daniel Covello
@dieseldan274
·
Nov 5",".
@SenBooker
 @SenatorMenendez
 I call on 
@SenateDems
 & 
@SenSchumer
 to propose a counter offer for cannabis legalization to OFFSET PAYFORS on Israel & IRS cuts from 
@SpeakerJohnson
 & the 
@HouseGOP
 including Ukraine aid!!! 
@FrankPallone
 @POTUS
 @VP
 @TheDemocrats
 @hakeemjeffries",,,,1,[],https://twitter.com/dieseldan274/status/1720934241310007438
Tigray,@SelamTembien,2023-11-04T21:43:29.000Z,"Tigray
@SelamTembien
·
Nov 5","Day 1096: #TigrayGenocide 
THREE years [Nov 04, 2020-Nov 04, 2023] of genocidal campaign by the fascistic regime of Ethiopia & its cronies in Eritrea and the Amhara region! #3YearsOfTigrayGenocide 
@UN
 @UNHumanRights
 @SenatorMenendez
 @SavetheChildren
 @UNOCHA
 @WHO
 @UNICEF
 @UN_HRC",❤ 💛 💊 ⚠,,40,10,[],https://twitter.com/SelamTembien/status/1720919720570867724
Cameron Orr,@cameronmorr,2023-11-04T14:17:39.000Z,"Cameron Orr
@cameronmorr
·
Nov 4","Dear 
@CoryBooker
, 
@RobMenendez4NJ
, 
@SenatorMenendez
 

How many children have to die before you will join the growing demands for a #CeasefireNOW. Is it 5,000? 10,000? 100,000? Do you think it's okay to bomb hospitals, refugee camps, schools, and residential neighborhoods?",,1,1,8,[],https://twitter.com/cameronmorr/status/1720807524889243965
Christina Amira Khalil,@Christina4NJ,2023-11-04T13:46:21.000Z,"Christina Amira Khalil
@Christina4NJ
·
Nov 4","Thankful 
@AndyKimNJ
 and 
@SenatorMenendez
 support this.",,,,1,[],https://twitter.com/Christina4NJ/status/1720799649311662217
J Dillon,@jesusfreak3189,2023-11-04T12:58:23.000Z,"J Dillon
@jesusfreak3189
·
Nov 4","https://youtu.be/Rz7eqwnrhl4?si=FtARXXhRQ4QlwYPz… via 
@YouTube
 WW3 baby. What a time to be alive 50/50 we living in the last days. 
@SpeakerJohnson
 @mtgreenee
 @RepDonaldsPress
 @ByronDonalds
 @MrSantosNY
 @laurenboebert
 #ImpeachBidenNOW 
@KamalaHarris
 @SenatorMenendez
 impeach and remove ALL 
@realDonaldTrump
 in",,,,,[],https://twitter.com/jesusfreak3189/status/1720787576259314158
Herb Tarbous,@HerbTarbous,2023-11-05T23:54:30.000Z,"Herb Tarbous
@HerbTarbous
·
Nov 6","The only thing keeping 
@SenBooker
 from being the biggest fraud in NJ politics is 
@SenatorMenendez",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1721291742744317952/pu/img/RezraKfWTPTX2Vzf.jpg'],https://twitter.com/HerbTarbous/status/1721315079272968461
