UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rusty Kuhl,@HumphreyPT,2023-11-01T23:51:14.000Z,"Rusty Kuhl
@HumphreyPT
·
Nov 2","Well this is disappointing 
@SenatorRicketts",,,,,"['https://pbs.twimg.com/profile_images/1723044912134774784/gTtNcz7N_normal.jpg', 'https://pbs.twimg.com/media/F93s5XCXQAAvBlR?format=jpg&name=900x900', 'https://pbs.twimg.com/media/F93s5WXXEAAEr7-?format=jpg&name=small']",https://twitter.com/HumphreyPT/status/1719864708017090922
Stacie Sinclair,@StacieTSinclair,2023-11-01T14:11:05.000Z,"Stacie Sinclair
@StacieTSinclair
·
Nov 1",".
@SenatorRicketts
 please cosponsor #PCHETA! By advancing #palliative care education, awareness & research, PCHETA will improve quality of care & life for millions of patients & families facing serious illnesses. This bipartisan bill is endorsed by 90+ orgs. #HPM #HAPC 
@PatientQoL",,,3,2,[],https://twitter.com/StacieTSinclair/status/1719718708078071815
Senator Pete Ricketts,@SenatorRicketts,2023-11-01T21:29:30.000Z,"Senator Pete Ricketts
@SenatorRicketts
·
Nov 2","When I was governor, the Bring Up Nebraska initiative launched with 
@NE_Children
 Foundation won a national award because of the incredible work that private and public agencies did to produce better outcomes for our children. Thankful they stopped by today to share more about the…
Show more",,4,,2,['https://pbs.twimg.com/media/F94HNxfXgAA-fty?format=jpg&name=900x900'],https://twitter.com/SenatorRicketts/status/1719829039529996307
Senator Pete Ricketts,@SenatorRicketts,2023-11-01T21:00:00.000Z,"Senator Pete Ricketts
@SenatorRicketts
·
Nov 2","In 2018, President Trump ended American aid to UNRWA because they act as “effectively a branch of Hamas.” President Biden reversed the decision.
 
It’s ridiculous and should stop. My bill with 
@SenatorTimScott
 would end American taxpayer funding that enables Hamas’ barbarism.",,14,4,16,['https://pbs.twimg.com/media/F94FvN8WwAADqbJ.jpg'],https://twitter.com/SenatorRicketts/status/1719821616618541412
Senator Pete Ricketts,@SenatorRicketts,2023-11-01T20:35:02.000Z,"Senator Pete Ricketts
@SenatorRicketts
·
Nov 2","Whether you are a spouse, parent or child your grit and love for your servicemember is appreciated! While it is a different kind of sacrifice, your support is vital. Thank you to all our Military Families this month and every month!",,2,1,4,['https://pbs.twimg.com/media/F94CtVrWgAEx28R?format=jpg&name=900x900'],https://twitter.com/SenatorRicketts/status/1719815330594202039
Bethany Blankley,@BethanyBlankley,2023-11-01T23:12:13.000Z,"Bethany Blankley
@BethanyBlankley
·
Nov 2","GOP Senators: Biden’s border policies create 'increased threat' of terrorist attack https://thecentersquare.com/national/article_6128cd9c-78e9-11ee-9435-0f74f4bd3ca4.html… via 
@thecentersquare
 
@SenTedCruz
 @JohnCornyn
 @SenatorRicketts
 @SenJohnBarrasso
 @SenateGOP",,1,6,5,['https://pbs.twimg.com/card_img/1730127167458000896/7Ng_1hky?format=png&name=small'],https://twitter.com/BethanyBlankley/status/1719854890669810079
DCRP 2nd House,@DouglasCounty02,2023-11-01T13:48:00.000Z,"DCRP 2nd House
@DouglasCounty02
·
Nov 1","Nebraska Rollcall: How do you plan to vote on this 
@SenatorFischer
 @SenatorRicketts
? Ending dark money in politics might earn some votes from Independents in 2024 #CitizensUnited 
@LPNebraska
 @HawleyMO",,1,2,4,['https://pbs.twimg.com/card_img/1729965560920690688/R_z16CuK?format=jpg&name=900x900'],https://twitter.com/DouglasCounty02/status/1719712897751036291
Emily Gossard,@EmilyGossard,2023-11-01T12:52:01.000Z,"Emily Gossard
@EmilyGossard
·
Nov 1","Thank you Marie with 
@SenatorRicketts
 for meeting with us today to discuss the NAPA Reauthorization Act.",,,,,['https://pbs.twimg.com/media/F92Y65FWEAAvGJD?format=jpg&name=900x900'],https://twitter.com/EmilyGossard/status/1719698810639659314
Legiswipe,@legiswipe,2023-11-01T08:30:04.000Z,"Legiswipe
@legiswipe
·
Nov 1","""A bill to prohibit aid that will benefit Hamas, and for other purposes.""

Status: Read twice and referred to the Committee on F...

https://congress.gov/bill/118th-congress/senate-bill/3174/text…

Sponsor: 
@SenatorRicketts",,,,,[],https://twitter.com/legiswipe/status/1719632889720021047
Sen. John Barrasso,@SenJohnBarrasso,2023-11-02T18:56:56.000Z,"Sen. John Barrasso
@SenJohnBarrasso
·
Nov 3","Last week Sen 
@JohnCornyn
, 
@SenTedCruz
, 
@SenMikeLee
, 
@SenatorRicketts
, and I witnessed atrocities at the southern border. Joe Biden’s open border policies have put American lives at risk.
 
It’s time to protect our homeland and secure the border.",,62,22,54,['https://pbs.twimg.com/profile_images/1141459766637662209/FOCXtzk4_bigger.jpg'],https://twitter.com/SenJohnBarrasso/status/1720153030903930928
