UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bonnie Wood,@blew_bird,2023-11-01T21:14:04.000Z,"Bonnie Wood
@blew_bird
·
Nov 2","cc 
@SenatorRisch
 @MikeCrapo
 @SpeakerJohnson",,,,1,['https://pbs.twimg.com/profile_images/1149515833900593154/VJN-UDOh_normal.png'],https://twitter.com/blew_bird/status/1719825156640784632
Halifax The Forum,@HFXforum,2023-11-01T20:33:11.000Z,"Halifax The Forum
@HFXforum
·
Nov 2","HFX is honored to welcome back the newly announced congressional delegation to #HFX2023. We look forward to greeting 
@SenatorShaheen
 and 
@SenatorRisch
 along with all of their congressional colleagues at the 15th anniversary Forum in just 16 days. Click the link to read Senator…
Show more",,,2,4,[],https://twitter.com/HFXforum/status/1719814867798917537
PatientQoL Coalition,@PatientQoL,2023-11-01T19:23:22.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2",".
@SenatorRisch
 Please cosponsor #PCHETA! It will advance palliative care education, awareness & research and improve quality of care & quality of life for millions of patients & families facing serious illness. This bipartisan bill is endorsed by 90+ orgs. 
@PatientQoL
 #HPM #HAPC",,,1,1,['https://pbs.twimg.com/media/F93yhe6aEAA2foU?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719797296907600030
Jim Risch,@SenatorRisch,2023-11-01T17:27:12.000Z,"Jim Risch
@SenatorRisch
·
Nov 2","Halloween is over but the scary price of gas & oil isn’t.

Pain at the pump keeps getting worse, & it’s due to the Biden admin’s inflationary policies, draining our Strategic Petroleum Reserve, & refusal to invest in American energy.",,63,2,9,[],https://twitter.com/SenatorRisch/status/1719768063380250749
nogmoguy,@nogmoguy,2023-11-01T16:06:28.000Z,"nogmoguy
@nogmoguy
·
Nov 2","No more of my tax dollars to Ukraine until
#AudittheFed 
@SenatorRisch
 @MikeCrapo",‼ 🚨 🚨 ‼,,,,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg'],https://twitter.com/nogmoguy/status/1719747743193632896
Jim Risch,@SenatorRisch,2023-11-01T15:59:35.000Z,"Jim Risch
@SenatorRisch
·
Nov 1","The Biden admin released more than 900,000 illegal immigrants into the US while they await a court hearing that may be years away. It’s dangerous to let illegal immigrants roam the US freely before being fully vetted.

It’s well past time to reinstate the Remain in Mexico policy.",,75,13,35,[],https://twitter.com/SenatorRisch/status/1719746013521489973
Marc Thiessen,@marcthiessen,2023-11-01T15:34:15.000Z,"Marc Thiessen
@marcthiessen
·
Nov 1","WTH? 
@SenatorRisch
 and  
@SenatorCardin
 please put a hold on this US aid to Egypt until Egypt allows all Americans to cross.

https://nytimes.com/2023/09/14/us/politics/egypt-biden-military-aid.html…",❤,1,2,9,['https://pbs.twimg.com/profile_images/1368411954352713735/TWUq1jy__normal.jpg'],https://twitter.com/marcthiessen/status/1719739639349600267
Lance Reiber,@Larsdad45,2023-11-01T14:51:04.000Z,"Lance Reiber
@Larsdad45
·
Nov 1",".
@SenatorRisch
 @MikeCrapo
 Hopefully you are on board with this",‼ 🚨 🚨 ‼,,,,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg'],https://twitter.com/Larsdad45/status/1719728770012344548
@GodFirst7,@GodFirst7,2023-11-01T14:30:24.000Z,"@GodFirst7
@GodGodfirst7
·
Nov 1","Dear 
@SenatorWarnock
 
@SenOssoff
 @ossoff
frm GA:); & also Sentrs 
@MarshaBlackburn
 @SenTuberville
 @HawleyMO
 @Eric_Schmitt
 @SenTedCruz
 @SenatorRisch
 DO vote 4 the #Amendment below.",‼ 🚨 🚨 ‼,,1,1,"['https://pbs.twimg.com/media/F92vWKtW0AAx5l-?format=jpg&name=small', 'https://pbs.twimg.com/media/F92vak_XYAA--KC?format=jpg&name=small', 'https://pbs.twimg.com/media/F92vaxxW4AAA_bO?format=jpg&name=small', 'https://pbs.twimg.com/media/F92vd_GXkAEDxqn?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg']",https://twitter.com/GodGodfirst7/status/1719723570471788780
Giorgio Rinaldi,@Heb10_25,2023-11-01T12:41:30.000Z,"Giorgio Rinaldi
@Heb10_25
·
Nov 1","#ImNeutral. Are you going to sanction #Bolivia back to the stone age? 
@SenatorCardin
 @SenatorMenendez
 @JeanneShaheen
 @SenatorRisch
 @SenMarcoRubio
 @marcorubio
 @SenatorRomney
 @SenSchumer
 @RepMcCaul
 @RepGregoryMeeks
 @RepChrisSmith1
 @RepJoeWilson
 @SpeakerJohnson",,5,,,"['https://pbs.twimg.com/profile_images/1634002486616018944/krtm6Zft_normal.jpg', 'https://pbs.twimg.com/profile_images/796803089504333824/HmSHXDAB_bigger.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719447843793186816/pu/img/tX-2b7vte1NaMHjk.jpg']",https://twitter.com/Heb10_25/status/1719696163740258562
