UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bonnie Castillo,@NNUBonnie,2023-11-01T23:22:24.000Z,"Bonnie Castillo
@NNUBonnie
·
Nov 2","Today, I was invited to participate in a conversation about the impact of A.I. on the workforce hosted by Majority Leader 
@SenSchumer
, 
@SenatorHeinrich
, 
@SenatorRounds
, and 
@SenToddYoung
. Here's the perspective union nurses bring to the conversation.  (1/10)",🧵,1,16,28,[],https://twitter.com/NNUBonnie/status/1719857452014084563
Ramsey Touchberry,@ramsberry1,2023-11-01T22:30:10.000Z,"Ramsey Touchberry
@ramsberry1
·
Nov 2","Mike Johnson tells GOP senators he needs Ukraine w/border security to pass it

Reassured Rs, even those opposed to piecemeal strategy, he's navigating obstacles as best he can
@SenatorRounds
-""made it very clear he understands how critical Ukraine aid is""",,1,3,7,[],https://twitter.com/ramsberry1/status/1719844305693515849
Senator Mike Rounds,@SenatorRounds,2023-11-01T22:22:21.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 2",".
@SenJackyRosen
 and I received word that DOD is honoring our request and transferring two additional Iron Dome systems to Israel. This is an important step toward helping Israel defend their nation. 

More information:",,9,2,11,[],https://twitter.com/SenatorRounds/status/1719842341119266863
MMitchell,@mmitchell_ai,2023-11-01T22:00:24.000Z,"MMitchell
@mmitchell_ai
·
Nov 2","Today I had the honor of joining the Senate Insight Fora on High Impact AI, led by 
@SenSchumer
, 
@SenatorRounds
, 
@SenatorHeinrich
, and 
@SenToddYoung
. Was a really amazing panel--I'm so thankful I could join.
The statement I submitted to the Senate is here: https://m-mitchell.com/statements/SenateInsightForum-HighImpactAI.pdf…",,7,36,138,[],https://twitter.com/mmitchell_ai/status/1719836817451573535
Mom Skelton,@MomSkelton,2023-11-01T20:52:59.000Z,"Mom Skelton
@MomSkelton
·
Nov 2","Trump knew he lost 
but needed LIE to CASH IN

Where do all his & GOP death threats come in to play ? More donor cash or elimination of Americans, as their deadly Jan6 -where GOP Voters died, Police assaulted by GOP
@RepDustyJohnson
 @SenatorRounds
#BusinessDocumentsNotClassified",,,,,[],https://twitter.com/MomSkelton/status/1719819851315966013
PatientQoL Coalition,@PatientQoL,2023-11-01T20:06:41.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you 
@SenatorRounds
 for being a #PCHETA cosponsor! This bill will improve quality of life for patients living with serious illness and their families. 
@PatientQoL
 #HPM #HAPC",,,1,2,[],https://twitter.com/PatientQoL/status/1719808196708381089
TechNet,@TechNetUpdate,2023-11-01T20:04:32.000Z,"TechNet
@TechNetUpdate
·
Nov 2","Today, 
@SenSchumer
, 
@SenatorRounds
, 
@SenatorHeinrich
, and 
@SenToddYoung
 hosted an AI Insight Forum highlighting AI and the American workforce. Leaders from TechNet member companies 
@Accenture
, 
@Indeed
, & 
@Mastercard
 participated. A ",🧵,1,7,1,[],https://twitter.com/TechNetUpdate/status/1719807656091676926
Got halted 4 the Criminals,@teekay5150,2023-11-02T20:22:30.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenatorRounds
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,1,1,[],https://twitter.com/teekay5150/status/1720174566633361799
Columbo,@columbokah,2023-11-02T20:17:00.000Z,"Columbo
@columbokah
·
Nov 3","What do the 
@DNC
 @PeteRicketts
 @MittRomney
 @SenatorRounds
 have against transparency in our financial systems?  Don’t want the American people to see the invisible tax we have levied on the middle class? #AudittheFed #CARTEL 
@federalreserve",,1,,1,[],https://twitter.com/columbokah/status/1720173181351178317
Justin Machacek,@reeldealpro,2023-11-02T18:08:56.000Z,"Justin Machacek
@reeldealpro
·
Nov 3","The 'Audit the Fed' amendment by 
@RandPaul
  narrowly failed passage yesterday thanks to three key 
@GOP
 holdouts 
@MittRomney
 @PeteRicketts
 & 
@SenatorRounds
 
While the MSM ignores the root cause of #inflation  Victory News on 
@GoVictoryTV
 is paying attention!",,,,4,['https://pbs.twimg.com/ext_tw_video_thumb/1720134649534451712/pu/img/mu7r4myRX444TbwJ.jpg'],https://twitter.com/reeldealpro/status/1720140951534862512
Information Technology and Innovation Foundation,@ITIFdc,2023-11-02T17:47:30.000Z,"Information Technology and Innovation Foundation
@ITIFdc
·
Nov 3",".
@RobAtkinsonITIF
 spoke alongside 
@MichaelRStrain
, 
@patrickgaspard
, 
@hyams
, 
@mfraccaro
, & several more representatives from organized labor, business, & academia at 
@SenSchumer
, 
@SenToddYoung
 & 
@SenatorRounds
' #AI Insight Forum on the #workforce yesterday.",,,1,,[],https://twitter.com/ITIFdc/status/1720135557475393923
Senator Mike Rounds,@SenatorRounds,2023-11-02T16:34:22.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 3","In South Dakota, just outside of Lead, we have world-class scientists conducting groundbreaking research at 4,850 feet underground. Love seeing SURF continue to thrive after working on it as Governor and continuing work on it as a member of the Senate.",,5,2,12,[],https://twitter.com/SenatorRounds/status/1720117154765266995
Chris Hyams (he/him),@hyams,2023-11-03T22:27:57.000Z,"Chris Hyams (he/him)
@hyams
·
Nov 4","Thank you 
@SenSchumer
 @SenToddYoung
 @SenatorRounds
 @SenatorHeinrich
 for the invitation to share 
@Indeed
's perspective on the extraordinary promise and risks that AI poses for workers. It was an honor to participate in this vital conversation with this panel.

My statement:…
Show more",,7,8,48,[],https://twitter.com/hyams/status/1720568525729796155
Senator Mike Rounds,@SenatorRounds,2023-11-03T21:06:10.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 4","Today I had the opportunity to congratulate 176 of our newest American citizens at their naturalization ceremony in Fort Pierre. Proud of these folks for putting in the work required to get to this day. 

Welcome to the greatest nation in the world! ",,12,5,27,[],https://twitter.com/SenatorRounds/status/1720547942547759336
Information Technology and Innovation Foundation,@ITIFdc,2023-11-03T20:05:16.000Z,"Information Technology and Innovation Foundation
@ITIFdc
·
Nov 4",".
@RobAtkinsonITIF
 spoke alongside 
@MichaelRStrain
, 
@patrickgaspard
, 
@hyams
, 
@mfraccaro
, & several more representatives from organized labor, business, & academia at 
@SenSchumer
, 
@SenToddYoung
 & 
@SenatorRounds
' #AI Insight Forum. His takeaways:",,,1,2,[],https://twitter.com/ITIFdc/status/1720532615025873000
Got halted 4 the Criminals,@teekay5150,2023-11-03T13:05:51.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenatorRounds
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,1,3,2,[],https://twitter.com/teekay5150/status/1720427067882311731
Legiswipe,@legiswipe,2023-11-03T09:30:02.000Z,"Legiswipe
@legiswipe
·
Nov 3","""Native American Direct Loan Improvement Act of 2023""

Status: Committee on Banking, Housing, and Urban Affa...

https://congress.gov/bill/118th-congress/senate-bill/185/text…

Sponsor: 
@SenatorRounds",,,,,[],https://twitter.com/legiswipe/status/1720372755311251798
Marlise,@Marlisehome2,2023-11-04T22:17:19.000Z,"Marlise
@Marlisehome2
·
Nov 5","Pass these promotions 
@DanSullivan_AK
 @SenJoniErnst
 @SenatorRounds
 @MooreCapitoWV
 @SenToddYoung
 @SenateGOP
 @SenSchumer
 @MichaelBennet
 @SenatorShaheen
 !!!!

Tensions erupt within Senate GOP over Tuberville 
military holds",,,,,[],https://twitter.com/Marlisehome2/status/1720928237222601017
,@schmoopiemom,2023-11-04T20:42:06.000Z,"@schmoopiemom
·
Nov 5",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesHasNoValues",💙 🤍 ❤ 🍾 🥳,,1,1,[],https://twitter.com/schmoopiemom/status/1720904273268019317
RINO Free South Dakota,@RINOFreeSD,2023-11-04T20:32:47.000Z,"RINO Free South Dakota
@RINOFreeSD
·
Nov 5","This is the result of the Federal Reserve fiat system that's devaluing the dollar because politicians like 
@RepDustyJohnson
, 
@SenJohnThune
 and 
@SenatorRounds
 love to SPEND BORROW SPEND. They are all RINOs.  Just look at their Liberty Score! #SouthDakota voters must replace them.",🔊 🤨,,,,[],https://twitter.com/RINOFreeSD/status/1720901930996629627
Information Technology and Innovation Foundation,@ITIFdc,2023-11-04T17:00:38.000Z,"Information Technology and Innovation Foundation
@ITIFdc
·
Nov 5",".
@RobAtkinsonITIF
 strongly agreed with at least two broad themes that came up during 
@SenSchumer
, 
@SenToddYoung
 & 
@SenatorRounds
' AI Insights Forum and disagreed with many other points. Here are his top 10.",,,,2,[],https://twitter.com/ITIFdc/status/1720848539733913833
Muddy Waters,@UAPGeologist,2023-11-04T16:43:48.000Z,"Muddy Waters
@UAPGeologist
·
Nov 5","Why are we not bringing up DoE more often? We have a dog and pony show around DoD, but there is no discussion about DoE. Pass the UAP Disclosure Act of 2023 and quit wasting money with AARO looking for answers we already have.
@SenSchumer
 @SenatorRounds
 @SenMarcoRubio
 @mattgaetz
…
Show more",,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1720840577783091200/pu/img/0q8ijp4EOtOO7kZJ.jpg'],https://twitter.com/UAPGeologist/status/1720844305332392163
SDindy47,@SDindy47,2023-11-05T22:16:53.000Z,"SDindy47
@SDindy47
·
Nov 6","This is exactly why we must get rid of you three sewer rats.
@SenJohnThune
 
@SenatorRounds
 
@RepDustyJohnson",,,,,[],https://twitter.com/SDindy47/status/1721290513607778785
Information Technology and Innovation Foundation,@ITIFdc,2023-11-05T19:15:38.000Z,"Information Technology and Innovation Foundation
@ITIFdc
·
Nov 6",".
@RobAtkinsonITIF
, 
@MichaelRStrain
, 
@patrickgaspard
, 
@hyams
, 
@mfraccaro
, & several more representatives from organized labor, business, & academia spoke at 
@SenSchumer
, 
@SenToddYoung
 & 
@SenatorRounds
' #AI Insight Forum earlier this week. Rob's takeaways:",,,3,3,[],https://twitter.com/ITIFdc/status/1721244903508709384
Darth_Chas,@Darth_Chas,2023-11-05T18:03:13.000Z,"Darth_Chas
@Darth_Chas
·
Nov 6","Conservatives want these Senators out of office anyway. #Bye
@lisamurkowski
@LeaderMcConnell
@LindseyGrahamSC
@SenatorRounds
#Rino #AbortionIsMurder",,,1,,[],https://twitter.com/Darth_Chas/status/1721226675935924336
,@schmoopiemom,2023-11-05T16:47:16.000Z,"@schmoopiemom
·
Nov 6",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesKills",💙 🤍 ❤ 🍾 🥳 🚨,,1,1,[],https://twitter.com/schmoopiemom/status/1721207562928853133
,@schmoopiemom,2023-11-05T16:10:29.000Z,"@schmoopiemom
·
Nov 6",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesHasNoValues",💙 🤍 ❤ 🍾 🥳,,1,2,"['https://pbs.twimg.com/profile_images/1644381876465938433/7TiSgwTB_bigger.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1721176389263454208/pu/img/aIIGzBu1XzN4SYss.jpg']",https://twitter.com/schmoopiemom/status/1721198308356411633
Bob D,@BobDTweeting,2023-11-06T21:15:08.000Z,"Bob D
@BobDTweeting
·
Nov 7","WAY TO GO 
@SenatorRounds
!!  Takes A LOT of work and courage to write letters!  Give them heck!  NOW GET TO WORK AND ACTUALLY DO SOMETHING for the #Conservaitve #SouthDakota voters.  We need to chase #RINOs like you out of office! Action, NOT sternly worded letters is what we need",,,,,[],https://twitter.com/BobDTweeting/status/1721637361719906610
Senator Mike Rounds,@SenatorRounds,2023-11-06T21:01:26.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 7","I led the South Dakota and North Dakota congressional delegations in sending a letter to the IHS urging them to expand access to outside health care services in both states. 

More information: https://rounds.senate.gov/newsroom/press-releases/rounds-leads-letter-urging-ihs-to-improve-accessibility-to-health-care-services…",,8,2,9,[],https://twitter.com/SenatorRounds/status/1721633915671052432
Information Technology and Innovation Foundation,@ITIFdc,2023-11-06T15:20:57.000Z,"Information Technology and Innovation Foundation
@ITIFdc
·
Nov 6",".
@RobAtkinsonITIF
 strongly agreed with at least two broad themes that came up during 
@SenSchumer
, 
@SenToddYoung
 & 
@SenatorRounds
' AI Insights Forum and disagreed with many other points. Here are his top 10.",,,3,3,[],https://twitter.com/ITIFdc/status/1721548228426907810
Got halted 4 the Criminals,@teekay5150,2023-11-06T10:55:17.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 6",".
@SenatorRounds
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1721481371040817552
,@schmoopiemom,2023-11-06T01:17:13.000Z,"@schmoopiemom
·
Nov 6",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesHasNoValues",💙 🤍 ❤ 🍾 🥳,,,,[],https://twitter.com/schmoopiemom/status/1721335896291565668
Senator Mike Rounds,@SenatorRounds,2023-11-07T23:13:11.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 8",Today marks one month since Hamas' initial terrorist attacks in Israel. It’s vital that the United States supports Israel as they respond to this senseless violence.,,5,6,17,[],https://twitter.com/SenatorRounds/status/1722029460294111495
,@schmoopiemom,2023-11-07T19:11:12.000Z,"@schmoopiemom
·
Nov 8",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesKills",💙 🤍 ❤ 🍾 🥳,,,,[],https://twitter.com/schmoopiemom/status/1721968562988859460
Brad Snaza,@SnazaB43,2023-11-07T13:17:19.000Z,"Brad Snaza
@SnazaB43
·
Nov 7","#Finrafraud 
@SenatorRounds
 @SenJohnThune",,,,,[],https://twitter.com/SnazaB43/status/1721879503083892842
Got halted 4 the Criminals,@teekay5150,2023-11-07T12:01:58.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 7",".
@SenatorRounds
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1721860543944794317
Sen. Jeanne Shaheen,@SenatorShaheen,2023-11-08T23:32:00.000Z,"Sen. Jeanne Shaheen
@SenatorShaheen
·
Nov 9","It’s critical we prioritize the health and safety of our military communities by addressing PFAS contamination.

I led a bipartisan letter with 
@SenatorRounds
 urging 
@DeptofDefense
 to provide the funding necessary to support testing and remediation efforts.",,24,1,10,[],https://twitter.com/SenatorShaheen/status/1722396581255885073
Information Technology and Innovation Foundation,@ITIFdc,2023-11-08T20:28:43.000Z,"Information Technology and Innovation Foundation
@ITIFdc
·
Nov 9",".
@castrotech
 spoke during today’s Senate #AI Insight Forum on #privacy & liability, led by 
@SenSchumer
, 
@SenToddYoung
, 
@SenatorRounds
 & 
@SenatorHeinrich
. Read his written statement: https://itif.org/publications/2023/11/08/statement-to-us-senate-ai-insight-forum-ai-privacy-liability/…",,2,3,9,[],https://twitter.com/ITIFdc/status/1722350458801438893
Adobe Public Policy,@AdobePolicy,2023-11-08T20:01:01.000Z,"Adobe Public Policy
@AdobePolicy
·
Nov 9","Thank you to 
@SenatorSchumer
 @SenToddYoung
, 
@SenatorHeinrich
  @SenatorRounds
 for the opportunity for the 
@ContentAuth
 to join today’s AI Insights Forum on Elections and Democracy. Content Credentials are crucial for restoring trust in digital content for the #2024elections",,,3,10,['https://pbs.twimg.com/profile_images/1266036708295864320/mpGrRK6a_bigger.png'],https://twitter.com/AdobePolicy/status/1722343488510161232
TechNet,@TechNetUpdate,2023-11-08T14:46:08.000Z,"TechNet
@TechNetUpdate
·
Nov 8","AI should not be used to deceive voters and misrepresent candidates. Read our letter to 
@SenSchumer
, 
@SenatorRounds
, 
@SenatorHeinrich
, and 
@SenToddYoung
 in advance of today's AI Insight Forum on AI and elections: https://bit.ly/3MAUWQV",,1,1,1,[],https://twitter.com/TechNetUpdate/status/1722264243402371512
Fish,@ItsFish01,2023-11-08T12:56:06.000Z,"Fish
@ItsFish01
·
Nov 8","#AmharaUnderAttack
 
@hrw
 @NeaminZeleke
 @SenatorRounds
 @blkagendareport
 @TheGrayzoneNews
 @Independent
 @unicefchief
 @jeffpropulsion
 @IS_HumanRights
 @UNHumanRights
 @AP
 @MikeHammerUSA
 @POTUS
 @StateDept",,,2,,[],https://twitter.com/ItsFish01/status/1722236554406736183
,@schmoopiemom,2023-11-09T23:05:07.000Z,"@schmoopiemom
·
Nov 10",".
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesHasNoValues",💙 🤍 ❤ 🍾 🥳,,2,3,[],https://twitter.com/schmoopiemom/status/1722752205055197500
,@schmoopiemom,2023-11-09T23:04:25.000Z,"@schmoopiemom
·
Nov 10","Woooo hooooo!!

.
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesHasNoValues",💙 🤍 ❤ 🍾 🥳,,1,1,[],https://twitter.com/schmoopiemom/status/1722752026885439630
Michael Petricone #CES2024,@mpetricone,2023-11-09T21:36:41.000Z,"Michael Petricone #CES2024
@mpetricone
·
Nov 10","So impressed by the commitment of 
@SenSchumer
, 
@SenatorRounds
, 
@SenToddYoung
, 
@SenatorHeinrich
, and their colleagues to invest substantial time and engage informally with AI experts. This thoughtful and deliberate policymaking will be the key to  AI leadership.",,,,4,[],https://twitter.com/mpetricone/status/1722729948383732184
SDindy47,@SDindy47,2023-11-09T21:29:34.000Z,"SDindy47
@SDindy47
·
Nov 10","Your politics in a nutshell. 
@SenJohnThune
 
@SenatorRounds
 
@RepDustyJohnson",,,,,[],https://twitter.com/SDindy47/status/1722728158065987987
Senator Mike Rounds,@SenatorRounds,2023-11-09T20:14:15.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 10",Butte County Sheriff Fred Lamphere was in the office this week with the Federation for American Immigration Reform. These folks understand the importance of solid border security measures to protect our nation. Grateful for their work on this issue.,,7,1,6,[],https://twitter.com/SenatorRounds/status/1722709205230969037
Senator Mike Rounds,@SenatorRounds,2023-11-10T19:44:06.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 11","The B-21 Raider stealth bomber took its first test flight this morning. A badass weapon of war and peace!

The first two squadrons of this next-generation bomber will call South Dakota and Ellsworth Air Force Base home.",,13,9,54,[],https://twitter.com/SenatorRounds/status/1723064005323891069
Legal Priorities Project,@legalpriority,2023-11-10T17:39:58.000Z,"Legal Priorities Project
@legalpriority
·
Nov 11","On Nov 8, LPP's Mackenzie Arnold spoke before the US Senate at the sixth bipartisan AI Insight Forum. Thank you 
@SenSchumer
 @SenatorRounds
 @SenatorHeinrich
 and 
@SenToddYoung
 for the opportunity to share the LPP’s perspective on liability. Our testimony: http://legalpriorities.org/research/ai-insight-forum…",,,10,37,[],https://twitter.com/legalpriority/status/1723032764717392048
Senator Mike Rounds,@SenatorRounds,2023-11-10T15:54:49.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 10","The United States Marine Corps was established on this date in 1775. Thank you to all of the dedicated Marines who serve and have served over the last 248 years. 
@USMC",,3,3,12,[],https://twitter.com/SenatorRounds/status/1723006302211686598
Deb Fickett,@dfickett,2023-11-10T13:46:30.000Z,"Deb Fickett
@dfickett
·
Nov 10","What do you guys know about this? 
@SenJohnThune
 @SenatorRounds",,,,,[],https://twitter.com/dfickett/status/1722974012328870049
Got halted 4 the Criminals,@teekay5150,2023-11-10T11:59:04.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 10",".
@SenatorRounds
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,1,2,1,[],https://twitter.com/teekay5150/status/1722946977392951476
,@schmoopiemom,2023-11-11T18:23:54.000Z,"@schmoopiemom
·
Nov 12","Wtf?!?!?!

.
@gop
.
@SenJohnThune
 .
@SenatorRounds
 .
@RepDustyJohnson
 .
@govkristinoem
 

#PartyOfFamilyValuesLies
#PartyOfFamilyValuesCheats
#PartyOfFamilyValuesSteals
#PartyOfFamilyValuesKills",💙 🤍 ❤ 🍾 🥳,,,,[],https://twitter.com/schmoopiemom/status/1723406210848706648
Senator Mike Rounds,@SenatorRounds,2023-11-11T17:09:50.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 12","Veterans Day is an opportunity to honor, remember and recognize those who have defended our nation. Today and every day, we're grateful to our veterans and their families for the sacrifices they've made to protect our freedoms.",,23,2,7,['https://pbs.twimg.com/amplify_video_thumb/1723386073605197824/img/yxhQ2BPjt3dTyUcc.jpg'],https://twitter.com/SenatorRounds/status/1723387570405388443
MikeSnow,@MikeSno30579254,2023-11-11T14:48:12.000Z,"MikeSnow
@MikeSno30579254
·
Nov 11","On #VeteransDay Every American Needs to READ this. (Hard to do in the cellphone lemming culture). And WHERE are our Milquetoast Senators? Tag Yours. 
@SenJohnThune
 @SenatorRounds",,,1,,['https://pbs.twimg.com/ext_tw_video_thumb/1723119308148985856/pu/img/dh6-dErLrkfrISg6.jpg'],https://twitter.com/MikeSno30579254/status/1723351929089143115
Senator Mike Rounds,@SenatorRounds,2023-11-11T13:53:29.000Z,"Senator Mike Rounds
@SenatorRounds
·
Nov 11","On #VeteransDay, we honor those who have dedicated their lives to the defense of America and our freedoms. 

We owe them a debt we can never repay.",,9,2,12,[],https://twitter.com/SenatorRounds/status/1723338156857028945
Legiswipe,@legiswipe,2023-11-11T09:00:19.000Z,"Legiswipe
@legiswipe
·
Nov 11","""A bill to designate the facility of the United States Postal Service located at 410 Dakota Avenue South in Huron, South Dakota, ...""

Status: Read twice and referred to the Committee on H...

https://congress.gov/bill/118th-congress/senate-bill/3267/text…

Sponsor: 
@SenatorRounds",,,,,[],https://twitter.com/legiswipe/status/1723264378152042996
"PJB “We fight for our freedom, for our children”",@PJBottoms4,2023-11-12T21:13:58.000Z,"PJB “We fight for our freedom, for our children”
@PJBottoms4
·
Nov 13","I'm sad to report 
@RepThomasMassie
, I see that neither of my South Dakota senators 
@SenJohnThune
 nor 
@SenatorRounds
 are cosponsors of the PRIME Act. That's disappointing. They should be. #PRIMEAct",,,,,[],https://twitter.com/PJBottoms4/status/1723811394989007010
