UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
@montenegrin (tenterica),@montenegrin (tenterica),2023-11-01T21:46:49.000Z,"@montenegrin (tenterica)
@dondojovo
·
Nov 2","Don't worry 
@SenatorShaheen
 they are already sharing NATO data with Putin. Putin's people have been at the head of the parliamentary security committee for a long time. You just closed your eyes because there was no war in Ukraine.",,3,4,36,['https://pbs.twimg.com/card_img/1729965585809756160/f9jJZZ8h?format=jpg&name=900x900'],https://twitter.com/dondojovo/status/1719833397164487146
Senate Small Business & Entrepreneurship Committee,@SenateSmallBiz,2023-11-01T21:35:58.000Z,"Senate Small Business & Entrepreneurship Committee
@SenateSmallBiz
·
Nov 2","Chair 
@SenatorShaheen
 today convened a committee hearing on the importance of the outdoor recreation economy, the key role of small businesses in this industry and the challenges they face.

https://sbc.senate.gov/public/index.cfm/pressreleases?id=D6D05194-5D94-4F51-B894-4DEE5BA09C0C…",🔗,,,3,['https://pbs.twimg.com/media/F94MOGGXUAASIji?format=png&name=900x900'],https://twitter.com/SenateSmallBiz/status/1719830664940298544
LWCF Coalition,@LWCFCoalition,2023-11-01T21:32:21.000Z,"LWCF Coalition
@LWCFCoalition
·
Nov 2","Thank you 
@SenatorCantwell
 @SenatorHick
 @SenatorShaheen
 @SenateSmallBiz
 for highlighting #LWCF funded conservation as key to supporting the outdoor rec economy & small businesses across the nation!",,,,,['https://pbs.twimg.com/profile_images/1555617226933297155/X_o94UoW_normal.jpg'],https://twitter.com/LWCFCoalition/status/1719829756143648855
Darlene Gildersleeve,@DGildersleeve88,2023-11-01T21:25:29.000Z,"Darlene Gildersleeve
@DGildersleeve88
·
Nov 2","I stand with 
@PlzSolveCFS
 in supporting the #LongCovidSupportAct Act. 
@SenatorShaheen
 @Senatorhassan
 will you join me? People with infection-associated chronic illnesses are counting on you! #StopTheLongHaul #MECFS #LongCOVID",,1,,,['https://pbs.twimg.com/card_img/1730144256080203776/eZbA02ON?format=jpg&name=900x900'],https://twitter.com/DGildersleeve88/status/1719828026953773266
Sen. Jeanne Shaheen,@SenatorShaheen,2023-11-01T20:42:53.000Z,"Sen. Jeanne Shaheen
@SenatorShaheen
·
Nov 2","Today’s report emphasizes our need to immediately lower skyrocketing costs to ensure insulin is never out of reach for those who need it. With spending on insulin tripling in the past 10 years, it’s time Congress passes my bipartisan INSULIN Act with 
@SenatorCollins
.",📊,6,6,12,"['https://pbs.twimg.com/profile_images/1365358667500056579/sCVFN7TI_normal.png', 'https://pbs.twimg.com/media/F93zEcBWMAAe9_e?format=png&name=small']",https://twitter.com/SenatorShaheen/status/1719817308296638637
Halifax The Forum,@HFXforum,2023-11-01T20:33:11.000Z,"Halifax The Forum
@HFXforum
·
Nov 2","HFX is honored to welcome back the newly announced congressional delegation to #HFX2023. We look forward to greeting 
@SenatorShaheen
 and 
@SenatorRisch
 along with all of their congressional colleagues at the 15th anniversary Forum in just 16 days. Click the link to read Senator…
Show more",,,2,4,[],https://twitter.com/HFXforum/status/1719814867798917537
美国政要直译推,@zhiyitw33,2023-11-01T19:53:21.000Z,"美国政要直译推
@zhiyitw33
·
Nov 2","参议员汤姆·科顿：
#中国共产党 正在竭尽全力窃取我们的军事机密，包括将目标对准退伍军人。

珍妮·沙欣参议员
@SenatorShaheen
、马克·凯利参议员
@SenMarkKelly
 和我(写信)敦促美国防部 
@DeptofDefense
 与国会合作，以确保这种情况不会发生。

【附三位参议员写给国防部长劳埃德·奥斯汀的信函】",,,3,8,"['https://pbs.twimg.com/profile_images/568884049058357248/M-VeVL9u_normal.jpeg', 'https://pbs.twimg.com/media/F93WNhVXcAAtAyx?format=jpg&name=900x900']",https://twitter.com/zhiyitw33/status/1719804840728002745
Ultra MAGA Girl,@ChristineMalo2,2023-11-02T23:52:29.000Z,"Ultra MAGA Girl
@ChristineMalo2
·
Nov 3","This is what the people want. Do the right thing. But we know you won’t. 
@SenatorShaheen
 @SenatorHassan",,,,,[],https://twitter.com/ChristineMalo2/status/1720227411789271495
Legiswipe,@legiswipe,2023-11-02T22:30:10.000Z,"Legiswipe
@legiswipe
·
Nov 3","""Snow Survey Northeast Expansion Act of 2023""

Status: Committee on Small Business and Entrepreneurs...

https://congress.gov/bill/118th-congress/senate-bill/2611/text…

Sponsor: 
@SenatorShaheen",,,,,[],https://twitter.com/legiswipe/status/1720206693642944924
Sen. Jeanne Shaheen,@SenatorShaheen,2023-11-02T21:30:30.000Z,"Sen. Jeanne Shaheen
@SenatorShaheen
·
Nov 3","With November being National Entrepreneurship Month, it’s a good time to remember how our entrepreneurs and small businesses play a major role in creating economic opportunities nationwide.

As the Chair of 
@SenateSmallBiz
, I’ll continue working to support our country’s…
Show more",,14,4,5,[],https://twitter.com/SenatorShaheen/status/1720191679985074553
