UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
@AZBigCountry,@AZBigCountry,2023-11-01T23:51:47.000Z,"@AZBigCountry
@azbigcountry
·
Nov 2","Thanks 
@RepRubenGallego
 & 
@SenatorSinema
 for doing NOTHING for affordable Arizona housing.  #RottenRuben bought a new $1.5 million DC house.  
@KariLake
 will work for the middle class: she isn’t a career politician like Rubes & Krysten. #ArizonaFirst #BorderCrisis",,2,1,,"['https://pbs.twimg.com/profile_images/1207655488168574976/N0sQdj76_normal.png', 'https://pbs.twimg.com/media/F9VMuaKXsAAn1WH?format=png&name=900x900']",https://twitter.com/azbigcountry/status/1719864845548278210
Keke,@NoLiarInChief,2023-11-01T23:19:18.000Z,"Keke
@NoLiarInChief
·
Nov 2","That nasty little 
@SenatorSinema
 sashaying around the Senate in Sara Huckabee's castoffs trying to be relevant and cute; voting against America & with Sen. Tuberculosis.  BTW did Manchin park his yacht on their pier to manacle America's military as well?
Tastelessly Treasonous.",,,,1,[],https://twitter.com/NoLiarInChief/status/1719856669583163890
Patricia G. Barnes,@PatriciaGBarnes,2023-11-01T21:32:27.000Z,"Patricia G. Barnes
@PatriciaGBarnes
·
Nov 2","I don't want my tax money being used to support this senseless and inhumane carnage. 
@SenMarkKelly
, 
@SenatorSinema
, 
@POTUS
 
'A curse to be a parent in Gaza': More than 3,600 Palestinian children killed in just 3 weeks of war",,,,,['https://pbs.twimg.com/card_img/1729974654713102336/yT3rr2zF?format=jpg&name=900x900'],https://twitter.com/PatriciaGBarnes/status/1719829782194717067
꧁ 𝑀𝑎𝑟𝑦𝑊𝑒𝑠𝑡 ꧂,@ContrarilyMary,2023-11-01T21:22:09.000Z,"꧁ 𝑀𝑎𝑟𝑦𝑊𝑒𝑠𝑡 ꧂
@ContrarilyMary
·
Nov 2","What are you doing about this?? 
@SenatorSinema
 @SenMarkKelly
 @RepCiscomani",,,,,['https://pbs.twimg.com/profile_images/1525490459539382272/WBJVIWpm_normal.jpg'],https://twitter.com/ContrarilyMary/status/1719827188764299722
Debra Moreland,@DebraMArizona,2023-11-01T21:13:23.000Z,"Debra Moreland
@DebraMArizona
·
Nov 2","WTF 
@SenatorSinema
 ,have you lost your damn mind. You are an embarrassment to Az.",🗽 🌊 🟧,,,,['https://pbs.twimg.com/profile_images/562692595793821697/JROxAIBS_normal.jpeg'],https://twitter.com/DebraMArizona/status/1719824981780287577
PatientQoL Coalition,@PatientQoL,2023-11-01T19:10:17.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you 
@SenatorSinema
 for being a #PCHETA cosponsor! This bill will improve quality of life for patients living with serious illness and their families. 
@PatientQoL
 #HPM #HAPC",,,,,['https://pbs.twimg.com/media/F93vhT0awAAKb9N?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719794003397492924
"Hey, Elmo. It will ALWAYS be TW1TTER.",@IAmSylviasDaddy,2023-11-01T18:11:33.000Z,"Hey, Elmo. It will ALWAYS be TW1TTER.
@IAmSylviasDaddy
·
Nov 2","Hey #SenatorShortcake 
@SenatorSinema
 @kyrstensinema
 

I hope all of that #KochNetwork cash and GOP #darkmoney has been worth it.

At least you’ve publicly proven yourself to be the self-serving PoS you always have been.

Kthxbai",,,,,['https://pbs.twimg.com/profile_images/562692595793821697/JROxAIBS_normal.jpeg'],https://twitter.com/IAmSylviasDaddy/status/1719779221550043268
Dawn,@Alba_Dawn,2023-11-01T17:39:42.000Z,"Dawn
@Alba_Dawn
·
Nov 2","There really should be the ability to hold recall elections. That 
@SenatorSinema
 is so despised by her constituents that both challengers beat her is really revealing. She is a fraud and should be audited.",,,,,['https://pbs.twimg.com/profile_images/961462238732275712/omWV1cZs_normal.jpg'],https://twitter.com/Alba_Dawn/status/1719771206767759445
Kyrsten Sinema,@SenatorSinema,2023-11-01T17:25:00.000Z,"Kyrsten Sinema
@SenatorSinema
·
Nov 2","Honored to participate in my first Appropriations Committee hearing, where we discussed the need to support Israel, beat Putin, and secure AZ’s border. All 3 are essential to our national security – and I’m focused on getting it done in a bipartisan way.",,25,11,33,['https://pbs.twimg.com/card_img/1728492230590238720/ruTeMchl?format=jpg&name=small'],https://twitter.com/SenatorSinema/status/1719767507626758594
Magnolia Pharmacy,@magnoliarx,2023-11-01T17:07:04.000Z,"Magnolia Pharmacy
@magnoliarx
·
Nov 2","Lowering drug prices starts with #PBMs. There’s many methods, but one of the most important is #de-linking, which PBMs use to set fees based on what drug would turn the highest profit.

Hoping that 
@SenatorSinema
 and 
@SenMarkKelly
 will sign... problem:

https://tester.senate.gov/newsroom/press-releases/tester-marshall-kaine-braun-introduce-bill-to-lower-drug-costs-hold-massive-pbm-corporations-accountable/…",,,,,['https://pbs.twimg.com/media/F93TVNVWsAAud90?format=jpg&name=900x900'],https://twitter.com/magnoliarx/status/1719762996807811085
Kristen's Kulture,@paz4u,2023-11-01T17:04:43.000Z,"Kristen's Kulture
@paz4u
·
Nov 2","#RubenGallego leads Republican poll in #Arizona Senate race ahead of incumbent 
@SenatorSinema
 who you may recall decided she was not a #Democrat any more & MAGA Kari Lake Ruben will be on my slate this year #Arizona needs his representation in the Senate",,2,15,28,['https://pbs.twimg.com/card_img/1727800202478694401/XGmNIlHW?format=jpg&name=900x900'],https://twitter.com/paz4u/status/1719762403750232404
Kim Brittain,@Billybeeswife,2023-11-01T17:01:17.000Z,"Kim Brittain
@Billybeeswife
·
Nov 2","Dear 
@HouseDemocrats
 and 
@HouseGOP
 .....
@SpeakerJohnson
 @andybiggs4az
 @SenatorSinema
 @CaptMarkKelly
 @WSJ
 @elonmusk
 @BillGates
 @JeffBezos
 @POTUS
 
The time is now to codify the labeling of #AI.  Just like the grocery store, #consumers of AI deserve to know if they are interacting…
Show more",,,,1,[],https://twitter.com/Billybeeswife/status/1719761541485170891
