UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
LittleShell (She/Her/Kwe),@LittleShellKwe,2023-11-01T22:01:49.000Z,"LittleShell (She/Her/Kwe)
@LittleShellKwe
?·
Nov 2","There was the one time a friend of mine who is a tribal member wrote 
@SenatorTester
 seeking help. The response: cana??t help! We have a a??relationshipa?? With the council. 
#TestersLastStand 
Read the complaint- it talks about people not qualified for enrollment on council.",,,2,5,"['https://pbs.twimg.com/media/F94WyoJbYAATSRa?format=jpg&name=small', 'https://pbs.twimg.com/media/F94WyoJaQAAOw7p?format=jpg&name=small', 'https://pbs.twimg.com/media/F94WyoFa0AAb3Bw?format=jpg&name=small', 'https://pbs.twimg.com/media/F94WyoFaMAAW4SC?format=jpg&name=small']",https://twitter.com/LittleShellKwe/status/1719837173422166197
Senate Veterans' Affairs Committee Dems,@SVACDems,2023-11-01T19:42:30.000Z,"Senate Veterans' Affairs Committee Dems
@SVACDems
?·
Nov 2","TUNE IN: Chairman 
@SenatorTester
 is leading a hearing on research at VA.

Watch live HEREhttp://veterans.senate.gov",e??? e???,7,6,12,"['https://pbs.twimg.com/profile_images/1509568012587876355/ot4y--GF_normal.jpg', 'https://pbs.twimg.com/media/F9yRGCoWAAAbLyE?format=jpg&name=900x900']",https://twitter.com/SVACDems/status/1719802113411121527
Billy Mc,@BillyMcWillia12,2023-11-01T19:21:40.000Z,"Billy Mc
@BillyMcWillia12
?·
Nov 2","Thata??s not what the Generals say .
@SteveDaines
   Montana US Senator endangering our national security during a time of international crisis.  #MtPol  #MtSen #MtNews Montana Vets need a leader like .
@SenatorTester
 who fights for them.",,7,35,74,"['https://pbs.twimg.com/media/F93yItOaEAAOZmI?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1643970035642400776/1jgoAD0B_normal.jpg']",https://twitter.com/BillyMcWillia12/status/1719796868098736153
Senator Jon Tester,@SenatorTester,2023-11-01T18:11:02.000Z,"Senator Jon Tester
@SenatorTester
?·
Nov 2","Today marks the start of Veterans & Military Families Month, where we honor servicemembers, vets, and military families for their service to our nation. But words arena??t enougha??wea??ve got to ensure policies coming out of DC do right by the sacrifices theya??ve made for our freedoms.",,5,11,30,[],https://twitter.com/SenatorTester/status/1719779094122954810
LittleShell (She/Her/Kwe),@LittleShellKwe,2023-11-01T17:59:32.000Z,"LittleShell (She/Her/Kwe)
@LittleShellKwe
?·
Nov 2","Do you think Native representation in the senate is important? I do. I heard a Native man is running against 
@SenatorTester
 ! Register to vote! Leta??s let Indigenous people take up space on Indigenous land! 

#TestersLastStand",,5,15,38,['https://pbs.twimg.com/media/F93fVsPbwAAmegT?format=jpg&name=900x900'],https://twitter.com/LittleShellKwe/status/1719776201240101007
Levin Center for Oversight and Democracy,@Levin_Center,2023-11-01T15:30:00.000Z,"Levin Center for Oversight and Democracy
@Levin_Center
?·
Nov 1","Today at 3:30pm ET, the Senate Veterans' Affairs Committee will hold an #oversight hearing entitled, ""Foundation of Care: Examining Research at the Department of Veterans Affairs."" 
@SenatorTester
 @JerryMoran",,,,,['https://pbs.twimg.com/card_img/1729568384881168384/-ekMt_dk?format=jpg&name=900x900'],https://twitter.com/Levin_Center/status/1719738569160360269
Democracy Digest,@demdigest,2023-11-01T14:41:34.000Z,"Democracy Digest
@demdigest
?·
Nov 1","""It is critical that we provide our ally [#Israel] with the necessary tools to defeat #Hamasa?| because we cannot allow terror and enemies of #democracy to win,a?? said 
@SenatorTester
.",,,,,[],https://twitter.com/demdigest/status/1719726381339115562
Senator Jon Tester,@SenatorTester,2023-11-01T14:41:13.000Z,"Senator Jon Tester
@SenatorTester
?·
Nov 1","DC may not have seen snow yet like Montana, but the new fall weather here goes great with some coffee and donuts. No matter the temperature, we've got Montana Coffee on Wednesdays in Washington!",,11,14,84,"['https://pbs.twimg.com/media/F92x1__XIAE4-q0?format=jpg&name=small', 'https://pbs.twimg.com/media/F92x2VHWEAAnQDk?format=jpg&name=small', 'https://pbs.twimg.com/media/F92x29SWMAAdjXx?format=jpg&name=small', 'https://pbs.twimg.com/media/F92x3gIXcAACrDg?format=jpg&name=small']",https://twitter.com/SenatorTester/status/1719726291610386532
Jayson O'Neill,@JDogMT,2023-11-01T13:39:03.000Z,"Jayson O'Neill
@JDogMT
?·
Nov 1","""No action is necessary from farmers or ranchers to measure their emissions under the proposed SEC rule."" #Transparency #RiskManagement CC: 
@SECGov
 @SenatorTester",,,3,5,[],https://twitter.com/JDogMT/status/1719710648198635879
Gunslingermc,@gunslingermc,2023-11-01T13:00:47.000Z,"Gunslingermc
@gunslingermc
?·
Nov 1","You see what you're silence is allowing 
@SecVetAffairs
 to get away with? 
@HouseVetAffairs
 @VetAffairsOIG
 @VAOAWP
 @USGAO
 @TJCommission
 @CivilRights
 @ACLU
 @SenatorTester
 @RepBost",,,2,2,"['https://pbs.twimg.com/profile_images/1713018129092059137/lIAvD5DM_normal.jpg', 'https://pbs.twimg.com/media/F9xWm1AWcAAuV8e?format=jpg&name=900x900']",https://twitter.com/gunslingermc/status/1719701016277295286
