UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lighthouse News Zimbabwe,@LHNewsZimbabwe,2023-11-01T22:37:06.000Z,"Lighthouse News Zimbabwe
@LHNewsZimbabwe
·
Nov 2","Attention: House & Senate Foreign Committees
@JohnJamesMI
 @CoryBooker
 @SenatorTimScott
 @RepSaraJacobs
 
The situation in Zimbabwe is deteriorating. The 
@zanupf_patriots
Gov't & 
@edmnangagwa
 have unleashed terror on innocent  citizens. The world must not watch in silence as…
Show more",,1,41,52,[],https://twitter.com/LHNewsZimbabwe/status/1719846052767887869
Senator Pete Ricketts,@SenatorRicketts,2023-11-01T21:00:00.000Z,"Senator Pete Ricketts
@SenatorRicketts
·
Nov 2","In 2018, President Trump ended American aid to UNRWA because they act as “effectively a branch of Hamas.” President Biden reversed the decision.
 
It’s ridiculous and should stop. My bill with 
@SenatorTimScott
 would end American taxpayer funding that enables Hamas’ barbarism.",,14,4,16,['https://pbs.twimg.com/media/F94FvN8WwAADqbJ.jpg'],https://twitter.com/SenatorRicketts/status/1719821616618541412
Nostradumbass,@CharlesBurke49,2023-11-01T20:33:18.000Z,"Nostradumbass
@CharlesBurke49
·
Nov 2","98% of the GOP will not support Timmy.
@SenatorTimScott
 cannot win the VP slot and should take his butt back to SC.  He's been missing in the Senate and is AWOL.",,1,,,[],https://twitter.com/CharlesBurke49/status/1719814894319788100
Fight Corporate Monopolies,@fightmonopolies,2023-11-01T20:33:00.000Z,"Fight Corporate Monopolies
@fightmonopolies
·
Nov 2","From January to July last year, payday lenders donated over $1.2 million to lawmakers.

This article details how 
@RepAndyBarr
, Rep. 
@PatrickMcHenry
, 
@RepJoshG
, and 
@SenatorTimScott
 took the industry's dirty money and are doing their bidding in D.C.",,,1,1,[],https://twitter.com/fightmonopolies/status/1719814819652505820
Congressman Zach Nunn,@ZachNunn,2023-11-01T20:30:00.000Z,"Congressman Zach Nunn
@ZachNunn
·
Nov 2","Congress must take action to hold Iran accountable for their funding of barbaric acts of terror around the globe, and most recently in Israel. I’m leading the bipartisan Revoke Iranian Funding Act with 
@RepBlaine
 and 
@SenatorTimScott
 to permanently freeze $6B in Iranian assets.",,9,,8,['https://pbs.twimg.com/ext_tw_video_thumb/1719804485906649088/pu/img/AfNMysO7SebaTbPT.jpg'],https://twitter.com/ZachNunn/status/1719814064992653748
jiffy peanut,@PeanutJiffy,2023-11-01T20:23:42.000Z,"jiffy peanut
@PeanutJiffy
·
Nov 2","Where are you 
@SenTedCruz
 @SenatorTimScott
 @SenateGOP
 @RepMTG
 @RepMattGaetz
 @Jim_Jordan
 @RepAndyBiggsAZ
 @RepCawthorn
 @HouseGOP
 this veteran is begging for help. This should not be happening to my brothers. Why do illegal immigrants come here and get healthcare immediately.",,,,,['https://pbs.twimg.com/amplify_video_thumb/1668764890914324488/img/XCsROAE_i8M97LBQ.jpg'],https://twitter.com/PeanutJiffy/status/1719812480002670879
U.S. Senate Banking Committee GOP,@BankingGOP,2023-11-01T19:24:09.000Z,"U.S. Senate Banking Committee GOP
@BankingGOP
·
Nov 2",".
@SenatorTimScott
, 
@JDVance1
, & 
@BankingGOP
 to Biden admin: Encouraging banks to not rely on borrowers' immigration statuses poses serious risks to financial stability. Retract your irresponsible guidance & focus on lending practices that promote safety & soundness in banking.",,3,1,2,[],https://twitter.com/BankingGOP/status/1719797495440515171
Teri S,@digiteri,2023-11-01T19:00:36.000Z,"Teri S
@digiteri
·
Nov 2","America stands with Israel &amp; their right to defend their country, their people, and their right to exist. Period. 
@RepJoeWilson
 @GrahamBlog
 @SenatorTimScott
 @POTUS
 @kamalaharris",,1,,1,[],https://twitter.com/digiteri/status/1719791568192708951
Washington Examiner,@dcexaminer,2023-11-02T22:04:50.000Z,"Washington Examiner
@dcexaminer
·
Nov 3",".
@SenatorTimScott
 calls out ‘radical left’ for using Jewish citizens to ‘hold onto political power’ 

DETAILS: https://trib.al/JQxR3DI",,1,3,5,[],https://twitter.com/dcexaminer/status/1720200318552510690
Tim Scott,@SenatorTimScott,2023-11-02T21:00:01.000Z,"Tim Scott
@SenatorTimScott
·
Nov 3","Iranian-backed terrorists just slaughtered 1,400 Israelis. Allowing Iran to chair any forum with the name ‘human rights’ is a slap in the face to humanity.",,52,101,578,[],https://twitter.com/SenatorTimScott/status/1720184005604368534
Tim Scott,@SenatorTimScott,2023-11-02T20:38:33.000Z,"Tim Scott
@SenatorTimScott
·
Nov 3","Instead of preventing illegal immigration, the Biden administration is encouraging it by directing banks to ignore the immigration status of borrowers. Today, I joined 
@JDVance1
 & my 
@BankingGOP
 colleagues in demanding the administration retract this dangerous guidance.",,41,93,318,[],https://twitter.com/SenatorTimScott/status/1720178605466980476
Joe Allen,@joeallenii,2023-11-02T20:29:11.000Z,"Joe Allen
@joeallenii
·
Nov 3","The endorsements are pouring in now for 
@realDonaldTrump
! Thank you 
@ScottforFlorida
! Time for all the other “
@GOP
” members running to drop out of the race and endorse #Trump2024!

#MAGA #AmericaFirst #MakeAmericaGreatAgain 
@RonDeSantis
 @NikkiHaley
 @ChrisChristie
 @SenatorTimScott",,,,2,[],https://twitter.com/joeallenii/status/1720176246707880054
Got halted 4 the Criminals,@teekay5150,2023-11-02T20:22:08.000Z,"Got halted 4 the Criminals
@teekay5150
·
Nov 3",".
@SenatorTimScott
 Your public support is vital in the ongoing review of #MMTLP The SEC received a letter from the Committee on Financial Services requesting a thorough investigation. I urge you to sign a letter in support of this important inquiry. #FairMarketsNow",,,,,[],https://twitter.com/teekay5150/status/1720174472144081245
BOHICA,@BOHICA87,2023-11-03T21:59:07.000Z,"BOHICA
@BOHICA87
·
Nov 4","Even combined republican presidential candidates 
@NikkiHaley
 @GovRonDeSantis
 @SenatorTimScott
 don’t beat 
@realDonaldTrump",,,,,[],https://twitter.com/BOHICA87/status/1720561267935420555
foodmancing,@Foodmancing,2023-11-03T21:19:06.000Z,"foodmancing
@Foodmancing
·
Nov 4","Dear 
@FBI
 do 
@SenatorTimScott
 next",,,,,[],https://twitter.com/Foodmancing/status/1720551198632321295
