UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Senator Roger Wicker,@SenatorWicker,2023-11-01T23:30:00.000Z,"Senator Roger Wicker
@SenatorWicker
·
Nov 2","I called out the baseless claims made by Pentagon leadership about their unjust abortion policy in a letter to 
@SECDEF
.",,12,4,10,['https://pbs.twimg.com/card_img/1729477651033722880/SokxUKba?format=jpg&name=medium'],https://twitter.com/SenatorWicker/status/1719859363605852653
Senator Roger Wicker,@SenatorWicker,2023-11-01T21:15:00.000Z,"Senator Roger Wicker
@SenatorWicker
·
Nov 2",Senate Republicans are united behind the need for strong border security provisions in any security package. We need strong policy changes to stop the invasion at our southern border.,,9,4,8,[],https://twitter.com/SenatorWicker/status/1719825389114032283
Senator Roger Wicker,@SenatorWicker,2023-11-01T20:12:54.000Z,"Senator Roger Wicker
@SenatorWicker
·
Nov 2","This year, authorities have reported an alarming rise in fraud cases.

I recently spoke with the son of one of the victims and decided I should do everything I could to prevent another family from experiencing this loss.

#WickerReport",,5,2,7,['https://pbs.twimg.com/card_img/1730092255279792128/vnZa-_M9?format=jpg&name=900x900'],https://twitter.com/SenatorWicker/status/1719809763200917714
PatientQoL Coalition,@PatientQoL,2023-11-01T19:40:29.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","You can improve the quality of life for millions of patients with serious illnesses and chronic conditions, 
@SenatorWicker
. We need your continued support: Please ask leadership to move #PCHETA forward. 
@PatientQoL
 #HPM #HAPC",,,1,1,['https://pbs.twimg.com/media/F932bN7aEAAAREs?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719801605674111073
Center for Air and Space Law,@Ctr4AirSpaceLaw,2023-11-01T19:32:43.000Z,"Center for Air and Space Law
@Ctr4AirSpaceLaw
·
Nov 2","Thank you 
@SenatorWicker
 for your leadership on this incredibly important initiative. #SpaceLaw #OrbitalDebris",,,,,['https://pbs.twimg.com/profile_images/1613249477841674268/cX_b0XRo_normal.jpg'],https://twitter.com/Ctr4AirSpaceLaw/status/1719799651803582827
"Kathleen S. Creason, MBA",@AOA_CEO,2023-11-01T14:32:38.000Z,"Kathleen S. Creason, MBA
@AOA_CEO
·
Nov 1","Thank you all who helped raise funding for research into treatments for Duchenne Muscular Dystrophy at Dining Away Duchenne. It was a pleasure to meet with
@SenatorWicker
, Ira Monka, DO, AOA President, and Teresa Hubka, DO, AOA President-Elect.
@AOAforDOs
 @AOAforDOs_Pres",,,5,14,['https://pbs.twimg.com/media/F92v929WYAEVyEh?format=jpg&name=900x900'],https://twitter.com/AOA_CEO/status/1719724130952413588
Jeffrey Ordaniel,@JeffreyOrdaniel,2023-11-01T07:00:57.000Z,"Jeffrey Ordaniel
@JeffreyOrdaniel
·
Nov 1","“We request your administration provide us with a full list of plans, branches, and sequels or other… options developed by the Departments of State and Defense to support the  and ensure the resupply of the BRP Sierra Madre.” — from 
@marcorubio
 @SenatorWicker
 @SenatorRisch",,3,25,52,"['https://pbs.twimg.com/profile_images/1247763887845330944/qW4yQJVy_normal.jpg', 'https://pbs.twimg.com/media/F91FWQ7bMAAlQYJ?format=jpg&name=900x900']",https://twitter.com/JeffreyOrdaniel/status/1719610459769520581
Jake Conchobhair,@DaingenKeltoi,2023-11-01T02:23:02.000Z,"Jake Conchobhair
@DaingenKeltoi
·
Nov 1","A better headline would be, ""
@SenatorCardin
, 
@LeaderMcConnell
, 
@LindseyGrahamSC
, & 
@SenatorWicker
 exposed as #JewHating #AntiSemites by reaction to House bill supporting Israel against annihilation by Hamas, Hezbollah, & Iran"".",,,,,"['https://pbs.twimg.com/profile_images/1649413483685871621/V_wwjDu2_normal.png', 'https://pbs.twimg.com/media/F9z1GCXXUAE4wg2?format=jpg&name=900x900']",https://twitter.com/DaingenKeltoi/status/1719540521964597668
Brian X- Veterans for the Constitution,@admiral747,2023-11-01T01:49:14.000Z,"Brian X- Veterans for the Constitution
@admiral747
·
Nov 1","#Uniparty spendaholic Senator Raytheon Wicker 
@SenatorWicker
 got our taxes for his Wicker Ocean Enterprise Center and still wants to dump more of our taxes into other countries.

https://independentsentinel.com/senate-uniparty-rejects-speaker-johnsons-bill/… Senate Uniparty Rejects Speaker Johnson’s Bill",,,,,"['https://pbs.twimg.com/media/F90BQRuW0AAKcB4?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1460418034322051077/buJWk1UR_normal.jpg']",https://twitter.com/admiral747/status/1719532014360047982
Col. Rob Maness ret.,@RobManess,2023-11-01T01:14:35.000Z,"Col. Rob Maness ret.
@RobManess
·
Nov 1","Americans like 
@SenatorWicker
 and 
@SpeakerJohnson
 should definitely read the sad story of Ukraine’s destruction and deep corruption.",👇,,4,14,"['https://pbs.twimg.com/profile_images/1092582027994509312/cpYWuYI9_normal.jpg', 'https://pbs.twimg.com/profile_images/1678314685811007489/BRdyaZN__bigger.jpg']",https://twitter.com/RobManess/status/1719523297077915828
Senator Roger Wicker,@SenatorWicker,2023-11-02T22:15:00.000Z,"Senator Roger Wicker
@SenatorWicker
·
Nov 3",".
@SECAFOfficial
 says the intelligence could not be clearer: China is preparing for a war with the United States. AUKUS is one step that free nations can take to ensure that war on the seas and in the Pacific will never come to pass.",,6,6,9,[],https://twitter.com/SenatorWicker/status/1720202876801204557
House Foreign Affairs Committee Majority,@HouseForeignGOP,2023-11-02T20:56:17.000Z,"House Foreign Affairs Committee Majority
@HouseForeignGOP
·
Nov 3","CHM 
@RepMcCaul
, CHM 
@RepMikeRogersAL
, RM 
@SenatorRisch
 and RM 
@SenatorWicker
 sent a letter to President Biden demanding he send long-range ATACMS to Ukraine: ""Finish the Job.""",,5,4,2,[],https://twitter.com/HouseForeignGOP/status/1720183067891880301
Bipartisan Policy Center Action,@BPCAction,2023-11-02T20:42:20.000Z,"Bipartisan Policy Center Action
@BPCAction
·
Nov 3",".
@BPCAction
 applauds 
@BillCassidy
 @LindseyGrahamSC
 @SenatorWicker
 for their Foreign Pollution Fee Act, which would link climate and trade policy to reward U.S. industry for clean production and reduce global emissions. +",,1,,2,[],https://twitter.com/BPCAction/status/1720179555539865787
Senator Roger Wicker,@SenatorWicker,2023-11-02T19:45:00.000Z,"Senator Roger Wicker
@SenatorWicker
·
Nov 3","Fraudsters target Americans of all ages and income levels, often accusing them of doing something wrong.

Don’t let criminals manipulate your desire to make things right. Learn the signs of fraud here.

#WickerReport",,8,2,7,['https://pbs.twimg.com/card_img/1730092255279792128/vnZa-_M9?format=jpg&name=900x900'],https://twitter.com/SenatorWicker/status/1720165127557652733
Senator Roger Wicker,@SenatorWicker,2023-11-02T17:19:23.000Z,"Senator Roger Wicker
@SenatorWicker
·
Nov 3","We should remember amid calls for a ceasefire who the Israelis are fighting – terrorists who call the Jewish state their sworn enemy. Let’s show American resolve and stand with Israel during this fight. 
@TeamCavuto",,11,7,22,['https://pbs.twimg.com/amplify_video_thumb/1720128300918444032/img/xQudP-P3Tnsm4nc3.jpg'],https://twitter.com/SenatorWicker/status/1720128483404169374
Ambassador Bridget A. Brink,@USAmbKyiv,2023-11-02T16:57:32.000Z,"Ambassador Bridget A. Brink
@USAmbKyiv
·
Nov 3","Great to speak with Senate Ukraine Caucus Co-chairs 
@SenatorDurbin
 and 
@SenatorWicker
 as well as 
@SenatorTester
 @SenatorShaheen
 and 
@LindseyGrahamSC
 to discuss the importance of continued support to Ukraine in the face of Russia’s full-scale invasion.",,15,80,390,"['https://pbs.twimg.com/profile_images/1653450164210630659/oPRqz0j6_bigger.jpg', 'https://pbs.twimg.com/media/F98at9WWsAAfJ6K?format=jpg&name=small', 'https://pbs.twimg.com/media/F98an8mWMAAOYAK?format=jpg&name=small']",https://twitter.com/USAmbKyiv/status/1720122984772370471
