UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:39:24.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@MarshaBlackburn
@JohnBoozman
@SenKatieBritt
@SenTedBuddNC
@Senlaphonza
@SenCapito
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719861731516665857
Anthony Adragna,@AnthonyAdragna,2023-11-01T20:31:17.000Z,"Anthony Adragna
@AnthonyAdragna
·
Nov 2",".
@Senlaphonza
 overseeing the floor this afternoon.",,,1,8,['https://pbs.twimg.com/media/F94CEP_X0AAgJIj?format=jpg&name=900x900'],https://twitter.com/AnthonyAdragna/status/1719814387140075754
Northeast Valley Health Corporation,@NEVHC,2023-11-01T19:48:55.000Z,"Northeast Valley Health Corporation
@NEVHC
·
Nov 2","NEVHC joins 
@adv4commhealth
 in urging Congress to fund the CHC Reauthorization at $5.8 billion per year for 3 years. Increased funding will help patients get the care they need. 
@RepCardenas
  @RepMikeGarcia
 @SenAlexPadilla
 @Senlaphonza
  Read Letter: https://bit.ly/_CHCF",,,1,1,['https://pbs.twimg.com/media/F934X4sagAABt58?format=jpg&name=900x900'],https://twitter.com/NEVHC/status/1719803728663109855
Anthony Volkar,@ucdvolkie,2023-11-01T19:21:18.000Z,"Anthony Volkar
@ucdvolkie
·
Nov 2","We need to pass #PCHETA to improve the quality of life for millions of people with serious illnesses and chronic conditions like cancer. 
@SenAlexPadilla
 @Senlaphonza
, will you sign on as co-sponsors of this important legislation? 
@ACSCAN",,,1,1,['https://pbs.twimg.com/media/F93yDBdawAAT-2R?format=jpg&name=900x900'],https://twitter.com/ucdvolkie/status/1719796778390962265
Congressional Hispanic Staff Association,@chsadc,2023-11-01T18:26:25.000Z,"Congressional Hispanic Staff Association
@chsadc
·
Nov 2","Congratulations 
@M_Figueroa06
 on your new role as Chief of Staff to 
@SenLaphonza
!

As a former CHSA President, we know first-hand your dedication to increasing diversity in Congress and empowering people of color.

CHSA looks forward to having you back on Capitol Hill!",,,5,18,"['https://pbs.twimg.com/profile_images/1430928952382705672/nv7nZgir_normal.jpg', 'https://pbs.twimg.com/media/F9yO_laWkAA44as?format=jpg&name=900x900']",https://twitter.com/chsadc/status/1719782966023295021
Juntos Florence-Firestone Together,@juntosfftogethe,2023-11-01T17:47:56.000Z,"Juntos Florence-Firestone Together
@juntosfftogethe
·
Nov 2","Call for a ceasefire in Gaza!!! Our taxpayer dollars should NOT be used to fund Israeli war crimes and genocide of Palestinians. 

Call, email, pressure your representatives on social media 
@RepRobertGarcia
@SenAlexPadilla
@Senlaphonza
#CeasefireForGaza #FreePalestine",,1,2,,"['https://pbs.twimg.com/media/F93crkmawAQwBb8?format=jpg&name=small', 'https://pbs.twimg.com/media/F93crtNawAEZMXT?format=jpg&name=small']",https://twitter.com/juntosfftogethe/status/1719773279425315015
Congress Update,@CongressUpdate,2023-11-01T15:27:00.000Z,"Congress Update
@CongressUpdate
·
Nov 1","WELCOME BACK: Marvin Figueroa is now chief of staff for 
@Senlaphonza
. He comes from 
@HHS_IEA
 and is a 
@SenatorWarner
 alum.",,,,,[],https://twitter.com/CongressUpdate/status/1719737811971289573
DSA-LA,@dsa_losangeles,2023-11-02T23:25:46.000Z,"DSA-LA
@dsa_losangeles
·
Nov 3","Now's the time for California's senators 
@Senlaphonza
 and 
@AlexPadilla4CA
 to join their colleague in calling for a #CeasefireNOW. They have the power to stop the genocide happening right now in Gaza.

Join us in telling them NO MORE MONEY FOR MASSACRES at http://dsa.la/ceasefire.",🌹,1,13,37,[],https://twitter.com/dsa_losangeles/status/1720220688685162944
Silicon Valley Assoc. of Conservative Republicans,@SVARW,2023-11-02T22:43:48.000Z,"Silicon Valley Assoc. of Conservative Republicans
@SVARW
·
Nov 3","CALIFORNIA's new 
@Senlaphonza
 Butler and Senate-hopeful 
@RepAdamSchiff
 both claim primary residences in MARYLAND.  Legal?

https://cnn.com/2023/11/02/politics/adam-schiff-primary-residence-maryland-california/index.html…",,,,,[],https://twitter.com/SVARW/status/1720210126873977203
Señor Burton McFeeley,@SenorBurton,2023-11-02T22:29:12.000Z,"Señor Burton McFeeley
@SenorBurton
·
Nov 3","Mom says we just called our Fedrill repurrsentatives 
@SenAlexPadilla
 @Senlaphonza
 @RepGaramendi
 
to support #GazaCeasefire. We worry every day about all the innocent souls at risk including our dear friends
@helpcatsmsallam
 @LoverHomeless
 

We pray for peace for all beings ",,,,2,[],https://twitter.com/SenorBurton/status/1720206451472539826
