UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Repeal WEP,@RepealWEP_NOW,2023-11-01T23:35:52.000Z,"Repeal WEP
@RepealWEP_NOW
·
Nov 2","Please sign the H.R. 82 hearing request letter!
#WEP is highly discriminatory
Deadline 11/2/23 at 10 AM
@SenKevinCramer
@MikeCrapo
@SenTedCruz
@SteveDaines
@SenatorDurbin
@SenJoniErnst
Show more",🖊 ‼ 👇 🖊 ➡ 👮 🛂,,,,"['https://pbs.twimg.com/profile_images/1717294132954005504/uNC0kGJJ_normal.jpg', 'https://pbs.twimg.com/media/F94OEjjWYAA3lRi?format=png&name=900x900']",https://twitter.com/RepealWEP_NOW/status/1719860838809387387
Tony Perkins,@tperkins,2023-11-01T21:48:10.000Z,"Tony Perkins
@tperkins
·
Nov 2","""We do know there are people coming in from countries that are on terror watch lists and from countries that harbor terrorists [that] seek to destroy us.""
@SteveDaines
 warns of the terrorism threat enabled by the Biden Administration’s mismanagement of border security.",,3,5,6,['https://pbs.twimg.com/amplify_video_thumb/1719833201592475648/img/y1zm2UyZ6Nl5cmWL.jpg'],https://twitter.com/tperkins/status/1719833737813192940
Steve Daines,@SteveDaines,2023-11-01T20:33:40.000Z,"Steve Daines
@SteveDaines
·
Nov 2","Sadly not 
@TheBabylonBee
: making Iran head of the 
@UNHumanRights
 is insane. Coming after UN Sec. Gen. saying terror attacks on Israel “didn’t happen in a vacuum,” UN shows why it is a joke at fulfilling its goals of peace, justice, respect, human rights, tolerance & solidarity.",,28,77,181,"['https://pbs.twimg.com/profile_images/1423199697540468736/_P2dfel6_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719039949117296640/pu/img/-pdMMEyhWXfqnbZj.jpg']",https://twitter.com/SteveDaines/status/1719814989467332617
Becky Beck,@TheBeckyBecksss,2023-11-01T20:12:17.000Z,"Becky Beck
@TheBeckyBecksss
·
Nov 2","Shortsighted,ignorant dopes…do some damn work for once. 
@SteveDaines
 and 
@SenTuberville",,4,9,21,"['https://pbs.twimg.com/profile_images/1396633110838759433/a4sc1YfN_normal.jpg', 'https://pbs.twimg.com/media/F93yItOaEAAOZmI?format=jpg&name=900x900']",https://twitter.com/TheBeckyBecksss/status/1719809606354882769
Matthew Koehler,@KoehlerMatthew,2023-11-01T19:32:42.000Z,"Matthew Koehler
@KoehlerMatthew
·
Nov 2","Has it occurred to 
@SteveDaines
 and others in the GOP that by repeatedly claiming (falsely) that President Joe Biden has ""open-border policies"" that people around the world actually believe that the U.S. border is open for anyone to just walk on through?",,1,,4,"['https://pbs.twimg.com/profile_images/1609984736419794944/tyDLLGVa_normal.jpg', 'https://pbs.twimg.com/media/F93qk7qXIAAAk1j?format=jpg&name=900x900']",https://twitter.com/KoehlerMatthew/status/1719799643998175301
Jayson O'Neill,@JDogMT,2023-11-01T14:05:04.000Z,"Jayson O'Neill
@JDogMT
·
Nov 1","Will #mtnews ask 
@RepRyanZinke
, 
@RepRosendale
, and 
@SteveDaines
 why they support letting wealthy tax cheats off the hook? #mtpol",,2,1,7,['https://pbs.twimg.com/profile_images/1487087329273651208/Qasqyoo1_normal.jpg'],https://twitter.com/JDogMT/status/1719717195792732323
Matthew Monforton,@MGMonforton,2023-11-01T14:00:51.000Z,"Matthew Monforton
@MGMonforton
·
Nov 1","Great work, 
@SteveDaines
. You can scratch #AZsen off your list of possible pickups in '24. #mtpol #mtnews",,,,2,['https://pbs.twimg.com/card_img/1727184417594953728/NXUVKVAg?format=jpg&name=900x900'],https://twitter.com/MGMonforton/status/1719716131974578182
Bangladesher Kotha,@Bangladesherko,2023-11-01T07:42:12.000Z,"Bangladesher Kotha
@Bangladesherko
·
Nov 1","A controversial situation has arisen in the country around the blockade called by BNP. BNP has to take responsibility for these conflicting conditions.

Golam Mortoza
Editor, The Daily Star
@MikeCrapo
 @tedcruz
 @SteveDaines
 @SenJoniErnst
 @SenatorFischer",,,,,['https://pbs.twimg.com/media/F91RrZOagAA_Yrj?format=jpg&name=900x900'],https://twitter.com/Bangladesherko/status/1719620843293270134
Robbin Roshi Rose,@RobbinMT,2023-11-01T04:06:20.000Z,"Robbin Roshi Rose
@RobbinMT
·
Nov 1","Well 
@SteveDaines
 how close are you and Tuberville?",,,,,['https://pbs.twimg.com/profile_images/1643970035642400776/1jgoAD0B_normal.jpg'],https://twitter.com/RobbinMT/status/1719566517241844001
Chaim Bruk,@MontanaJew,2023-11-01T01:33:27.000Z,"Chaim Bruk
@MontanaJew
·
Nov 1","Thank you Senator 
@SteveDaines
 for doing your part to ensure that antisemitism has no place in American society and is eradicated from our college campuses!",,,,5,"['https://pbs.twimg.com/profile_images/1609984736419794944/tyDLLGVa_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1719526393308921856/pu/img/n9BXegfumFrzGsdG.jpg']",https://twitter.com/MontanaJew/status/1719528042878644229
Steve Daines,@SteveDaines,2023-11-01T01:27:09.000Z,"Steve Daines
@SteveDaines
·
Nov 1","The rise in antisemitism across the world is dark, deeply unsettling and has no place in America.
 
I will continue to stand strong against antisemitism and support our ally, Israel.",,39,28,98,['https://pbs.twimg.com/ext_tw_video_thumb/1719526393308921856/pu/img/n9BXegfumFrzGsdG.jpg'],https://twitter.com/SteveDaines/status/1719526459117654415
