UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joe Spielberger,@jdspielberger,2023-11-01T23:01:32.000Z,"Joe Spielberger
@jdspielberger
·
Nov 2","Great opportunity to uplift 
@MarenMachles
' important reporting on the federal government's failure to account for Indigenous people dying in custody:
https://pogo.org/investigations/missing-indigenous-deaths-in-custody…
@SenBrianSchatz
 @lisamurkowski
 @SecDebHaaland
 @RepTeresaLF",,,,3,['https://pbs.twimg.com/profile_images/1636746221355253761/iAek4LmG_normal.jpg'],https://twitter.com/jdspielberger/status/1719852201391149190
Sen. Lisa Murkowski,@lisamurkowski,2023-11-01T20:13:54.000Z,"Sen. Lisa Murkowski
@lisamurkowski
·
Nov 2","Next Friday at 1:00pm, the U.S. Senate Committee on Indian Affairs will hold a field hearing in Bethel, where we will investigate the impacts of the historic salmon declines on the communities along the Arctic, Yukon and Kuskokwim Rivers. This hearing will be open to the public,…
Show more",,6,7,24,[],https://twitter.com/lisamurkowski/status/1719810013613457641
"Computing, Engineering, and Technology",@and_computing,2023-11-01T19:57:22.000Z,"Computing, Engineering, and Technology
@and_computing
·
Nov 2","Checked out his & 
@VanHollenForMD
 Foreign Services Family Services Act.  Vertical integration of unconditional stupidity.  Ever wonder why Alaska is so behind?  #FARPart3 makes 
@DanSullivan_AK
, 
@lisamurkowski
 & 
@MaryPeltola
 world go around. #churchofdemocracy ≠…
Show more",,,,,['https://pbs.twimg.com/profile_images/1149854444118401024/uof-ErOr_normal.jpg'],https://twitter.com/and_computing/status/1719805853757518217
Bill Edwards,@BR_Edwards,2023-11-01T19:07:57.000Z,"Bill Edwards
@BR_Edwards
·
Nov 2","The senate could simply abandon this dumb tradition. Nothing in the constitution equates the “advice and consent of the senate” with unanimity. We could have a modern legislative body if people like 
@lisamurkowski
 and 
@SenDanSullivan
 weren’t obsessed with their own privilege.",,,,,['https://pbs.twimg.com/profile_images/932121310108442624/NY7s0rqO_normal.jpg'],https://twitter.com/BR_Edwards/status/1719793417381921243
PatientQoL Coalition,@PatientQoL,2023-11-01T19:05:52.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","Thank you 
@lisamurkowski
 for cosponsoring bipartisan #PCHETA! It will improve quality of care & quality of life for millions of patients & families facing #seriousillness. Let's bring this critical legislation over the finish line this year! 
@PatientQoL
 #HPM #HAPC",,,,,['https://pbs.twimg.com/media/F93uQ7BaEAAdjx3?format=jpg&name=900x900'],https://twitter.com/PatientQoL/status/1719792891256771046
Women's Refugee Commission,@wrcommission,2023-11-01T18:58:11.000Z,"Women's Refugee Commission
@wrcommission
·
Nov 2","Thank you 
@SenatorBennet
 @lisamurkowski
 @RepDanGoldman
 @RepScholten
 @RepLCD
 and 
@RepMariaSalazar
 for championing the Immigration Court Efficiency and Children’s Court Act. The #KidsCourtAct will help to ensure children receive dignified & appropriate treatment.",,1,2,2,[],https://twitter.com/wrcommission/status/1719790959397843204
ICARE Coalition,@ICARE_Coalition,2023-11-01T17:22:05.000Z,"ICARE Coalition
@ICARE_Coalition
·
Nov 2","ICARE is proud to join 
@SupportKIND
 in support of The Immigration Court Efficiency & Children’s Court Act! Thank you 
@SenatorBennet
 @lisamurkowski
 @RepDanGoldman
 and 
@RepMariaSalazar
 @RepScholten
 @RepLCD
 for championing a bill that safeguards unaccompanied children. #KidsCourtAct",,,3,6,['https://pbs.twimg.com/media/F93WsZmW8AALKXi?format=jpg&name=900x900'],https://twitter.com/ICARE_Coalition/status/1719766775229768047
KIND,@supportKIND,2023-11-01T16:06:11.000Z,"KIND
@supportKIND
·
Nov 2","Thank you to 
@SenatorBennet
 @lisamurkowski
 @RepDanGoldman
 and 
@RepMariaSalazar
 @RepScholten
 @RepLCD
 for spearheading the Immigration Court Efficiency and Children’s Court Act! This bill fights child exploitation, trafficking, & boosts immigration system efficiency. #KidsCourtAct",,,6,7,['https://pbs.twimg.com/profile_images/1557507467764015104/WdNu9J6k_normal.jpg'],https://twitter.com/supportKIND/status/1719747673052328150
Sen. Lisa Murkowski,@lisamurkowski,2023-11-01T15:05:23.000Z,"Sen. Lisa Murkowski
@lisamurkowski
·
Nov 1","It was great to get a call from Secretary Buttigieg yesterday, sharing the good news about how Alaska fared in the competitive Port Infrastructure Development grants. These announcements are the direct result of that work, funding planning, development, and construction…
Show more",,23,29,262,[],https://twitter.com/lisamurkowski/status/1719732375091875993
Liz Ruskin-AK public radio reporter,@lruskin,2023-11-01T14:28:41.000Z,"Liz Ruskin-AK public radio reporter
@lruskin
·
Nov 1","Sen. 
@lisamurkowski
 says Israel aid must be bundled with security bill for Ukraine/IndoPacific/border. 
This puts both Alaska senators at odds with Speaker & right-wing https://alaskapublic.org/2023/10/31/murkowski-says-aid-for-israel-must-be-part-of-a-broader-security-package/… via 
@AKPublicNews",📖 ⬇,1,6,15,['https://pbs.twimg.com/card_img/1729725903608188928/nhC0RaTN?format=jpg&name=900x900'],https://twitter.com/lruskin/status/1719723136399077788
Joseph E,@ChristianGayDad,2023-11-01T13:39:07.000Z,"Joseph E
@ChristianGayDad
·
Nov 1","Stop Johnson's extremist non-sense and fund both Israel and Ukraine. Don't play games. Russia winning means it will be at NATO's doorstep.  We could not ignore Hitler/Putin or Hamas/ISIS. 
@SenJohnThune
 @LeaderMcConnell
 @SpeakerMcCarthy
 @SpeakerJohnson
 @lisamurkowski
 @JohnCornyn",,,,,[],https://twitter.com/ChristianGayDad/status/1719710662375391249
TJ Wells,@MrWells2011,2023-11-01T12:47:25.000Z,"TJ Wells
@MrWells2011
·
Nov 1","Push him hard on a single bill for Ukraine, Israel, etc 
@lisamurkowski
 @LindseyGrahamSC
 @SenSusanCollins
 @LeaderMcConnell",,,,1,['https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg'],https://twitter.com/MrWells2011/status/1719697652881694906
Scott Simon,@nprscottsimon,2023-11-01T03:34:48.000Z,"Scott Simon
@nprscottsimon
·
Nov 1","Well of course 
@ChinaForbes
 and 
@PinkMartiniBand
 and 
@arishapiro
 were utterly great. But 
@lisamurkowski
 and 
@ChrisCoons
 stole the show with their singing and dancing! A bi-partisan Fred Astaire and Ginger Rogers! (won't say which is which...)",,3,1,33,[],https://twitter.com/nprscottsimon/status/1719558582285525364
Miss Marta,@MissMarta20,2023-11-01T01:56:24.000Z,"Miss Marta
@MissMarta20
·
Nov 1","Die serpent! 
@GOP
 @RepMTG
 @GOPChairwoman
 @TTuberville
 @RepStefanik
 @RepJamesComer
 @SenatorRomney
 @SenSusanCollins
 @lisamurkowski
 @SenatorTimScott",,,,,"['https://pbs.twimg.com/media/F90C5U6W4AETATp?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1683137844196306945/_lfUilbt_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1719467558024155136/img/cYfBdqbtJBqiErdx?format=jpg&name=240x240']",https://twitter.com/MissMarta20/status/1719533819139633368
Jane,@PlaintanJane,2023-11-01T00:57:08.000Z,"Jane
@PlaintanJane
·
Nov 1","Good for 
@LeaderMcConnell
 

@SenatorBraun
  @SenKevinCramer
  @MarshaBlackburn
@SenDanSullivan
@SenJoniErnst
@RogerMarshallMD
 
@SenSusanCollins
@SteveDaines
@SenThomTillis
@LindseyGrahamSC
Show more",,1,2,3,"['https://pbs.twimg.com/media/F9z1KcXb0AATj9k?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1036076785312718849/DqKNeMaJ_normal.jpg']",https://twitter.com/PlaintanJane/status/1719518905486700837
