UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Cotton Pants,@v_granner,2023-11-01T23:52:43.000Z,"Cotton Pants
@v_granner
·
Nov 2","If these r not American citizens, DEPORT DEPORT DEPORT 
@marcorubio
 @SpeakerJohnson
 @SenTedCruz
 @SenRonJohnson
 @HouseGOP
 @SenateGOP",,,,,"['https://pbs.twimg.com/media/F94wHThXwAAymoj?format=jpg&name=small', 'https://pbs.twimg.com/media/F94wHTjWwAAWTQe?format=jpg&name=small', 'https://pbs.twimg.com/media/F94wHTfWAAAA5Nr?format=jpg&name=small']",https://twitter.com/v_granner/status/1719865081469763787
RedpenFL,@RedpenFL,2023-11-01T23:36:57.000Z,"RedpenFL
@RedpenFL
·
Nov 2","Support 
@RandPaul
 and audit the fed, please. 
@SenRickScott
 @marcorubio",🚨 🚨,,,,['https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg'],https://twitter.com/RedpenFL/status/1719861113729241314
Americano Media FRAUD,@DanDan2071843,2023-11-01T21:43:07.000Z,"Americano Media FRAUD
@DanDan2071843
·
Nov 2","Articulo de Ivan Garcia Hidalgo - Americano Media despues de 5 meses sin pagar sueldos a sus empleados.
@USDOL
 @marcorubio",,,,,['https://pbs.twimg.com/card_img/1730046103968468993/O8yCEzc-?format=jpg&name=900x900'],https://twitter.com/DanDan2071843/status/1719832465223581794
Wesley C. Brauer,@brauer_wesley,2023-11-01T21:38:21.000Z,"Wesley C. Brauer
@brauer_wesley
·
Nov 2"," @GOP
 
@SenRickScott
 @marcorubio
 
@mattgaetz
 @mtgreenee
 
@ChuckGrassley
 @SenTedCruz",🔥 🔥 🔥 🔥,,,,['https://pbs.twimg.com/media/F94RbJ6aQAA4DZ_?format=jpg&name=small'],https://twitter.com/brauer_wesley/status/1719831267607453865
what the heck is wrong with people?,@am_ok_for_now21,2023-11-01T21:24:32.000Z,"what the heck is wrong with people?
@am_ok_for_now21
·
Nov 2","Her videois SPOT ON. Everyone talks about it but nothing gets done. Talks, hearings, blah, blah, blah. 
@POTUS
 caused this. But he’s not gonna fix it. And another year of him “in charge” is gonna be too damn late.
@HouseGOP
 @SenateGOP
 @mattgaetz
 @marcorubio
 @SenRickScott",,,,1,['https://pbs.twimg.com/profile_images/3491076016/7d2295a68bc7312ca1188aff0d87e7ed_normal.jpeg'],https://twitter.com/am_ok_for_now21/status/1719827790655021293
ELON HIJOEPUTA,@ElonHijoeputa,2023-11-01T21:20:21.000Z,"ELON HIJOEPUTA
@ElonHijoeputa
·
Nov 2","Check out ABC News's video! #TikTok https://tiktok.com/t/ZT8BETUEt/ 
@alexotaola
 @MundoDarwin
 @elieceravila_
 @marcorubio
 @RepMariaSalazar
 @RosaMariaPaya",,,,,['https://pbs.twimg.com/card_img/1730467262014832640/fpUWr4ft?format=jpg&name=900x900'],https://twitter.com/ElonHijoeputa/status/1719826735716286850
Biffers86,@biffers86,2023-11-01T20:42:33.000Z,"Biffers86
@biffers86
·
Nov 2","CRIMINAL, DEMOCRAT ADMINISTRATION!! 
@elonmusk
 @HouseGOP
 @SenateGOP
 @FBI
 @CIA
 @NSAGov
 @DHSgov
 @DeptofDefense
 @JusticeOIG
 @DOJCrimDiv
 @realDonaldTrump
 @BreitbartNews
 @KariLakeWarRoom
 @KariLake
 @RealCandaceO
 @Jim_Jordan
 @SpeakerJohnson
 @RandPaul
 @tedcruz
 @marcorubio
 @TuckerCarlson",💔 💔 💔,,,,['https://pbs.twimg.com/profile_images/1367254579184693250/TFL9YxRW_normal.jpg'],https://twitter.com/biffers86/status/1719817224142086521
SFDB,@sfdb,2023-11-01T20:32:46.000Z,"SFDB
@sfdb
·
Nov 2","President Biden nominates 3 to the federal court including the nephew of Norman Braman, a major 
@marcorubio
 supporter.

The politics is explained by the Herald...

via https://miamiherald.com/news/politics-government/article281270058.html…",,,,,['https://pbs.twimg.com/media/F94CNtYWkAAPyio?format=jpg&name=900x900'],https://twitter.com/sfdb/status/1719814761418743827
Flintstone,@BFlintstone4,2023-11-01T19:06:47.000Z,"Flintstone
@BFlintstone4
·
Nov 2","Really 
@marcorubio
, if you go based on a accurate proportion of illegal immigration and global population, you will find it to have been higher, several times actually. 
@marcorubio
 is yet again, caught with his pants down lying to Americans through his pink ""Russian"" teeth.",,,,,['https://pbs.twimg.com/profile_images/1488637837499154441/T7lImQVl_normal.png'],https://twitter.com/BFlintstone4/status/1719793123021263272
,@zandra702,2023-11-01T19:04:53.000Z,"@zandra702
·
Nov 2","Embedded with the migrant caravan, Day 3 
STOP HUMAN TRAFFICKING
@JoeBiden
 @SecMayorkas
 @realDonaldTrump
 @GregAbbott_TX
 @RepMTG
 @RonDeSantis
 @marcorubio
 @elonmusk
 @tedcruz
 @lopezobrador_
 https://youtube.com/live/g9YebNGGPsA?si=TZJcIZAJ5cKibFhY… via 
@YouTube",💙,,1,2,[],https://twitter.com/zandra702/status/1719792645386670279
