UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Senator Mazie Hirono,@maziehirono,2023-11-01T23:37:23.000Z,"Senator Mazie Hirono
@maziehirono
·
Nov 2","Sending my best wishes for a speedy recovery to 
@CMC_MarineCorps
.

Senator Tuberville’s reckless stunt blocking military promotions goes beyond repercussions of our national security—it's impacting the lives, health, and well-being of our servicemembers.",,9,36,117,[],https://twitter.com/maziehirono/status/1719861222005145829
Senator Mazie Hirono,@maziehirono,2023-11-01T21:13:47.000Z,"Senator Mazie Hirono
@maziehirono
·
Nov 2","Speaker Johnson has worked to shut down abortion clinics as an attorney, blamed abortion for school shootings, and is now trying to ban abortion nationwide. His radical anti-abortion position is now the mainstream House GOP position. Here in the Senate, we won't stand for it.",,72,360,1.1K,[],https://twitter.com/maziehirono/status/1719825084334956715
PatientQoL Coalition,@PatientQoL,2023-11-01T19:21:47.000Z,"PatientQoL Coalition
@PatientQoL
·
Nov 2","You can help improve the quality of life for patients and their families, 
@maziehirono
. Cosponsor #PCHETA and support patients with serious illnesses and chronic conditions. 
@PatientQoL
 #HPM #HAPC",,,1,2,[],https://twitter.com/PatientQoL/status/1719796900164145332
Legiswipe,@legiswipe,2023-11-01T06:00:24.000Z,"Legiswipe
@legiswipe
·
Nov 1","""A bill to direct the Administrator of the Small Business Administration to establish the Emergency Micro-enterprise Recovery Gra...""

Status: Read twice and referred to the Committee on F...

https://congress.gov/bill/118th-congress/senate-bill/3151/text…

Sponsor: 
@maziehirono",,,,,[],https://twitter.com/legiswipe/status/1719595222814896264
Sen. Kirsten Gillibrand,@gillibrandny,2023-11-02T23:12:54.000Z,"Sen. Kirsten Gillibrand
@gillibrandny
·
Nov 3","I'm so glad my friend and colleague 
@maziehirono
 could join my #AAPISummit today! She's a steadfast fighter for AAPI communities and women everywhere, and I'm proud to fight alongside her.",,5,7,14,[],https://twitter.com/gillibrandny/status/1720217446563434849
EPA - Pacific Southwest,@EPAregion9,2023-11-02T20:39:43.000Z,"EPA - Pacific Southwest
@EPAregion9
·
Nov 3","#ICYMI Hawaii will receive $2 million in 
@EPA
 funding for three projects that advance #EnvironmentalJustice across the state! 
@maziehirono
 @RepJillTokuda
 @SenBrianSchatz",,,,2,[],https://twitter.com/EPAregion9/status/1720178900184039760
Alan Tucker,@HawaiiPopeye,2023-11-02T19:39:03.000Z,"Alan Tucker
@HawaiiPopeye
·
Nov 3",".
@RepJillTokuda
 @MazieHirono
 @SenBrianSchatz
 it is incumbent upon Congress to hold the Biden administration accountable for protecting vulnerable individuals who are eligible for humanitarian processing and resettlement but have been waiting in the backlog for years.",,,1,1,[],https://twitter.com/HawaiiPopeye/status/1720163632984768836
larry duncan,@JazzLPcollector,2023-11-02T17:56:20.000Z,"larry duncan
@JazzLPcollector
·
Nov 3",". 
@POTUS
 @VP
 @WHCOS
 @RepJeffries
 @RepAdamSchiff
 @SenSchumer
 @MarkWarner
 @SenatorDurbin
 @RepJerryNadler
 @RepRaskin
 @RepRitchie
 @danielsgoldman
 @RepSwalwell
 @TedLieu
 @SenWhitehouse
 @RonWyden
 @LisaMonaco
 @ewarren
 @maziehirono
 @MaddowBlog",,,,,[],https://twitter.com/JazzLPcollector/status/1720137783682216347
OBAID,@OBAIDUR700,2023-11-02T16:18:58.000Z,"OBAID
@OBAIDUR700
·
Nov 3","#StepDownHasina
#RestorePollTimeCaretakerGovt
#BDPoliceBrutality
#ProtectTheProtest
@SenAmyKlobuchar
@YasmineSherif1
@SenStabenow
@AnneBeathe_
@EspenBarthEide
@HawleyMO
Show more",,,,,[],https://twitter.com/OBAIDUR700/status/1720113277471183260
𝕺𝖛𝖊𝖗 𝖙𝖍𝖊 𝕳𝖔𝖗𝖎𝖟𝖔𝖓,@MissionFirst808,2023-11-03T23:58:33.000Z,"𝕺𝖛𝖊𝖗 𝖙𝖍𝖊 𝕳𝖔𝖗𝖎𝖟𝖔𝖓
@MissionFirst808
·
Nov 4",".
@maziehirono
 is 76 years old today. Join me in reminding her it's long overdue for her to retire before she does any more damage to America or humiliates the good people of Hawaii any further. I'm nearly her age, but I'm tempted to challenge her next year to get the word out!",,,,,[],https://twitter.com/MissionFirst808/status/1720591323273814317
Barrie Gellis,@Barriefg,2023-11-03T23:03:17.000Z,"Barrie Gellis
@Barriefg
·
Nov 4","GOP: Let us pass gun laws while you pray for the second amendment.
@JulianCastro
@PramilaJayapal
@CongressmanRaja
 
@AyannaPressley
 
@amyklobuchar
 
@GerryConnolly
 @Lis_Smith
@BarbaraBoxer
@RepJeffries
 @RashidaTlaib
 
@maziehirono
 @SenWarren
Show more",,,,,[],https://twitter.com/Barriefg/status/1720577415980752946
KD,@autismstrongmom,2023-11-03T21:44:21.000Z,"KD
@autismstrongmom
·
Nov 4",".
@SenatorCollins
 @Sen_JoeManchin
 @senjackyrosen
 @SenWhitehouse
 @senatorromney
 @MazieHirono
 @ChrisMurphyCT
  We urge you to vote Yes on S.29-AMERICANS Act. Involuntary Veterans have been denied our benefits and told our service was “disqualifying”. Yes on #AMERICANSAct",,1,1,1,[],https://twitter.com/autismstrongmom/status/1720557554005406059
Bronco/CHK,@Claudred,2023-11-03T19:20:03.000Z,"Bronco/CHK
@Claudred
·
Nov 4","Here’s how Democrats are protecting America from Terrorists and Murderers.  Dems don’t care!
Vote out all dems
@JoeBiden
  @VP
 @chuckschumer
 @SenSherrodBrown
 @TomCarperforDE
 @SenBobCasey
 @SenGillibrand
 @MartinHeinrich
 @maziehirono
 @timkaine
 @amyklobuchar
 @ChrisMurphyCT
 @JackyRosen",,,,,['https://pbs.twimg.com/amplify_video_thumb/1720474928271740928/img/wKWp8s_ANOEXBdJl.jpg'],https://twitter.com/Claudred/status/1720521239687786620
LSSNCA,@LSS_NCA,2023-11-03T18:00:54.000Z,"LSSNCA
@LSS_NCA
·
Nov 4","LSSNCA applauds Senator 
@MazieHirono
 for reintroducing Fair Day in Court for Kids Act during a recent Senate Judiciary Subcommittee hearing. Many of these unaccompanied children do not speak or understand English, and some are as young as 3 years old >> https://bit.ly/3ShJb5v",,,,,[],https://twitter.com/LSS_NCA/status/1720501318207312307
Bronco/CHK,@Claudred,2023-11-04T20:47:01.000Z,"Bronco/CHK
@Claudred
·
Nov 5","Don’t forget who opened our border.
#VoteAllDemocratsOut
@Biden
 @VP
 @chuckschumer
 
@BernieSanders
 @SenBaldwinGSPP
 @LaphonzaB
 @TomCarperforDE
 @SenBobCasey
 @SenGillibrand
 @MartinHeinrich
 @maziehirono
 @timkaine
 @amyklobuchar
 @Sen_JoeManchin
 @BobMenendezNJ
 @ChrisMurphyCT
 @SenWarren",,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1719502619528286208/pu/img/wYSOQTbJCcBThWxP.jpg'],https://twitter.com/Claudred/status/1720905513372676361
larry duncan,@JazzLPcollector,2023-11-04T14:08:25.000Z,"larry duncan
@JazzLPcollector
·
Nov 4",". 
@POTUS
 @VP
 @WHCOS
 @JakeSullivan46
 @SecDef
 @SecBlinken
 @ewarren
 @RonWyden
 @SenMarkey
 @maziehirono
 @GaryGensler
 @SECEnfDirector
 @RepJeffries
 @DOJNatSec
 @LisaMonaco
 @SecretaryPete
 @linakhanFTC",👀,,,,[],https://twitter.com/JazzLPcollector/status/1720805200800502213
Senator Mazie Hirono,@maziehirono,2023-11-04T13:44:00.000Z,"Senator Mazie Hirono
@maziehirono
·
Nov 4","As the Senate works to impose a code of ethics on SCOTUS, we need to know the full extent of the influence megadonor billionaires have had on our Justices.

Harlan Crow, Leonard Leo, & Robin Arkley II are withholding key information, so 
@JudiciaryDems
 will vote to subpoena them.",,35,105,394,[],https://twitter.com/maziehirono/status/1720799054710681625
