UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Unika. the sanctions on the America &,@UnikaJoy2011,2023-11-01T16:14:31.000Z,"Unika. the sanctions on the America &
@UnikaJoy2011
·
Nov 2","Yes the US government and its MIC are direct participants in the genocide of Gaza.  Just as they are direct participants in Yemen, Syra, etc., including 
@AOC
 @BernieSanders
 @IlhanMN
 @ossoff
 @ReverendWarnock
 (Godly my ass).",🛑 🌎,,,,[],https://twitter.com/UnikaJoy2011/status/1719749769579442569
DoubleJ Etouffee,@doublejetouffee,2023-11-01T16:06:07.000Z,"DoubleJ Etouffee
@doublejetouffee
·
Nov 2","#AudittheFed 
@SenatorWarnock
 @ossoff",,,,,[],https://twitter.com/doublejetouffee/status/1719747656153452930
ResilientEfforts,@ResilientEffort,2023-11-01T15:41:39.000Z,"ResilientEfforts
@ResilientEffort
·
Nov 1","To be Speaker or even GOP member some things have to be disclosed an advocate Jon Ossoff has asked for additional reports including investments! 
@joncoopertweets
 @ossoff
 @SenOssoff",,,,,[],https://twitter.com/ResilientEffort/status/1719741500873998804
Kip Bembry,@KipBembry,2023-11-01T14:35:31.000Z,"Kip Bembry
@KipBembry
·
Nov 1",".
@RepRickAllen
 @SenatorWarnock
 @ossoff
 AM radio is important to me. Please support the AM Radio for Every Vehicle Act to help keep this free, critical source of news, traffic, sports, weather and emergency updates that I depend on in the car.   #DependOnAM",,,,,[],https://twitter.com/KipBembry/status/1719724857221325269
@GodFirst7,@GodFirst7,2023-11-01T14:30:24.000Z,"@GodFirst7
@GodGodfirst7
·
Nov 1","Dear 
@SenatorWarnock
 
@SenOssoff
 @ossoff
frm GA:); & also Sentrs 
@MarshaBlackburn
 @SenTuberville
 @HawleyMO
 @Eric_Schmitt
 @SenTedCruz
 @SenatorRisch
 DO vote 4 the #Amendment below.",‼ 🚨 🚨 ‼,,1,1,[],https://twitter.com/GodGodfirst7/status/1719723570471788780
yourcomradetony ☭,@yourcomradetony,2023-11-01T14:29:57.000Z,"yourcomradetony ☭
@yourcomradetony
·
Nov 1","“This is textbook case of genocide.”
@POTUS
 
@ossoff
 
@SenatorWarnock
 
@RepHankJohnson",,,,1,[],https://twitter.com/yourcomradetony/status/1719723456026001656
yourcomradetony ☭,@yourcomradetony,2023-11-01T14:01:32.000Z,"yourcomradetony ☭
@yourcomradetony
·
Nov 1","Stop supporting this horrible genocide! 
@TheDemocrats
 @POTUS
 @ossoff
 @SenatorWarnock
 @RepHankJohnson",,,,1,[],https://twitter.com/yourcomradetony/status/1719716304330879131
Atlanta Journal-Constitution,@ajc,2023-11-01T13:30:05.000Z,"Atlanta Journal-Constitution
@ajc
·
Nov 1","Today's Jolt: U.S. Sen. 
@ossoff
 renewed warnings Tuesday that a worsening humanitarian crisis in Gaza would threaten regional stability in the Middle East. He called on Israel to allow more food, medicine and other aid supplies into the enclave #gapol",,3,6,10,[],https://twitter.com/ajc/status/1719708391205924914
Meredyth Yoon,@mereyoon,2023-11-02T20:12:53.000Z,"Meredyth Yoon
@mereyoon
·
Nov 3","Asian Americans stand firmly with the people of Palestine. We demand an immediate ceasefire & implore 
@POTUS
 to condemn & discontinue material support for this genocide that the US is aiding & abetting in violation of international law. #Gaza #gapol 
@VP
 @ossoff
 @ReverendWarnock",,,,,[],https://twitter.com/mereyoon/status/1720172147782361475
Lindsey,@RedheadBabyMama,2023-11-02T20:07:56.000Z,"Lindsey
@RedheadBabyMama
·
Nov 3","the torture continues... The torture continues... https://time.com/6330561/what-to-know-daylight-saving-time-change/… 
@ReverendWarnock
 @ossoff",,,,2,[],https://twitter.com/RedheadBabyMama/status/1720170899662340561
Sebastian White #StandWithUkraine,@SebWrites,2023-11-02T19:58:25.000Z,"Sebastian White #StandWithUkraine
@SebWrites
·
Nov 3","This is 'shocking...' 
@TheDemocrats
 @HillaryClinton
 @BarackObama
 @SpeakerPelosi
 @ossoff
 @StaceyAbrams
 @ReverendWarnock
 @AOC
 @RepJeffries
 @jensstoltenberg
 ? https://twitter.com/LeaningLeftShow/status/1719812302256619523…",,,,,[],https://twitter.com/SebWrites/status/1720168507248132540
Stacey Ma Dukes Hopkins,@staceyhopkinsga,2023-11-02T17:12:10.000Z,"Stacey Ma Dukes Hopkins
@staceyhopkinsga
·
Nov 3","Okay, 
@SenatorWarnock
 and Sen. 
@ossoff
? What say you? #CeasefireForGazaNOW",🪬,,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1720093978878767104/pu/img/eSyoyF1o3A8iQzHM.jpg'],https://twitter.com/staceyhopkinsga/status/1720126665999696150
Eric Michael Garcia,@EricMGarcia,2023-11-02T16:27:29.000Z,"Eric Michael Garcia
@EricMGarcia
·
Nov 3","Spotted walking into the chamber: 
@Ossoff
 and Lisa Murkowski",,,1,4,[],https://twitter.com/EricMGarcia/status/1720115420382761025
Barrie Gellis,@Barriefg,2023-11-03T22:56:48.000Z,"Barrie Gellis
@Barriefg
·
Nov 4","GOP: Let us pass gun laws while you pray for the second amendment.
@RepMaxineWaters
 @AOC
 @RepDean
 @clairecmc
 
@RepLindaSanchez
 
@malcolmkenyatta
@MalloryMcMorrow
@SenBooker
 @alfranken
 
@BetoORourke
@DebDingell
@staceyabrams
 @ossoff
 
@ReverendWarnock
 
Show more",,,,,[],https://twitter.com/Barriefg/status/1720575786871128528
Jamie Saunders,@JamieLSaunders,2023-11-03T20:03:52.000Z,"Jamie Saunders
@JamieLSaunders
·
Nov 4","It’s time to renew our nation’s commitment to addressing Alzheimer’s disease by building on the National Alzheimer’s Plan. 
@RepMcCormick
 @ossoff
 please cosponsor the NAPA Reauthorization Act of 2023 and the Alzheimer's Accountability and Investment Act.",,,2,3,[],https://twitter.com/JamieLSaunders/status/1720532264973488474
