Office,Office链接,Name,Party
U.S. House Alabama District 1,https://ballotpedia.org/Alabama's_1st_Congressional_District,Jerry Carl,Republican
U.S. House Alabama District 2,https://ballotpedia.org/Alabama's_2nd_Congressional_District,Barry Moore,Republican
U.S. House Alabama District 3,https://ballotpedia.org/Alabama's_3rd_Congressional_District,Mike Rogers,Republican
U.S. House Alabama District 4,https://ballotpedia.org/Alabama's_4th_Congressional_District,Robert Aderholt,Republican
U.S. House Alabama District 5,https://ballotpedia.org/Alabama's_5th_Congressional_District,Dale Strong,Republican
U.S. House Alabama District 6,https://ballotpedia.org/Alabama's_6th_Congressional_District,Gary Palmer,Republican
U.S. House Alabama District 7,https://ballotpedia.org/Alabama's_7th_Congressional_District,Terri Sewell,Democratic
U.S. House Alaska At-large District,https://ballotpedia.org/Alaska's_At-Large_Congressional_District,Mary Peltola,Democratic
U.S. House American Samoa At-large District,https://ballotpedia.org/American_Samoa%27s_At-Large_Congressional_District,Aumua Amata Radewagen,Republican
U.S. House Arizona District 1,https://ballotpedia.org/Arizona's_1st_Congressional_District,David Schweikert,Republican
U.S. House Arizona District 2,https://ballotpedia.org/Arizona's_2nd_Congressional_District,Eli Crane,Republican
U.S. House Arizona District 3,https://ballotpedia.org/Arizona's_3rd_Congressional_District,Ruben Gallego,Democratic
U.S. House Arizona District 4,https://ballotpedia.org/Arizona's_4th_Congressional_District,Greg Stanton,Democratic
U.S. House Arizona District 5,https://ballotpedia.org/Arizona's_5th_Congressional_District,Andy Biggs,Republican
U.S. House Arizona District 6,https://ballotpedia.org/Arizona's_6th_Congressional_District,Juan Ciscomani,Republican
U.S. House Arizona District 7,https://ballotpedia.org/Arizona's_7th_Congressional_District,Raúl Grijalva,Democratic
U.S. House Arizona District 8,https://ballotpedia.org/Arizona's_8th_Congressional_District,Debbie Lesko,Republican
U.S. House Arizona District 9,https://ballotpedia.org/Arizona's_9th_Congressional_District,Paul Gosar,Republican
U.S. House Arkansas District 1,https://ballotpedia.org/Arkansas'_1st_Congressional_District,Rick Crawford,Republican
U.S. House Arkansas District 2,https://ballotpedia.org/Arkansas'_2nd_Congressional_District,French Hill,Republican
U.S. House Arkansas District 3,https://ballotpedia.org/Arkansas'_3rd_Congressional_District,Steve Womack,Republican
U.S. House Arkansas District 4,https://ballotpedia.org/Arkansas'_4th_Congressional_District,Bruce Westerman,Republican
U.S. House California District 1,https://ballotpedia.org/California's_1st_Congressional_District,Doug LaMalfa,Republican
U.S. House California District 2,https://ballotpedia.org/California's_2nd_Congressional_District,Jared Huffman,Democratic
U.S. House California District 3,https://ballotpedia.org/California's_3rd_Congressional_District,Kevin Kiley,Republican
U.S. House California District 4,https://ballotpedia.org/California's_4th_Congressional_District,Mike Thompson,Democratic
U.S. House California District 5,https://ballotpedia.org/California's_5th_Congressional_District,Tom McClintock,Republican
U.S. House California District 6,https://ballotpedia.org/California's_6th_Congressional_District,Ami Bera,Democratic
U.S. House California District 7,https://ballotpedia.org/California's_7th_Congressional_District,Doris Matsui,Democratic
U.S. House California District 8,https://ballotpedia.org/California's_8th_Congressional_District,John Garamendi,Democratic
U.S. House California District 9,https://ballotpedia.org/California's_9th_Congressional_District,Josh Harder,Democratic
U.S. House California District 10,https://ballotpedia.org/California's_10th_Congressional_District,Mark DeSaulnier,Democratic
U.S. House California District 11,https://ballotpedia.org/California's_11th_Congressional_District,Nancy Pelosi,Democratic
U.S. House California District 12,https://ballotpedia.org/California's_12th_Congressional_District,Barbara Lee,Democratic
U.S. House California District 13,https://ballotpedia.org/California's_13th_Congressional_District,John Duarte,Republican
