Office,Office¡¥Ω”,Name,Party,,twitter_name
U.S. Senate Alabama,https://ballotpedia.org/List_of_United_States_Senators_from_Alabama,Katie Britt,Republican,,SenKatieBritt
U.S. Senate Alabama,https://ballotpedia.org/List_of_United_States_Senators_from_Alabama,Tommy Tuberville,Republican,,SenTuberville
U.S. Senate Alaska,https://ballotpedia.org/List_of_United_States_Senators_from_Alaska,Lisa Murkowski,Republican,,lisamurkowski
U.S. Senate Alaska,https://ballotpedia.org/List_of_United_States_Senators_from_Alaska,Daniel S. Sullivan,Republican,,SenDanSullivan
U.S. Senate Arizona,https://ballotpedia.org/List_of_United_States_Senators_from_Arizona,Mark Kelly,Democratic,,SenMarkKelly
U.S. Senate Arizona,https://ballotpedia.org/List_of_United_States_Senators_from_Arizona,Kyrsten Sinema,Independent,,SenatorSinema
U.S. Senate Arkansas,https://ballotpedia.org/List_of_United_States_Senators_from_Arkansas,John Boozman,Republican,,JohnBoozman
U.S. Senate Arkansas,https://ballotpedia.org/List_of_United_States_Senators_from_Arkansas,Tom Cotton,Republican,,SenTomCotton
U.S. Senate California,https://ballotpedia.org/List_of_United_States_Senators_from_California,Laphonza Butler,Democratic,,Senlaphonza
U.S. Senate California,https://ballotpedia.org/List_of_United_States_Senators_from_California,Alex Padilla,Democratic,,SenAlexPadilla
U.S. Senate Colorado,https://ballotpedia.org/List_of_United_States_Senators_from_Colorado,Michael Bennet,Democratic,,SenatorBennet
U.S. Senate Colorado,https://ballotpedia.org/List_of_United_States_Senators_from_Colorado,John Hickenlooper,Democratic,,SenatorHick
U.S. Senate Connecticut,https://ballotpedia.org/List_of_United_States_Senators_from_Connecticut,Richard Blumenthal,Democratic,,SenBlumenthal
U.S. Senate Connecticut,https://ballotpedia.org/List_of_United_States_Senators_from_Connecticut,Christopher S. Murphy,Democratic,,ChrisMurphyCT
U.S. Senate Delaware,https://ballotpedia.org/List_of_United_States_Senators_from_Delaware,Tom Carper,Democratic,,SenatorCarper
U.S. Senate Delaware,https://ballotpedia.org/List_of_United_States_Senators_from_Delaware,Chris Coons,Democratic,,ChrisCoons
U.S. Senate Florida,https://ballotpedia.org/List_of_United_States_Senators_from_Florida,Marco Rubio,Republican,,marcorubio
U.S. Senate Florida,https://ballotpedia.org/List_of_United_States_Senators_from_Florida,Rick Scott,Republican,,SenRickScott
U.S. Senate Georgia,https://ballotpedia.org/List_of_United_States_Senators_from_Georgia,Jon Ossoff,Democratic,,ossoff
U.S. Senate Georgia,https://ballotpedia.org/List_of_United_States_Senators_from_Georgia,Raphael Warnock,Democratic,,ReverendWarnock
U.S. Senate Hawaii,https://ballotpedia.org/List_of_United_States_Senators_from_Hawaii,Mazie K. Hirono,Democratic,,maziehirono
U.S. Senate Hawaii,https://ballotpedia.org/List_of_United_States_Senators_from_Hawaii,Brian E. Schatz,Democratic,,brianschatz
U.S. Senate Idaho,https://ballotpedia.org/List_of_United_States_Senators_from_Idaho,Mike Crapo,Republican,,MikeCrapo
